municipality,year,value
Aabenraa,2008,22.2
Aalborg,2008,20.8
Aarhus,2008,18.2
Albertslund,2008,12.1
Allerød,2008,18.1
Assens,2008,22.1
Ballerup,2008,12.7
Billund,2008,19.3
Bornholm,2008,22.2
Brøndby,2008,12.6
Brønderslev,2008,23.7
Copenhagen,2008,11.7
Dragør,2008,16.2
Egedal,2008,19.0
Esbjerg,2008,18.2
Faaborg-Midtfyn,2008,21.6
Fanø,2008,17.6
Favrskov,2008,21.6
Faxe,2008,29.0
Fredensborg,2008,20.6
Fredericia,2008,19.7
Frederiksberg,2008,11.3
Frederikshavn,2008,23.6
Frederikssund,2008,21.7
Furesø,2008,15.1
Gentofte,2008,12.5
Gladsaxe,2008,11.2
Glostrup,2008,11.4
Greve,2008,18.3
Gribskov,2008,24.4
Guldborgsund,2008,27.8
Haderslev,2008,22.7
Halsnæs,2008,23.2
Hedensted,2008,20.3
Helsingør,2008,20.4
Herlev,2008,10.8
Herning,2008,17.8
Hillerød,2008,19.2
Hjørring,2008,23.4
Holbæk,2008,25.9
Holstebro,2008,19.2
Horsens,2008,19.0
Hvidovre,2008,11.9
Høje-Taastrup,2008,15.4
Hørsholm,2008,18.8
Ikast-Brande,2008,18.3
Ishøj,2008,14.5
Jammerbugt,2008,24.3
Kalundborg,2008,24.0
Kerteminde,2008,19.1
Kolding,2008,20.6
Køge,2008,23.4
Langeland,2008,23.6
Lejre,2008,27.4
Lemvig,2008,19.9
Lolland,2008,24.6
Lyngby-Taarbæk,2008,13.2
Læsø,2008,20.8
Mariagerfjord,2008,21.9
Middelfart,2008,23.0
Morsø,2008,17.1
Norddjurs,2008,21.7
Nordfyns,2008,21.8
Nyborg,2008,22.6
Næstved,2008,26.4
Odder,2008,20.2
Odense,2008,18.3
Odsherred,2008,24.1
Randers,2008,20.5
Rebild,2008,24.5
Ringkøbing-Skjern,2008,18.2
Ringsted,2008,26.5
Roskilde,2008,20.1
Rudersdal,2008,16.8
Rødovre,2008,10.9
Samsø,2008,18.6
Silkeborg,2008,20.5
Skanderborg,2008,22.6
Skive,2008,18.6
Slagelse,2008,26.5
Solrød,2008,22.3
Sorø,2008,28.7
Stevns,2008,28.2
Struer,2008,18.9
Svendborg,2008,20.7
Syddjurs,2008,25.8
Sønderborg,2008,17.2
Thisted,2008,18.2
Tårnby,2008,11.3
Tønder,2008,22.6
Vallensbæk,2008,13.6
Varde,2008,20.9
Vejen,2008,22.2
Vejle,2008,21.8
Vesthimmerlands,2008,21.2
Viborg,2008,19.9
Vordingborg,2008,31.1
Ærø,2008,20.3
Aabenraa,2009,22.5
Aalborg,2009,21.3
Aarhus,2009,18.6
Albertslund,2009,12.1
Allerød,2009,18.7
Assens,2009,22.8
Ballerup,2009,13.0
Billund,2009,19.2
Bornholm,2009,21.4
Brøndby,2009,12.9
Brønderslev,2009,23.7
Copenhagen,2009,12.0
Dragør,2009,17.1
Egedal,2009,19.2
Esbjerg,2009,18.8
Faaborg-Midtfyn,2009,21.9
Fanø,2009,18.0
Favrskov,2009,21.8
Faxe,2009,29.6
Fredensborg,2009,20.9
Fredericia,2009,19.6
Frederiksberg,2009,11.6
Frederikshavn,2009,23.5
Frederikssund,2009,22.1
Furesø,2009,15.7
Gentofte,2009,12.6
Gladsaxe,2009,11.2
Glostrup,2009,11.7
Greve,2009,18.9
Gribskov,2009,24.8
Guldborgsund,2009,27.2
Haderslev,2009,23.0
Halsnæs,2009,23.7
Hedensted,2009,21.0
Helsingør,2009,20.5
Herlev,2009,10.8
Herning,2009,19.3
Hillerød,2009,19.4
Hjørring,2009,23.6
Holbæk,2009,26.1
Holstebro,2009,19.5
Horsens,2009,19.6
Hvidovre,2009,11.8
Høje-Taastrup,2009,16.1
Hørsholm,2009,19.1
Ikast-Brande,2009,19.1
Ishøj,2009,14.5
Jammerbugt,2009,24.5
Kalundborg,2009,23.5
Kerteminde,2009,19.6
Kolding,2009,21.0
Køge,2009,23.9
Langeland,2009,23.8
Lejre,2009,27.7
Lemvig,2009,19.6
Lolland,2009,24.6
Lyngby-Taarbæk,2009,13.5
Læsø,2009,23.2
Mariagerfjord,2009,22.6
Middelfart,2009,23.8
Morsø,2009,17.6
Norddjurs,2009,22.1
Nordfyns,2009,22.1
Nyborg,2009,23.3
Næstved,2009,26.6
Odder,2009,20.8
Odense,2009,18.7
Odsherred,2009,24.9
Randers,2009,21.2
Rebild,2009,25.8
Ringkøbing-Skjern,2009,18.7
Ringsted,2009,26.8
Roskilde,2009,20.5
Rudersdal,2009,17.3
Rødovre,2009,10.8
Samsø,2009,17.5
Silkeborg,2009,21.4
Skanderborg,2009,23.2
Skive,2009,19.1
Slagelse,2009,26.0
Solrød,2009,23.2
Sorø,2009,29.0
Stevns,2009,28.7
Struer,2009,19.3
Svendborg,2009,21.2
Syddjurs,2009,26.4
Sønderborg,2009,18.1
Thisted,2009,18.7
Tårnby,2009,11.6
Tønder,2009,22.6
Vallensbæk,2009,14.5
Varde,2009,21.7
Vejen,2009,22.8
Vejle,2009,22.3
Vesthimmerlands,2009,21.5
Viborg,2009,20.6
Vordingborg,2009,31.5
Ærø,2009,21.1
Aabenraa,2010,22.2
Aalborg,2010,21.2
Aarhus,2010,18.6
Albertslund,2010,11.9
Allerød,2010,18.9
Assens,2010,23.3
Ballerup,2010,13.0
Billund,2010,18.8
Bornholm,2010,21.5
Brøndby,2010,12.7
Brønderslev,2010,23.8
Copenhagen,2010,12.3
Dragør,2010,16.7
Egedal,2010,19.1
Esbjerg,2010,18.1
Faaborg-Midtfyn,2010,22.4
Fanø,2010,19.3
Favrskov,2010,22.4
Faxe,2010,29.3
Fredensborg,2010,21.1
Fredericia,2010,20.3
Frederiksberg,2010,11.9
Frederikshavn,2010,24.3
Frederikssund,2010,22.1
Furesø,2010,15.5
Gentofte,2010,12.8
Gladsaxe,2010,11.0
Glostrup,2010,11.8
Greve,2010,18.8
Gribskov,2010,25.2
Guldborgsund,2010,27.0
Haderslev,2010,23.0
Halsnæs,2010,23.5
Hedensted,2010,21.1
Helsingør,2010,20.9
Herlev,2010,10.8
Herning,2010,19.1
Hillerød,2010,19.3
Hjørring,2010,23.1
Holbæk,2010,25.7
Holstebro,2010,19.9
Horsens,2010,19.5
Hvidovre,2010,12.0
Høje-Taastrup,2010,16.2
Hørsholm,2010,20.1
Ikast-Brande,2010,19.3
Ishøj,2010,14.1
Jammerbugt,2010,24.7
Kalundborg,2010,24.1
Kerteminde,2010,21.0
Kolding,2010,21.2
Køge,2010,23.7
Langeland,2010,26.4
Lejre,2010,27.3
Lemvig,2010,20.2
Lolland,2010,24.0
Lyngby-Taarbæk,2010,13.5
Læsø,2010,26.4
Mariagerfjord,2010,22.9
Middelfart,2010,24.3
Morsø,2010,17.9
Norddjurs,2010,21.6
Nordfyns,2010,22.2
Nyborg,2010,23.7
Næstved,2010,26.4
Odder,2010,21.3
Odense,2010,19.0
Odsherred,2010,25.2
Randers,2010,22.1
Rebild,2010,25.6
Ringkøbing-Skjern,2010,19.2
Ringsted,2010,27.0
Roskilde,2010,20.6
Rudersdal,2010,17.2
Rødovre,2010,10.8
Samsø,2010,16.9
Silkeborg,2010,22.1
Skanderborg,2010,23.1
Skive,2010,20.0
Slagelse,2010,26.2
Solrød,2010,22.5
Sorø,2010,28.9
Stevns,2010,28.8
Struer,2010,19.2
Svendborg,2010,21.8
Syddjurs,2010,26.5
Sønderborg,2010,17.8
Thisted,2010,18.4
Tårnby,2010,11.7
Tønder,2010,22.2
Vallensbæk,2010,14.4
Varde,2010,21.5
Vejen,2010,22.7
Vejle,2010,22.4
Vesthimmerlands,2010,21.9
Viborg,2010,20.9
Vordingborg,2010,31.5
Ærø,2010,25.3
Aabenraa,2011,22.1
Aalborg,2011,21.3
Aarhus,2011,19.0
Albertslund,2011,12.2
Allerød,2011,18.8
Assens,2011,23.5
Ballerup,2011,12.9
Billund,2011,18.8
Bornholm,2011,21.6
Brøndby,2011,12.3
Brønderslev,2011,24.0
Copenhagen,2011,12.2
Dragør,2011,16.4
Egedal,2011,19.0
Esbjerg,2011,18.0
Faaborg-Midtfyn,2011,22.6
Fanø,2011,20.5
Favrskov,2011,22.4
Faxe,2011,30.2
Fredensborg,2011,21.0
Fredericia,2011,20.2
Frederiksberg,2011,11.9
Frederikshavn,2011,23.4
Frederikssund,2011,22.3
Furesø,2011,15.9
Gentofte,2011,13.0
Gladsaxe,2011,11.2
Glostrup,2011,11.7
Greve,2011,18.8
Gribskov,2011,25.2
Guldborgsund,2011,27.1
Haderslev,2011,23.0
Halsnæs,2011,23.7
Hedensted,2011,21.4
Helsingør,2011,21.0
Herlev,2011,10.7
Herning,2011,19.3
Hillerød,2011,19.7
Hjørring,2011,22.2
Holbæk,2011,26.4
Holstebro,2011,20.4
Horsens,2011,19.6
Hvidovre,2011,11.8
Høje-Taastrup,2011,16.0
Hørsholm,2011,20.1
Ikast-Brande,2011,20.0
Ishøj,2011,14.0
Jammerbugt,2011,24.8
Kalundborg,2011,24.2
Kerteminde,2011,21.5
Kolding,2011,21.3
Køge,2011,24.0
Langeland,2011,26.3
Lejre,2011,27.8
