municipality,year,value
Aabenraa,2007,108.24
Aalborg,2007,92.02
Aarhus,2007,122.64
Albertslund,2007,105.17
Allerød,2007,60.95
Assens,2007,58.04
Ballerup,2007,97.65
Billund,2007,70.66
Bornholm,2007,53.58
Brøndby,2007,97.72
Brønderslev,2007,67.67
Copenhagen,2007,182.55
Dragør,2007,50.6
Egedal,2007,55.24
Esbjerg,2007,91.92
Faaborg-Midtfyn,2007,45.04
Fanø,2007,77.38
Favrskov,2007,55.7
Faxe,2007,60.53
Fredensborg,2007,63.81
Fredericia,2007,109.17
Frederiksberg,2007,87.21
Frederikshavn,2007,77.48
Frederikssund,2007,76.19
Furesø,2007,68.39
Gentofte,2007,81.57
Gladsaxe,2007,70.62
Glostrup,2007,126.64
Greve,2007,82.77
Gribskov,2007,55.44
Guldborgsund,2007,85.61
Haderslev,2007,89.23
Halsnæs,2007,75.56
Hedensted,2007,53.01
Helsingør,2007,109.72
Herlev,2007,104.0
Herning,2007,65.2
Hillerød,2007,74.47
Hjørring,2007,76.0
Holbæk,2007,73.6
Holstebro,2007,74.43
Horsens,2007,89.25
Hvidovre,2007,109.34
Høje-Taastrup,2007,88.85
Hørsholm,2007,67.36
Ikast-Brande,2007,63.37
Ishøj,2007,122.3
Jammerbugt,2007,58.71
Kalundborg,2007,76.75
Kerteminde,2007,56.03
Kolding,2007,104.53
Køge,2007,82.77
Langeland,2007,47.16
Lejre,2007,47.48
Lemvig,2007,43.96
Lolland,2007,87.52
Lyngby-Taarbæk,2007,102.3
Læsø,2007,17.47
Mariagerfjord,2007,63.02
Middelfart,2007,74.5
Morsø,2007,61.25
Norddjurs,2007,86.86
Nordfyns,2007,56.53
Nyborg,2007,74.03
Næstved,2007,71.74
Odder,2007,51.29
Odense,2007,122.45
Odsherred,2007,69.15
Randers,2007,88.96
Rebild,2007,45.42
Ringkøbing-Skjern,2007,58.42
Ringsted,2007,86.0
Roskilde,2007,93.99
Rudersdal,2007,59.59
Rødovre,2007,115.87
Samsø,2007,51.16
Silkeborg,2007,69.06
Skanderborg,2007,63.18
Skive,2007,66.73
Slagelse,2007,89.84
Solrød,2007,58.38
Sorø,2007,60.32
Stevns,2007,39.6
Struer,2007,48.69
Svendborg,2007,64.52
Syddjurs,2007,62.84
Sønderborg,2007,70.94
Thisted,2007,60.97
Tårnby,2007,136.1
Tønder,2007,77.64
Vallensbæk,2007,74.76
Varde,2007,65.54
Vejen,2007,78.99
Vejle,2007,80.81
Vesthimmerlands,2007,68.27
Viborg,2007,66.21
Vordingborg,2007,75.71
Ærø,2007,37.84
Aabenraa,2011,106.41
Aalborg,2011,106.92
Aarhus,2011,127.53
Albertslund,2011,102.66
Allerød,2011,174.05
Assens,2011,57.26
Ballerup,2011,96.24
Billund,2011,96.77
Bornholm,2011,38.61
Brøndby,2011,101.5
Brønderslev,2011,67.4
Copenhagen,2011,184.95
Dragør,2011,47.46
Egedal,2011,53.83
Esbjerg,2011,99.38
Faaborg-Midtfyn,2011,62.94
Fanø,2011,45.75
Favrskov,2011,56.15
Faxe,2011,72.77
Fredensborg,2011,63.27
Fredericia,2011,112.87
Frederiksberg,2011,98.57
Frederikshavn,2011,86.67
Frederikssund,2011,61.16
Furesø,2011,73.63
Gentofte,2011,80.78
Gladsaxe,2011,72.5
Glostrup,2011,114.76
Greve,2011,98.25
Gribskov,2011,65.23
Guldborgsund,2011,80.47
Haderslev,2011,77.86
Halsnæs,2011,84.4
Hedensted,2011,61.72
Helsingør,2011,101.71
Herlev,2011,102.46
Herning,2011,68.27
Hillerød,2011,118.71
Hjørring,2011,73.26
Holbæk,2011,76.29
Holstebro,2011,68.77
Horsens,2011,95.66
Hvidovre,2011,93.49
Høje-Taastrup,2011,86.21
Hørsholm,2011,65.21
Ikast-Brande,2011,73.16
Ishøj,2011,104.25
Jammerbugt,2011,69.01
Kalundborg,2011,75.29
Kerteminde,2011,54.09
Kolding,2011,96.13
Køge,2011,101.64
Langeland,2011,52.17
Lejre,2011,51.37
Lemvig,2011,39.58
Lolland,2011,96.44
Lyngby-Taarbæk,2011,91.86
Læsø,2011,32.84
Mariagerfjord,2011,79.18
Middelfart,2011,81.16
Morsø,2011,56.9
Norddjurs,2011,72.97
Nordfyns,2011,64.46
Nyborg,2011,84.7
Næstved,2011,77.5
Odder,2011,55.56
Odense,2011,119.19
Odsherred,2011,91.12
Randers,2011,93.69
Rebild,2011,55.29
Ringkøbing-Skjern,2011,55.19
Ringsted,2011,81.61
Roskilde,2011,109.54
Rudersdal,2011,74.13
Rødovre,2011,109.16
Samsø,2011,42.99
Silkeborg,2011,69.02
Skanderborg,2011,69.82
Skive,2011,69.12
Slagelse,2011,99.53
Solrød,2011,67.4
Sorø,2011,70.99
Stevns,2011,41.59
Struer,2011,50.74
Svendborg,2011,70.51
Syddjurs,2011,68.24
Sønderborg,2011,77.16
Thisted,2011,59.01
Tårnby,2011,157.32
Tønder,2011,83.77
Vallensbæk,2011,72.34
Varde,2011,72.95
Vejen,2011,72.39
Vejle,2011,96.31
Vesthimmerlands,2011,71.99
Viborg,2011,62.03
Vordingborg,2011,83.56
Ærø,2011,21.31
Aabenraa,2015,95.1
Aalborg,2015,78.93
Aarhus,2015,97.1
Albertslund,2015,92.93
Allerød,2015,202.49
Assens,2015,40.86
Ballerup,2015,87.83
Billund,2015,70.99
Bornholm,2015,44.67
Brøndby,2015,95.12
Brønderslev,2015,43.74
Copenhagen,2015,161.82
Dragør,2015,42.13
Egedal,2015,43.31
Esbjerg,2015,75.52
Faaborg-Midtfyn,2015,43.2
Fanø,2015,42.6
Favrskov,2015,42.4
Faxe,2015,64.33
Fredensborg,2015,60.32
Fredericia,2015,99.43
Frederiksberg,2015,83.98
Frederikshavn,2015,60.06
Frederikssund,2015,61.27
Furesø,2015,58.12
Gentofte,2015,68.96
Gladsaxe,2015,75.96
Glostrup,2015,128.33
Greve,2015,76.63
Gribskov,2015,74.43
Guldborgsund,2015,76.44
Haderslev,2015,68.98
Halsnæs,2015,56.45
Hedensted,2015,42.42
Helsingør,2015,82.94
Herlev,2015,99.65
Herning,2015,61.63
Hillerød,2015,74.94
Hjørring,2015,59.13
Holbæk,2015,60.39
Holstebro,2015,55.73
Horsens,2015,64.52
Hvidovre,2015,85.22
Høje-Taastrup,2015,98.62
Hørsholm,2015,70.89
Ikast-Brande,2015,44.44
Ishøj,2015,96.89
Jammerbugt,2015,50.95
Kalundborg,2015,58.78
Kerteminde,2015,45.9
Kolding,2015,83.83
Køge,2015,72.9
Langeland,2015,41.51
Lejre,2015,40.78
Lemvig,2015,31.22
Lolland,2015,123.84
Lyngby-Taarbæk,2015,93.61
Læsø,2015,32.87
Mariagerfjord,2015,59.6
Middelfart,2015,49.08
Morsø,2015,46.31
Norddjurs,2015,59.0
Nordfyns,2015,40.06
Nyborg,2015,64.9
Næstved,2015,67.59
Odder,2015,38.72
Odense,2015,87.32
Odsherred,2015,63.1
Randers,2015,73.89
Rebild,2015,43.56
Ringkøbing-Skjern,2015,42.6
Ringsted,2015,78.46
Roskilde,2015,97.39
Rudersdal,2015,64.46
Rødovre,2015,93.98
Samsø,2015,49.02
Silkeborg,2015,51.24
Skanderborg,2015,51.05
Skive,2015,53.47
Slagelse,2015,97.11
Solrød,2015,57.12
Sorø,2015,62.6
Stevns,2015,40.48
Struer,2015,47.48
Svendborg,2015,50.13
Syddjurs,2015,53.49
Sønderborg,2015,53.24
Thisted,2015,44.63
Tårnby,2015,187.3
Tønder,2015,60.12
Vallensbæk,2015,58.8
Varde,2015,52.39
Vejen,2015,51.27
Vejle,2015,68.17
Vesthimmerlands,2015,60.14
Viborg,2015,51.63
Vordingborg,2015,67.8
Ærø,2015,21.03
Aabenraa,2019,87.96
Aalborg,2019,69.45
Aarhus,2019,84.49
Albertslund,2019,93.52
Allerød,2019,69.21
Assens,2019,50.01
Ballerup,2019,80.69
Billund,2019,77.66
Bornholm,2019,42.61
Brøndby,2019,85.63
Brønderslev,2019,42.89
Copenhagen,2019,150.54
Dragør,2019,46.25
Egedal,2019,35.4
Esbjerg,2019,77.53
Faaborg-Midtfyn,2019,39.11
Fanø,2019,43.18
Favrskov,2019,38.26
Faxe,2019,46.5
Fredensborg,2019,42.85
Fredericia,2019,82.27
Frederiksberg,2019,69.42
Frederikshavn,2019,58.01
Frederikssund,2019,61.72
Furesø,2019,48.31
Gentofte,2019,73.21
Gladsaxe,2019,62.21
Glostrup,2019,107.41
Greve,2019,65.91
Gribskov,2019,62.24
Guldborgsund,2019,79.91
Haderslev,2019,54.0
Halsnæs,2019,63.06
Hedensted,2019,42.63
Helsingør,2019,73.51
Herlev,2019,99.74
Herning,2019,62.88
Hillerød,2019,66.47
Hjørring,2019,48.81
Holbæk,2019,58.05
Holstebro,2019,64.39
Horsens,2019,65.96
Hvidovre,2019,76.62
Høje-Taastrup,2019,89.35
Hørsholm,2019,85.3
Ikast-Brande,2019,235.91
Ishøj,2019,89.3
Jammerbugt,2019,43.81
Kalundborg,2019,53.98
Kerteminde,2019,41.85
Kolding,2019,69.56
Køge,2019,60.96
Langeland,2019,48.49
Lejre,2019,37.44
Lemvig,2019,35.6
Lolland,2019,113.08
Lyngby-Taarbæk,2019,76.66
Læsø,2019,30.45
Mariagerfjord,2019,49.22
Middelfart,2019,55.72
Morsø,2019,43.47
Norddjurs,2019,56.93
Nordfyns,2019,43.71
Nyborg,2019,65.41
Næstved,2019,59.33
Odder,2019,34.4
Odense,2019,76.45
Odsherred,2019,66.21
Randers,2019,75.78
Rebild,2019,36.67
Ringkøbing-Skjern,2019,34.46
Ringsted,2019,57.28
Roskilde,2019,75.75
Rudersdal,2019,64.93
Rødovre,2019,81.89
Samsø,2019,41.53
Silkeborg,2019,48.91
Skanderborg,2019,40.27
Skive,2019,53.61
Slagelse,2019,78.55
Solrød,2019,50.25
Sorø,2019,54.27
Stevns,2019,32.92
Struer,2019,49.47
Svendborg,2019,52.87
Syddjurs,2019,44.29
Sønderborg,2019,53.73
Thisted,2019,43.75
Tårnby,2019,171.55
Tønder,2019,79.76
Vallensbæk,2019,57.34
Varde,2019,49.93
Vejen,2019,50.39
Vejle,2019,64.63
Vesthimmerlands,2019,47.04
Viborg,2019,49.44
Vordingborg,2019,58.63
Ærø,2019,26.74
Aabenraa,2022,76.19
Aalborg,2022,63.75
Aarhus,2022,85.3
Albertslund,2022,89.97
Allerød,2022,65.6
Assens,2022,35.98
Ballerup,2022,72.29
Billund,2022,71.01
Bornholm,2022,43.98
Brøndby,2022,85.8
Brønderslev,2022,40.56
Copenhagen,2022,126.03
Dragør,2022,33.88
Egedal,2022,40.7
Esbjerg,2022,68.7
Faaborg-Midtfyn,2022,38.36
Fanø,2022,49.9
Favrskov,2022,31.81
Faxe,2022,49.3
Fredensborg,2022,43.51
Fredericia,2022,78.44
Frederiksberg,2022,75.26
Frederikshavn,2022,48.56
Frederikssund,2022,53.91
Furesø,2022,48.84
Gentofte,2022,63.13
Gladsaxe,2022,64.28
Glostrup,2022,93.77
Greve,2022,62.67
Gribskov,2022,60.78
Guldborgsund,2022,62.08
Haderslev,2022,54.48
Halsnæs,2022,54.94
Hedensted,2022,37.92
Helsingør,2022,78.84
Herlev,2022,75.1
Herning,2022,61.71
Hillerød,2022,70.86
Hjørring,2022,47.51
Holbæk,2022,48.54
Holstebro,2022,50.26
Horsens,2022,56.01
Hvidovre,2022,71.49
Høje-Taastrup,2022,78.94
Hørsholm,2022,87.4
Ikast-Brande,2022,86.55
Ishøj,2022,76.94
Jammerbugt,2022,36.48
Kalundborg,2022,56.81
Kerteminde,2022,34.12
Kolding,2022,62.69
Køge,2022,55.25
Langeland,2022,56.59
Lejre,2022,39.72
Lemvig,2022,33.2
Lolland,2022,81.21
Lyngby-Taarbæk,2022,67.6
Læsø,2022,22.61
Mariagerfjord,2022,40.97
Middelfart,2022,49.82
Morsø,2022,41.11
Norddjurs,2022,48.78
Nordfyns,2022,35.94
Nyborg,2022,53.18
Næstved,2022,58.73
Odder,2022,34.89
Odense,2022,75.42
Odsherred,2022,67.42
Randers,2022,64.17
Rebild,2022,32.7
Ringkøbing-Skjern,2022,36.88
Ringsted,2022,55.41
Roskilde,2022,66.03
Rudersdal,2022,51.2
Rødovre,2022,80.81
Samsø,2022,43.6
Silkeborg,2022,41.56
Skanderborg,2022,34.22
Skive,2022,47.85
Slagelse,2022,63.12
Solrød,2022,46.36
Sorø,2022,41.24
Stevns,2022,37.7
Struer,2022,44.71
Svendborg,2022,52.29
Syddjurs,2022,37.76
Sønderborg,2022,50.6
Thisted,2022,44.16
Tårnby,2022,134.8
Tønder,2022,59.68
Vallensbæk,2022,47.19
Varde,2022,45.16
Vejen,2022,55.5
Vejle,2022,55.06
Vesthimmerlands,2022,43.77
Viborg,2022,49.84
Vordingborg,2022,63.81
Ærø,2022,23.9
