municipality,year,value
Aabenraa,2010,62.83
Aalborg,2010,38.52
Aarhus,2010,25.82
Albertslund,2010,13.13
Allerød,2010,54.76
Assens,2010,71.54
Ballerup,2010,28.85
Billund,2010,67.4
Bornholm,2010,62.28
Brøndby,2010,21.13
Brønderslev,2010,71.96
Copenhagen,2010,5.17
Dragør,2010,53.79
Egedal,2010,57.6
Esbjerg,2010,49.71
Faaborg-Midtfyn,2010,70.68
Fanø,2010,60.34
Favrskov,2010,72.13
Faxe,2010,66.36
Fredensborg,2010,35.68
Fredericia,2010,43.79
Frederiksberg,2010,1.87
Frederikshavn,2010,61.47
Frederikssund,2010,55.99
Furesø,2010,38.15
Gentofte,2010,31.7
Gladsaxe,2010,21.83
Glostrup,2010,24.49
Greve,2010,50.88
Gribskov,2010,73.81
Guldborgsund,2010,61.89
Haderslev,2010,57.33
Halsnæs,2010,62.49
Hedensted,2010,78.72
Helsingør,2010,34.99
Herlev,2010,24.66
Herning,2010,56.64
Hillerød,2010,46.77
Hjørring,2010,66.52
Holbæk,2010,55.28
Holstebro,2010,56.46
Horsens,2010,53.29
Hvidovre,2010,29.28
Høje-Taastrup,2010,28.19
Hørsholm,2010,36.33
Ikast-Brande,2010,66.94
Ishøj,2010,19.99
Jammerbugt,2010,79.2
Kalundborg,2010,64.12
Kerteminde,2010,64.74
Kolding,2010,52.29
Køge,2010,49.94
Langeland,2010,69.49
Lejre,2010,77.52
Lemvig,2010,72.72
Lolland,2010,64.58
Lyngby-Taarbæk,2010,23.88
Læsø,2010,82.83
Mariagerfjord,2010,68.15
Middelfart,2010,66.07
Morsø,2010,70.9
Norddjurs,2010,66.18
Nordfyns,2010,75.37
Nyborg,2010,55.94
Næstved,2010,53.64
Odder,2010,61.77
Odense,2010,32.71
Odsherred,2010,68.88
Randers,2010,48.73
Rebild,2010,77.05
Ringkøbing-Skjern,2010,71.05
Ringsted,2010,50.14
Roskilde,2010,42.13
Rudersdal,2010,43.79
Rødovre,2010,22.36
Samsø,2010,79.83
Silkeborg,2010,59.22
Skanderborg,2010,62.5
Skive,2010,65.38
Slagelse,2010,44.76
Solrød,2010,55.71
Sorø,2010,63.72
Stevns,2010,74.34
Struer,2010,64.53
Svendborg,2010,55.27
