municipality,year,value
Aabenraa,2007,388.61
Aalborg,2007,398.32
Aarhus,2007,392.14
Albertslund,2007,398.34
Allerød,2007,441.88
Assens,2007,384.84
Ballerup,2007,403.62
Billund,2007,416.29
Bornholm,2007,327.44
Brøndby,2007,390.03
Brønderslev,2007,383.34
Copenhagen,2007,421.68
Dragør,2007,410.68
Egedal,2007,457.38
Esbjerg,2007,405.48
Faaborg-Midtfyn,2007,375.71
Fanø,2007,366.85
Favrskov,2007,427.81
Faxe,2007,406.97
Fredensborg,2007,410.65
Fredericia,2007,413.7
Frederiksberg,2007,425.52
Frederikshavn,2007,381.87
Frederikssund,2007,416.83
Furesø,2007,415.75
Gentofte,2007,393.66
Gladsaxe,2007,415.09
Glostrup,2007,442.75
Greve,2007,435.52
Gribskov,2007,397.02
Guldborgsund,2007,357.69
Haderslev,2007,396.57
Halsnæs,2007,403.03
Hedensted,2007,427.49
Helsingør,2007,388.93
Herlev,2007,408.02
Herning,2007,421.63
Hillerød,2007,426.34
Hjørring,2007,377.02
Holbæk,2007,408.46
Holstebro,2007,412.63
Horsens,2007,417.98
Hvidovre,2007,419.26
Høje-Taastrup,2007,431.78
Hørsholm,2007,391.66
Ikast-Brande,2007,414.43
Ishøj,2007,407.36
Jammerbugt,2007,377.31
Kalundborg,2007,387.41
Kerteminde,2007,387.81
Kolding,2007,425.22
Køge,2007,417.77
Langeland,2007,308.93
Lejre,2007,427.36
Lemvig,2007,370.51
Lolland,2007,324.56
Lyngby-Taarbæk,2007,400.32
Læsø,2007,271.09
Mariagerfjord,2007,393.21
Middelfart,2007,399.74
Morsø,2007,355.8
Norddjurs,2007,372.57
Nordfyns,2007,388.26
Nyborg,2007,379.09
Næstved,2007,402.91
Odder,2007,406.27
Odense,2007,383.09
Odsherred,2007,350.06
Randers,2007,401.19
Rebild,2007,415.37
Ringkøbing-Skjern,2007,400.24
Ringsted,2007,427.83
Roskilde,2007,426.87
Rudersdal,2007,385.47
Rødovre,2007,413.57
Samsø,2007,303.3
Silkeborg,2007,415.38
Skanderborg,2007,437.64
Skive,2007,392.9
Slagelse,2007,388.34
Solrød,2007,444.77
Sorø,2007,398.97
Stevns,2007,397.09
Struer,2007,396.74
Svendborg,2007,365.5
Syddjurs,2007,380.85
Sønderborg,2007,391.85
Thisted,2007,376.5
Tårnby,2007,433.65
Tønder,2007,364.58
Vallensbæk,2007,465.84
Varde,2007,399.5
Vejen,2007,401.04
Vejle,2007,421.44
Vesthimmerlands,2007,382.76
Viborg,2007,418.07
Vordingborg,2007,358.33
Ærø,2007,310.49
Aabenraa,2011,358.78
Aalborg,2011,372.74
Aarhus,2011,367.2
Albertslund,2011,355.97
Allerød,2011,413.93
Assens,2011,354.99
Ballerup,2011,373.27
Billund,2011,390.56
Bornholm,2011,309.96
Brøndby,2011,359.92
Brønderslev,2011,357.85
Copenhagen,2011,396.02
Dragør,2011,387.33
Egedal,2011,427.6
Esbjerg,2011,371.05
Faaborg-Midtfyn,2011,343.89
Fanø,2011,333.96
Favrskov,2011,400.67
Faxe,2011,375.15
Fredensborg,2011,387.84
Fredericia,2011,375.18
Frederiksberg,2011,404.58
Frederikshavn,2011,353.53
Frederikssund,2011,388.92
Furesø,2011,391.11
Gentofte,2011,378.57
Gladsaxe,2011,391.29
Glostrup,2011,409.09
Greve,2011,401.02
Gribskov,2011,366.02
Guldborgsund,2011,329.64
Haderslev,2011,359.41
Halsnæs,2011,364.7
Hedensted,2011,395.67
Helsingør,2011,364.72
Herlev,2011,387.6
Herning,2011,382.62
Hillerød,2011,401.08
Hjørring,2011,351.45
Holbæk,2011,378.06
Holstebro,2011,380.5
Horsens,2011,379.42
Hvidovre,2011,392.82
Høje-Taastrup,2011,391.68
Hørsholm,2011,369.53
Ikast-Brande,2011,379.53
Ishøj,2011,369.81
Jammerbugt,2011,351.97
Kalundborg,2011,353.45
Kerteminde,2011,345.44
Kolding,2011,389.54
Køge,2011,383.74
Langeland,2011,290.87
Lejre,2011,400.28
Lemvig,2011,353.72
Lolland,2011,296.26
Lyngby-Taarbæk,2011,387.08
Læsø,2011,244.74
Mariagerfjord,2011,366.23
Middelfart,2011,369.57
Morsø,2011,318.01
Norddjurs,2011,349.94
Nordfyns,2011,352.36
Nyborg,2011,343.15
Næstved,2011,371.66
Odder,2011,378.68
Odense,2011,350.84
Odsherred,2011,318.07
Randers,2011,367.81
Rebild,2011,387.49
Ringkøbing-Skjern,2011,369.74
Ringsted,2011,394.5
Roskilde,2011,399.0
Rudersdal,2011,366.22
Rødovre,2011,389.42
Samsø,2011,280.82
Silkeborg,2011,381.25
Skanderborg,2011,407.3
Skive,2011,359.54
Slagelse,2011,362.88
Solrød,2011,417.33
Sorø,2011,368.18
Stevns,2011,368.93
Struer,2011,357.37
Svendborg,2011,339.7
Syddjurs,2011,352.85
Sønderborg,2011,353.25
Thisted,2011,348.01
Tårnby,2011,405.09
Tønder,2011,339.68
Vallensbæk,2011,421.25
Varde,2011,375.11
Vejen,2011,373.71
Vejle,2011,386.6
Vesthimmerlands,2011,354.08
Viborg,2011,386.35
Vordingborg,2011,326.79
Ærø,2011,287.26
Aabenraa,2015,346.34
Aalborg,2015,364.0
Aarhus,2015,360.39
Albertslund,2015,347.77
Allerød,2015,405.39
Assens,2015,349.85
Ballerup,2015,370.53
Billund,2015,387.94
Bornholm,2015,306.14
Brøndby,2015,349.19
Brønderslev,2015,353.18
Copenhagen,2015,402.81
Dragør,2015,378.89
Egedal,2015,422.66
Esbjerg,2015,369.54
Faaborg-Midtfyn,2015,340.94
Fanø,2015,310.76
Favrskov,2015,396.23
Faxe,2015,374.09
Fredensborg,2015,373.38
Fredericia,2015,366.85
Frederiksberg,2015,405.54
Frederikshavn,2015,344.37
Frederikssund,2015,383.78
Furesø,2015,385.62
Gentofte,2015,374.65
Gladsaxe,2015,389.74
Glostrup,2015,404.62
Greve,2015,396.58
Gribskov,2015,359.76
Guldborgsund,2015,318.71
Haderslev,2015,353.69
Halsnæs,2015,363.38
Hedensted,2015,392.85
Helsingør,2015,359.83
Herlev,2015,385.92
Herning,2015,379.64
Hillerød,2015,403.46
Hjørring,2015,347.61
Holbæk,2015,374.84
Holstebro,2015,376.49
Horsens,2015,377.49
Hvidovre,2015,391.94
Høje-Taastrup,2015,383.73
Hørsholm,2015,360.32
Ikast-Brande,2015,375.95
Ishøj,2015,358.46
Jammerbugt,2015,345.99
Kalundborg,2015,345.93
Kerteminde,2015,342.42
Kolding,2015,383.03
Køge,2015,387.16
Langeland,2015,279.83
Lejre,2015,390.22
Lemvig,2015,352.42
Lolland,2015,282.89
Lyngby-Taarbæk,2015,386.38
Læsø,2015,259.05
Mariagerfjord,2015,358.86
Middelfart,2015,369.28
Morsø,2015,325.81
Norddjurs,2015,345.69
Nordfyns,2015,350.5
Nyborg,2015,333.89
Næstved,2015,366.24
Odder,2015,369.8
Odense,2015,341.94
Odsherred,2015,316.39
Randers,2015,363.8
Rebild,2015,392.43
Ringkøbing-Skjern,2015,362.66
Ringsted,2015,394.3
Roskilde,2015,390.17
Rudersdal,2015,366.97
Rødovre,2015,386.67
Samsø,2015,275.38
Silkeborg,2015,381.85
Skanderborg,2015,401.09
Skive,2015,358.03
Slagelse,2015,356.28
Solrød,2015,410.54
Sorø,2015,370.77
Stevns,2015,365.23
Struer,2015,341.85
Svendborg,2015,333.1
Syddjurs,2015,345.84
Sønderborg,2015,344.82
Thisted,2015,339.31
Tårnby,2015,406.97
Tønder,2015,333.7
Vallensbæk,2015,404.43
