municipality,year,value
Aabenraa,2007,10.01
Aalborg,2007,7.17
Aarhus,2007,13.38
Albertslund,2007,24.94
Allerød,2007,6.14
Assens,2007,3.36
Ballerup,2007,11.48
Billund,2007,5.75
Bornholm,2007,3.76
Brøndby,2007,23.91
Brønderslev,2007,3.59
Copenhagen,2007,20.38
Dragør,2007,6.25
Egedal,2007,5.63
Esbjerg,2007,7.41
Faaborg-Midtfyn,2007,3.67
Fanø,2007,5.08
Favrskov,2007,3.36
Faxe,2007,3.85
Fredensborg,2007,12.66
Fredericia,2007,7.22
Frederiksberg,2007,15.18
Frederikshavn,2007,4.3
Frederikssund,2007,5.47
Furesø,2007,10.91
Gentofte,2007,10.66
Gladsaxe,2007,12.72
Glostrup,2007,11.35
Greve,2007,10.43
Gribskov,2007,4.73
Guldborgsund,2007,5.24
Haderslev,2007,6.38
Halsnæs,2007,8.07
Hedensted,2007,3.84
Helsingør,2007,10.82
Herlev,2007,14.0
Herning,2007,6.55
Hillerød,2007,8.39
Hjørring,2007,4.43
Holbæk,2007,6.98
Holstebro,2007,5.74
Horsens,2007,8.89
Hvidovre,2007,13.65
Høje-Taastrup,2007,18.99
Hørsholm,2007,8.4
Ikast-Brande,2007,6.65
Ishøj,2007,30.46
Jammerbugt,2007,3.1
Kalundborg,2007,4.66
Kerteminde,2007,4.27
Kolding,2007,7.87
Køge,2007,8.12
Langeland,2007,3.99
Lejre,2007,3.84
Lemvig,2007,3.17
Lolland,2007,5.71
Lyngby-Taarbæk,2007,10.34
Læsø,2007,3.2
Mariagerfjord,2007,4.34
Middelfart,2007,4.45
Morsø,2007,2.99
Norddjurs,2007,4.74
Nordfyns,2007,3.37
Nyborg,2007,5.55
Næstved,2007,5.93
Odder,2007,4.69
Odense,2007,12.68
Odsherred,2007,4.07
Randers,2007,5.17
Rebild,2007,3.31
Ringkøbing-Skjern,2007,5.33
Ringsted,2007,9.01
Roskilde,2007,8.02
Rudersdal,2007,9.54
Rødovre,2007,13.22
Samsø,2007,4.65
Silkeborg,2007,5.01
Skanderborg,2007,4.26
Skive,2007,4.31
Slagelse,2007,7.95
Solrød,2007,5.52
Sorø,2007,4.14
Stevns,2007,3.7
Struer,2007,5.61
Svendborg,2007,6.11
Syddjurs,2007,4.6
Sønderborg,2007,9.5
Thisted,2007,4.36
Tårnby,2007,9.37
Tønder,2007,6.89
Vallensbæk,2007,13.05
Varde,2007,5.08
Vejen,2007,4.98
Vejle,2007,7.23
Vesthimmerlands,2007,4.47
Viborg,2007,4.92
Vordingborg,2007,4.54
Ærø,2007,3.92
Aabenraa,2011,10.67
Aalborg,2011,8.1
Aarhus,2011,14.5
Albertslund,2011,26.31
Allerød,2011,6.5
Assens,2011,3.7
Ballerup,2011,13.24
Billund,2011,6.54
Bornholm,2011,4.18
Brøndby,2011,26.17
Brønderslev,2011,3.86
Copenhagen,2011,22.15
Dragør,2011,6.95
Egedal,2011,6.33
Esbjerg,2011,8.53
Faaborg-Midtfyn,2011,4.24
Fanø,2011,6.04
Favrskov,2011,3.97
Faxe,2011,4.32
Fredensborg,2011,13.43
Fredericia,2011,8.11
Frederiksberg,2011,16.37
Frederikshavn,2011,4.63
Frederikssund,2011,6.0
Furesø,2011,11.76
Gentofte,2011,12.43
Gladsaxe,2011,15.02
Glostrup,2011,13.55
Greve,2011,11.28
Gribskov,2011,5.19
Guldborgsund,2011,5.65
Haderslev,2011,7.34
Halsnæs,2011,8.41
Hedensted,2011,4.53
Helsingør,2011,11.24
Herlev,2011,14.69
Herning,2011,7.89
Hillerød,2011,9.28
Hjørring,2011,4.93
Holbæk,2011,7.42
Holstebro,2011,6.29
Horsens,2011,10.08
Hvidovre,2011,14.96
Høje-Taastrup,2011,21.12
Hørsholm,2011,8.96
Ikast-Brande,2011,7.76
Ishøj,2011,32.75
Jammerbugt,2011,3.67
Kalundborg,2011,4.94
Kerteminde,2011,4.9
Kolding,2011,8.94
Køge,2011,8.74
Langeland,2011,4.18
Lejre,2011,4.2
Lemvig,2011,4.05
Lolland,2011,5.96
Lyngby-Taarbæk,2011,11.41
Læsø,2011,3.8
Mariagerfjord,2011,5.04
Middelfart,2011,4.8
Morsø,2011,3.86
Norddjurs,2011,5.0
Nordfyns,2011,3.95
Nyborg,2011,6.01
Næstved,2011,6.42
Odder,2011,5.3
Odense,2011,13.56
Odsherred,2011,4.37
Randers,2011,5.84
Rebild,2011,3.87
Ringkøbing-Skjern,2011,6.29
Ringsted,2011,9.83
Roskilde,2011,8.71
Rudersdal,2011,10.23
Rødovre,2011,14.79
Samsø,2011,5.28
Silkeborg,2011,5.72
Skanderborg,2011,4.82
Skive,2011,4.58
Slagelse,2011,8.59
Solrød,2011,5.88
Sorø,2011,4.37
Stevns,2011,4.11
Struer,2011,6.16
Svendborg,2011,6.46
Syddjurs,2011,5.02
Sønderborg,2011,10.5
Thisted,2011,5.44
Tårnby,2011,10.01
