municipality,year,value
Aabenraa,2010,35.55
Aalborg,2010,41.96
Aarhus,2010,41.59
Albertslund,2010,37.7
Allerød,2010,25.34
Assens,2010,32.51
Ballerup,2010,37.43
Billund,2010,34.31
Bornholm,2010,39.66
Brøndby,2010,38.74
Brønderslev,2010,34.97
Copenhagen,2010,50.42
Dragør,2010,28.38
Egedal,2010,22.13
Esbjerg,2010,38.64
Faaborg-Midtfyn,2010,33.81
Fanø,2010,39.85
Favrskov,2010,28.12
Faxe,2010,31.75
Fredensborg,2010,33.49
Fredericia,2010,38.78
Frederiksberg,2010,49.85
Frederikshavn,2010,38.05
Frederikssund,2010,30.2
Furesø,2010,31.54
Gentofte,2010,40.32
Gladsaxe,2010,42.83
Glostrup,2010,44.42
Greve,2010,27.8
Gribskov,2010,27.81
Guldborgsund,2010,39.87
Haderslev,2010,37.04
Halsnæs,2010,33.07
Hedensted,2010,29.33
Helsingør,2010,38.46
Herlev,2010,40.09
Herning,2010,36.27
Hillerød,2010,32.67
Hjørring,2010,36.52
Holbæk,2010,33.57
Holstebro,2010,36.53
Horsens,2010,36.37
Hvidovre,2010,40.66
Høje-Taastrup,2010,35.32
Hørsholm,2010,36.78
Ikast-Brande,2010,33.02
Ishøj,2010,34.77
Jammerbugt,2010,32.16
Kalundborg,2010,36.04
Kerteminde,2010,32.84
Kolding,2010,36.27
Køge,2010,32.07
Langeland,2010,41.38
Lejre,2010,23.51
Lemvig,2010,36.12
Lolland,2010,41.56
Lyngby-Taarbæk,2010,45.81
Læsø,2010,43.51
Mariagerfjord,2010,35.18
Middelfart,2010,33.69
Morsø,2010,38.02
Norddjurs,2010,37.0
Nordfyns,2010,31.29
Nyborg,2010,36.17
Næstved,2010,36.82
Odder,2010,32.59
Odense,2010,42.6
Odsherred,2010,36.77
Randers,2010,39.61
Rebild,2010,29.15
Ringkøbing-Skjern,2010,33.81
Ringsted,2010,34.33
Roskilde,2010,37.21
Rudersdal,2010,35.96
Rødovre,2010,43.56
Samsø,2010,44.36
Silkeborg,2010,33.66
Skanderborg,2010,27.93
Skive,2010,37.32
Slagelse,2010,38.95
Solrød,2010,26.4
Sorø,2010,33.99
Stevns,2010,29.6
Struer,2010,34.1
Svendborg,2010,38.68
Syddjurs,2010,32.9
Sønderborg,2010,36.93
Thisted,2010,36.09
Tårnby,2010,35.68
Tønder,2010,36.19
Vallensbæk,2010,28.81
Varde,2010,32.94
Vejen,2010,32.31
Vejle,2010,36.47
Vesthimmerlands,2010,35.54
Viborg,2010,35.43
Vordingborg,2010,38.64
Ærø,2010,47.1
Aabenraa,2011,35.59
Aalborg,2011,41.88
Aarhus,2011,41.17
Albertslund,2011,38.41
Allerød,2011,25.33
Assens,2011,33.36
Ballerup,2011,37.54
Billund,2011,34.6
Bornholm,2011,40.08
Brøndby,2011,38.9
Brønderslev,2011,35.1
Copenhagen,2011,49.43
Dragør,2011,28.14
Egedal,2011,22.51
Esbjerg,2011,38.81
Faaborg-Midtfyn,2011,33.55
Fanø,2011,39.59
Favrskov,2011,28.65
Faxe,2011,32.0
Fredensborg,2011,33.36
Fredericia,2011,38.98
Frederiksberg,2011,48.93
Frederikshavn,2011,38.19
Frederikssund,2011,30.5
Furesø,2011,31.31
Gentofte,2011,40.98
Gladsaxe,2011,42.36
Glostrup,2011,44.04
Greve,2011,27.98
Gribskov,2011,28.15
Guldborgsund,2011,39.96
Haderslev,2011,37.31
Halsnæs,2011,33.39
Hedensted,2011,29.7
