municipality,year,value
Aabenraa,2010,58.01
Aalborg,2010,44.9
Aarhus,2010,35.76
Albertslund,2010,31.18
Allerød,2010,69.74
Assens,2010,65.85
Ballerup,2010,34.97
Billund,2010,64.51
Bornholm,2010,68.65
Brøndby,2010,29.69
Brønderslev,2010,67.24
Copenhagen,2010,17.62
Dragør,2010,70.23
Egedal,2010,75.65
Esbjerg,2010,50.48
Faaborg-Midtfyn,2010,67.33
Fanø,2010,70.13
Favrskov,2010,71.29
Faxe,2010,65.1
Fredensborg,2010,58.48
Fredericia,2010,48.75
Frederiksberg,2010,21.25
Frederikshavn,2010,58.97
Frederikssund,2010,63.4
Furesø,2010,57.28
Gentofte,2010,54.7
Gladsaxe,2010,39.23
Glostrup,2010,33.22
Greve,2010,63.29
Gribskov,2010,75.76
Guldborgsund,2010,62.59
Haderslev,2010,57.07
Halsnæs,2010,62.49
Hedensted,2010,73.49
Helsingør,2010,49.07
Herlev,2010,32.54
Herning,2010,59.0
Hillerød,2010,58.07
Hjørring,2010,63.55
Holbæk,2010,56.6
Holstebro,2010,61.86
Horsens,2010,55.76
Hvidovre,2010,38.61
Høje-Taastrup,2010,55.11
Hørsholm,2010,58.59
Ikast-Brande,2010,65.27
Ishøj,2010,41.66
Jammerbugt,2010,74.75
Kalundborg,2010,61.77
Kerteminde,2010,60.93
Kolding,2010,54.8
Køge,2010,55.14
Langeland,2010,65.39
Lejre,2010,78.12
Lemvig,2010,69.05
Lolland,2010,61.96
Lyngby-Taarbæk,2010,45.05
Læsø,2010,76.88
Mariagerfjord,2010,64.55
Middelfart,2010,61.59
Morsø,2010,68.36
Norddjurs,2010,64.41
Nordfyns,2010,70.79
Nyborg,2010,59.32
Næstved,2010,58.34
Odder,2010,64.76
Odense,2010,42.52
Odsherred,2010,66.48
Randers,2010,54.0
Rebild,2010,73.62
Ringkøbing-Skjern,2010,68.18
Ringsted,2010,55.69
Roskilde,2010,52.72
Rudersdal,2010,61.35
Rødovre,2010,38.27
Samsø,2010,71.6
Silkeborg,2010,58.65
Skanderborg,2010,67.89
Skive,2010,62.16
Slagelse,2010,50.39
Solrød,2010,71.16
Sorø,2010,62.45
Stevns,2010,71.99
Struer,2010,64.77
Svendborg,2010,0.1
Syddjurs,2010,69.03
Sønderborg,2010,52.99
Thisted,2010,68.77
Tårnby,2010,49.71
Tønder,2010,62.93
Vallensbæk,2010,72.81
Varde,2010,67.67
Vejen,2010,66.43
Vejle,2010,56.52
Vesthimmerlands,2010,66.07
Viborg,2010,62.53
Vordingborg,2010,61.47
Ærø,2010,69.27
Aabenraa,2011,57.8
Aalborg,2011,44.67
Aarhus,2011,35.79
Albertslund,2011,31.26
Allerød,2011,70.49
Assens,2011,68.15
Ballerup,2011,35.2
Billund,2011,65.12
Bornholm,2011,68.21
Brøndby,2011,29.64
Brønderslev,2011,66.93
Copenhagen,2011,17.36
Dragør,2011,70.82
Egedal,2011,76.02
Esbjerg,2011,50.61
Faaborg-Midtfyn,2011,67.92
Fanø,2011,70.26
Favrskov,2011,70.76
Faxe,2011,65.0
Fredensborg,2011,58.7
Fredericia,2011,48.67
Frederiksberg,2011,21.11
Frederikshavn,2011,58.64
Frederikssund,2011,63.62
Furesø,2011,58.51
Gentofte,2011,54.41
Gladsaxe,2011,38.97
Glostrup,2011,33.46
Greve,2011,63.74
Gribskov,2011,75.11
Guldborgsund,2011,62.24
Haderslev,2011,57.15
Halsnæs,2011,62.55
Hedensted,2011,73.03
Helsingør,2011,49.59
Herlev,2011,32.72
Herning,2011,59.2
Hillerød,2011,58.06
Hjørring,2011,63.79
Holbæk,2011,56.52
Holstebro,2011,61.63
Horsens,2011,55.77
Hvidovre,2011,38.74
Høje-Taastrup,2011,54.88
Hørsholm,2011,59.11
Ikast-Brande,2011,65.03
Ishøj,2011,41.49
Jammerbugt,2011,74.12
Kalundborg,2011,61.58
Kerteminde,2011,60.68
Kolding,2011,54.97
Køge,2011,55.69
Langeland,2011,65.09
Lejre,2011,77.74
Lemvig,2011,69.07
Lolland,2011,61.98
Lyngby-Taarbæk,2011,45.22
Læsø,2011,77.14
Mariagerfjord,2011,64.39
Middelfart,2011,64.65
Morsø,2011,67.73
Norddjurs,2011,63.89
Nordfyns,2011,71.36
Nyborg,2011,59.37
Næstved,2011,58.25
Odder,2011,64.64
Odense,2011,42.38
Odsherred,2011,66.36
Randers,2011,53.78
Rebild,2011,73.77
Ringkøbing-Skjern,2011,68.65
Ringsted,2011,55.42
Roskilde,2011,52.39
Rudersdal,2011,61.47
Rødovre,2011,38.54
Samsø,2011,71.7
Silkeborg,2011,58.82
Skanderborg,2011,67.91
Skive,2011,61.91
Slagelse,2011,50.55
Solrød,2011,70.82
Sorø,2011,62.35
Stevns,2011,72.18
Struer,2011,65.15
Svendborg,2011,56.19
Syddjurs,2011,68.98
Sønderborg,2011,52.86
Thisted,2011,68.31
Tårnby,2011,50.02
Tønder,2011,62.89
Vallensbæk,2011,71.4
Varde,2011,67.78
Vejen,2011,66.52
Vejle,2011,56.56
Vesthimmerlands,2011,66.04
Viborg,2011,62.26
Vordingborg,2011,61.31
Ærø,2011,69.1
Aabenraa,2012,57.81
Aalborg,2012,44.31
Aarhus,2012,35.8
Albertslund,2012,31.15
Allerød,2012,70.77
Assens,2012,67.68
Ballerup,2012,35.14
Billund,2012,64.14
Bornholm,2012,67.98
Brøndby,2012,29.49
Brønderslev,2012,66.59
Copenhagen,2012,17.2
Dragør,2012,70.64
Egedal,2012,76.0
Esbjerg,2012,50.34
Faaborg-Midtfyn,2012,67.46
Fanø,2012,69.95
Favrskov,2012,70.44
Faxe,2012,64.99
Fredensborg,2012,56.05
Fredericia,2012,48.5
Frederiksberg,2012,21.16
Frederikshavn,2012,58.31
Frederikssund,2012,63.1
Furesø,2012,58.8
Gentofte,2012,54.26
Gladsaxe,2012,38.66
Glostrup,2012,33.28
Greve,2012,62.99
Gribskov,2012,75.01
Guldborgsund,2012,61.77
Haderslev,2012,56.75
Halsnæs,2012,62.55
Hedensted,2012,72.72
Helsingør,2012,49.68
Herlev,2012,32.5
Herning,2012,58.94
Hillerød,2012,57.6
Hjørring,2012,63.47
Holbæk,2012,56.15
Holstebro,2012,61.39
Horsens,2012,55.16
Hvidovre,2012,38.39
Høje-Taastrup,2012,54.55
Hørsholm,2012,58.71
Ikast-Brande,2012,64.91
Ishøj,2012,41.51
Jammerbugt,2012,73.21
Kalundborg,2012,61.23
Kerteminde,2012,60.19
Kolding,2012,54.66
Køge,2012,55.55
Langeland,2012,64.92
Lejre,2012,76.81
Lemvig,2012,69.02
Lolland,2012,61.48
Lyngby-Taarbæk,2012,44.99
Læsø,2012,76.84
Mariagerfjord,2012,63.73
Middelfart,2012,64.32
Morsø,2012,67.62
Norddjurs,2012,63.92
Nordfyns,2012,70.83
Nyborg,2012,59.43
Næstved,2012,57.82
Odder,2012,64.46
Odense,2012,42.06
Odsherred,2012,65.95
Randers,2012,53.51
Rebild,2012,73.25
Ringkøbing-Skjern,2012,68.26
Ringsted,2012,55.16
Roskilde,2012,52.25
Rudersdal,2012,61.43
Rødovre,2012,38.33
Samsø,2012,70.53
Silkeborg,2012,58.72
Skanderborg,2012,67.64
Skive,2012,61.81
Slagelse,2012,50.25
Solrød,2012,70.58
Sorø,2012,62.13
Stevns,2012,71.66
Struer,2012,64.31
Svendborg,2012,56.47
Syddjurs,2012,68.96
Sønderborg,2012,52.63
Thisted,2012,67.93
Tårnby,2012,50.0
Tønder,2012,62.7
Vallensbæk,2012,71.37
Varde,2012,67.28
Vejen,2012,66.09
Vejle,2012,56.11
Vesthimmerlands,2012,65.71
Viborg,2012,61.63
Vordingborg,2012,61.03
Ærø,2012,68.01
Aabenraa,2013,57.41
Aalborg,2013,43.66
Aarhus,2013,35.43
Albertslund,2013,31.25
Allerød,2013,70.73
Assens,2013,67.1
Ballerup,2013,34.73
Billund,2013,63.58
Bornholm,2013,67.02
Brøndby,2013,29.36
Brønderslev,2013,66.36
Copenhagen,2013,17.16
Dragør,2013,70.37
Egedal,2013,75.65
Esbjerg,2013,50.06
Faaborg-Midtfyn,2013,67.15
Fanø,2013,68.97
Favrskov,2013,70.26
Faxe,2013,64.32
Fredensborg,2013,55.81
Fredericia,2013,48.42
Frederiksberg,2013,20.99
Frederikshavn,2013,57.76
Frederikssund,2013,62.62
Furesø,2013,58.93
Gentofte,2013,54.17
Gladsaxe,2013,38.31
Glostrup,2013,33.15
Greve,2013,62.9
Gribskov,2013,74.01
Guldborgsund,2013,61.33
Haderslev,2013,56.32
Halsnæs,2013,62.34
Hedensted,2013,72.19
Helsingør,2013,49.43
Herlev,2013,32.51
Herning,2013,58.45
Hillerød,2013,57.57
Hjørring,2013,63.09
Holbæk,2013,56.11
Holstebro,2013,61.17
Horsens,2013,54.01
Hvidovre,2013,38.06
Høje-Taastrup,2013,54.08
Hørsholm,2013,58.12
Ikast-Brande,2013,64.57
Ishøj,2013,41.38
Jammerbugt,2013,72.58
Kalundborg,2013,61.08
Kerteminde,2013,59.66
Kolding,2013,54.21
Køge,2013,54.66
Langeland,2013,63.99
Lejre,2013,76.27
Lemvig,2013,68.37
Lolland,2013,61.22
Lyngby-Taarbæk,2013,44.81
Læsø,2013,76.46
Mariagerfjord,2013,63.34
Middelfart,2013,63.95
Morsø,2013,67.44
Norddjurs,2013,62.92
Nordfyns,2013,70.16
Nyborg,2013,58.99
Næstved,2013,57.18
Odder,2013,63.71
Odense,2013,41.66
Odsherred,2013,65.4
