municipality,year,value
Aabenraa,2007,3.84
Aalborg,2007,5.16
Aarhus,2007,3.96
Albertslund,2007,4.86
Allerød,2007,1.58
Assens,2007,3.75
Ballerup,2007,2.42
Billund,2007,1.94
Bornholm,2007,7.39
Brøndby,2007,3.45
Brønderslev,2007,4.94
Copenhagen,2007,5.89
Dragør,2007,2.28
Egedal,2007,1.43
Esbjerg,2007,2.7
Faaborg-Midtfyn,2007,3.61
Fanø,2007,2.82
Favrskov,2007,2.23
Faxe,2007,3.1
Fredensborg,2007,2.95
Fredericia,2007,3.36
Frederiksberg,2007,4.06
Frederikshavn,2007,5.71
Frederikssund,2007,2.08
Furesø,2007,2.97
Gentofte,2007,2.72
Gladsaxe,2007,3.22
Glostrup,2007,3.38
Greve,2007,2.4
Gribskov,2007,2.64
Guldborgsund,2007,4.06
Haderslev,2007,3.33
Halsnæs,2007,2.98
Hedensted,2007,1.52
Helsingør,2007,3.3
Herlev,2007,3.59
Herning,2007,2.32
Hillerød,2007,2.19
Hjørring,2007,5.18
Holbæk,2007,3.28
Holstebro,2007,2.15
Horsens,2007,2.31
Hvidovre,2007,2.91
Høje-Taastrup,2007,3.9
Hørsholm,2007,1.95
Ikast-Brande,2007,3.02
Ishøj,2007,6.06
Jammerbugt,2007,4.91
Kalundborg,2007,3.76
Kerteminde,2007,3.62
Kolding,2007,2.57
Køge,2007,3.21
Langeland,2007,5.34
Lejre,2007,1.92
Lemvig,2007,3.1
Lolland,2007,6.29
Lyngby-Taarbæk,2007,2.3
Læsø,2007,9.07
Mariagerfjord,2007,3.25
Middelfart,2007,2.84
Morsø,2007,3.06
Norddjurs,2007,4.41
Nordfyns,2007,3.86
Nyborg,2007,3.44
Næstved,2007,3.56
Odder,2007,2.78
Odense,2007,4.93
Odsherred,2007,3.6
Randers,2007,3.28
Rebild,2007,3.28
Ringkøbing-Skjern,2007,1.78
Ringsted,2007,3.11
Roskilde,2007,2.33
Rudersdal,2007,2.31
Rødovre,2007,3.29
Samsø,2007,5.49
Silkeborg,2007,2.84
Skanderborg,2007,2.35
Skive,2007,2.45
Slagelse,2007,4.55
Solrød,2007,2.58
Sorø,2007,2.99
Stevns,2007,3.35
Struer,2007,2.78
Svendborg,2007,4.72
Syddjurs,2007,3.8
Sønderborg,2007,2.95
Thisted,2007,2.22
Tårnby,2007,3.53
Tønder,2007,3.67
Vallensbæk,2007,2.57
Varde,2007,1.89
Vejen,2007,1.82
Vejle,2007,2.25
Vesthimmerlands,2007,3.28
Viborg,2007,2.33
Vordingborg,2007,4.45
Ærø,2007,4.08
Aabenraa,2008,2.83
Aalborg,2008,3.62
Aarhus,2008,2.69
Albertslund,2008,3.72
Allerød,2008,1.11
Assens,2008,2.79
Ballerup,2008,1.94
Billund,2008,1.29
Bornholm,2008,6.05
Brøndby,2008,2.59
Brønderslev,2008,3.51
Copenhagen,2008,4.51
Dragør,2008,1.65
Egedal,2008,1.06
Esbjerg,2008,2.07
Faaborg-Midtfyn,2008,2.62
Fanø,2008,1.93
Favrskov,2008,1.67
Faxe,2008,2.43
Fredensborg,2008,1.96
Fredericia,2008,2.54
Frederiksberg,2008,2.99
Frederikshavn,2008,3.77
Frederikssund,2008,1.8
Furesø,2008,1.92
Gentofte,2008,1.75
Gladsaxe,2008,2.31
Glostrup,2008,2.18
Greve,2008,1.79
Gribskov,2008,1.91
Guldborgsund,2008,3.01
Haderslev,2008,2.2
Halsnæs,2008,2.48
Hedensted,2008,1.04
Helsingør,2008,2.58
Herlev,2008,2.49
Herning,2008,1.63
Hillerød,2008,1.49
Hjørring,2008,3.45
Holbæk,2008,2.43
Holstebro,2008,1.72
Horsens,2008,1.95
Hvidovre,2008,2.18
Høje-Taastrup,2008,3.0
Hørsholm,2008,1.34
Ikast-Brande,2008,2.47
Ishøj,2008,4.83
Jammerbugt,2008,3.25
Kalundborg,2008,2.24
Kerteminde,2008,2.74
Kolding,2008,1.79
Køge,2008,2.59
Langeland,2008,3.36
Lejre,2008,1.47
Lemvig,2008,1.99
Lolland,2008,4.4
Lyngby-Taarbæk,2008,1.53
Læsø,2008,7.0
Mariagerfjord,2008,2.51
Middelfart,2008,1.75
Morsø,2008,2.92
Norddjurs,2008,2.88
Nordfyns,2008,2.91
Nyborg,2008,2.63
Næstved,2008,2.95
Odder,2008,1.98
Odense,2008,3.72
Odsherred,2008,2.76
Randers,2008,2.22
Rebild,2008,2.09
Ringkøbing-Skjern,2008,1.42
Ringsted,2008,2.29
Roskilde,2008,1.6
Rudersdal,2008,1.38
Rødovre,2008,2.38
Samsø,2008,3.91
Silkeborg,2008,1.86
Skanderborg,2008,1.5
Skive,2008,2.22
Slagelse,2008,3.43
Solrød,2008,1.97
Sorø,2008,2.38
Stevns,2008,2.32
Struer,2008,2.38
Svendborg,2008,3.08
Syddjurs,2008,2.56
Sønderborg,2008,2.18
Thisted,2008,1.88
Tårnby,2008,2.8
Tønder,2008,2.39
Vallensbæk,2008,1.86
Varde,2008,1.32
Vejen,2008,1.18
Vejle,2008,1.54
Vesthimmerlands,2008,2.49
Viborg,2008,1.63
Vordingborg,2008,3.58
Ærø,2008,2.71
Aabenraa,2009,5.22
Aalborg,2009,5.6
Aarhus,2009,4.41
Albertslund,2009,5.92
Allerød,2009,2.14
Assens,2009,6.01
Ballerup,2009,3.58
Billund,2009,3.31
Bornholm,2009,7.38
Brøndby,2009,4.84
Brønderslev,2009,6.18
Copenhagen,2009,6.35
Dragør,2009,2.76
Egedal,2009,2.42
Esbjerg,2009,4.08
Faaborg-Midtfyn,2009,5.2
Fanø,2009,3.46
Favrskov,2009,3.94
Faxe,2009,4.94
Fredensborg,2009,3.47
Fredericia,2009,5.27
Frederiksberg,2009,4.23
Frederikshavn,2009,6.46
Frederikssund,2009,3.76
Furesø,2009,3.07
Gentofte,2009,2.58
Gladsaxe,2009,3.82
Glostrup,2009,4.53
Greve,2009,3.38
Gribskov,2009,3.55
Guldborgsund,2009,5.12
Haderslev,2009,4.48
Halsnæs,2009,5.28
Hedensted,2009,4.04
Helsingør,2009,4.58
Herlev,2009,4.47
Herning,2009,4.21
Hillerød,2009,3.22
Hjørring,2009,6.17
Holbæk,2009,4.39
Holstebro,2009,4.43
Horsens,2009,5.13
Hvidovre,2009,3.94
Høje-Taastrup,2009,5.15
Hørsholm,2009,2.48
Ikast-Brande,2009,5.72
Ishøj,2009,7.56
Jammerbugt,2009,5.75
Kalundborg,2009,4.45
Kerteminde,2009,5.48
Kolding,2009,4.28
Køge,2009,4.83
Langeland,2009,5.0
Lejre,2009,2.91
Lemvig,2009,4.29
Lolland,2009,7.03
Lyngby-Taarbæk,2009,2.58
Læsø,2009,8.38
Mariagerfjord,2009,5.52
Middelfart,2009,4.23
Morsø,2009,6.32
Norddjurs,2009,5.12
Nordfyns,2009,5.68
Nyborg,2009,5.14
Næstved,2009,5.28
Odder,2009,4.12
Odense,2009,5.86
Odsherred,2009,5.27
Randers,2009,5.32
Rebild,2009,5.0
Ringkøbing-Skjern,2009,4.04
Ringsted,2009,4.39
Roskilde,2009,3.16
Rudersdal,2009,2.44
Rødovre,2009,4.21
Samsø,2009,4.71
Silkeborg,2009,4.29
Skanderborg,2009,3.41
Skive,2009,5.81
Slagelse,2009,5.55
Solrød,2009,3.52
Sorø,2009,4.06
Stevns,2009,4.65
Struer,2009,5.43
Svendborg,2009,4.8
Syddjurs,2009,4.4
Sønderborg,2009,5.28
Thisted,2009,4.22
Tårnby,2009,4.7
Tønder,2009,5.08
Vallensbæk,2009,3.64
Varde,2009,3.34
Vejen,2009,3.7
Vejle,2009,3.84
Vesthimmerlands,2009,5.5
Viborg,2009,4.19
Vordingborg,2009,5.68
Ærø,2009,4.21
Aabenraa,2010,6.86
Aalborg,2010,6.48
Aarhus,2010,5.27
Albertslund,2010,7.76
Allerød,2010,2.87
Assens,2010,7.65
Ballerup,2010,4.55
Billund,2010,4.15
Bornholm,2010,8.17
Brøndby,2010,6.77
Brønderslev,2010,6.85
Copenhagen,2010,7.63
Dragør,2010,3.63
Egedal,2010,3.52
Esbjerg,2010,5.45
Faaborg-Midtfyn,2010,6.62
Fanø,2010,4.35
Favrskov,2010,4.74
Faxe,2010,6.39
Fredensborg,2010,4.38
Fredericia,2010,6.77
Frederiksberg,2010,5.72
Frederikshavn,2010,8.01
Frederikssund,2010,4.89
Furesø,2010,4.23
Gentofte,2010,3.46
Gladsaxe,2010,5.36
Glostrup,2010,6.38
Greve,2010,4.85
Gribskov,2010,5.13
Guldborgsund,2010,6.43
Haderslev,2010,6.46
Halsnæs,2010,7.08
Hedensted,2010,5.13
Helsingør,2010,5.6
Herlev,2010,5.86
Herning,2010,5.47
Hillerød,2010,4.58
Hjørring,2010,7.22
Holbæk,2010,5.67
Holstebro,2010,5.31
Horsens,2010,6.83
Hvidovre,2010,5.42
Høje-Taastrup,2010,7.19
Hørsholm,2010,3.16
Ikast-Brande,2010,6.85
Ishøj,2010,10.02
Jammerbugt,2010,6.38
Kalundborg,2010,6.49
Kerteminde,2010,7.57
Kolding,2010,5.94
Køge,2010,6.29
Langeland,2010,7.16
Lejre,2010,3.97
Lemvig,2010,4.88
Lolland,2010,9.18
Lyngby-Taarbæk,2010,3.64
Læsø,2010,8.64
Mariagerfjord,2010,6.41
