municipality,year,value
Aabenraa,2007,2.87
Aalborg,2007,3.27
Aarhus,2007,2.01
Albertslund,2007,5.25
Allerød,2007,0.38
Assens,2007,1.78
Ballerup,2007,1.68
Billund,2007,1.91
Bornholm,2007,4.16
Brøndby,2007,1.54
Brønderslev,2007,3.35
Copenhagen,2007,6.13
Dragør,2007,1.73
Egedal,2007,0.32
Esbjerg,2007,1.94
Faaborg-Midtfyn,2007,1.02
Fanø,2007,2.19
Favrskov,2007,0.55
Faxe,2007,2.23
Fredensborg,2007,3.44
Fredericia,2007,2.75
Frederiksberg,2007,4.17
Frederikshavn,2007,1.69
Frederikssund,2007,2.63
Furesø,2007,2.81
Gentofte,2007,1.41
Gladsaxe,2007,3.26
Glostrup,2007,4.01
Greve,2007,1.61
Gribskov,2007,3.36
Guldborgsund,2007,1.43
Haderslev,2007,1.15
Halsnæs,2007,2.4
Hedensted,2007,0.44
Helsingør,2007,3.58
Herlev,2007,3.5
Herning,2007,0.74
Hillerød,2007,2.49
Hjørring,2007,1.79
Holbæk,2007,3.36
Holstebro,2007,0.54
Horsens,2007,2.01
Hvidovre,2007,1.5
Høje-Taastrup,2007,3.27
Hørsholm,2007,0.66
Ikast-Brande,2007,1.55
Ishøj,2007,5.46
Jammerbugt,2007,0.95
Kalundborg,2007,3.84
Kerteminde,2007,1.18
Kolding,2007,2.1
Køge,2007,2.65
Langeland,2007,1.82
Lejre,2007,1.35
Lemvig,2007,0.63
Lolland,2007,4.6
Lyngby-Taarbæk,2007,1.65
Læsø,2007,1.5
Mariagerfjord,2007,1.76
Middelfart,2007,0.7
Morsø,2007,3.26
Norddjurs,2007,1.76
Nordfyns,2007,0.92
Nyborg,2007,0.89
Næstved,2007,3.48
Odder,2007,1.3
Odense,2007,3.15
Odsherred,2007,3.47
Randers,2007,0.56
Rebild,2007,0.83
Ringkøbing-Skjern,2007,1.28
Ringsted,2007,2.99
Roskilde,2007,1.16
Rudersdal,2007,1.19
Rødovre,2007,1.6
Samsø,2007,1.71
Silkeborg,2007,1.3
Skanderborg,2007,0.59
Skive,2007,0.7
Slagelse,2007,3.72
Solrød,2007,2.5
Sorø,2007,1.58
Stevns,2007,1.55
Struer,2007,1.28
Svendborg,2007,2.0
Syddjurs,2007,1.43
Sønderborg,2007,2.81
Thisted,2007,1.23
Tårnby,2007,3.45
Tønder,2007,1.96
Vallensbæk,2007,0.56
Varde,2007,0.7
Vejen,2007,0.45
Vejle,2007,0.79
Vesthimmerlands,2007,1.65
Viborg,2007,1.75
Vordingborg,2007,4.23
Ærø,2007,1.49
Aabenraa,2011,2.58
Aalborg,2011,2.83
Aarhus,2011,2.28
Albertslund,2011,7.27
Allerød,2011,0.75
Assens,2011,3.34
Ballerup,2011,2.86
Billund,2011,0.96
Bornholm,2011,5.05
Brøndby,2011,4.41
Brønderslev,2011,1.4
Copenhagen,2011,8.65
Dragør,2011,2.84
Egedal,2011,2.02
Esbjerg,2011,2.15
Faaborg-Midtfyn,2011,1.85
Fanø,2011,1.24
Favrskov,2011,1.17
Faxe,2011,3.03
Fredensborg,2011,1.7
Fredericia,2011,4.05
Frederiksberg,2011,4.57
Frederikshavn,2011,2.53
Frederikssund,2011,3.5
Furesø,2011,2.64
Gentofte,2011,2.44
Gladsaxe,2011,4.06
Glostrup,2011,3.74
Greve,2011,2.63
Gribskov,2011,3.12
Guldborgsund,2011,2.4
Haderslev,2011,2.33
Halsnæs,2011,6.12
Hedensted,2011,0.43
Helsingør,2011,3.26
Herlev,2011,5.56
Herning,2011,2.45
Hillerød,2011,3.59
Hjørring,2011,2.57
Holbæk,2011,1.96
Holstebro,2011,0.89
Horsens,2011,3.74
Hvidovre,2011,2.82
Høje-Taastrup,2011,6.89
Hørsholm,2011,0.74
Ikast-Brande,2011,2.29
Ishøj,2011,8.61
Jammerbugt,2011,1.08
Kalundborg,2011,3.54
Kerteminde,2011,1.09
Kolding,2011,1.97
Køge,2011,4.78
Langeland,2011,2.93
Lejre,2011,1.83
Lemvig,2011,0.6
Lolland,2011,4.77
Lyngby-Taarbæk,2011,2.62
Læsø,2011,3.08
Mariagerfjord,2011,1.27
Middelfart,2011,1.22
Morsø,2011,2.22
Norddjurs,2011,1.26
Nordfyns,2011,1.69
Nyborg,2011,1.43
Næstved,2011,4.76
Odder,2011,1.69
Odense,2011,3.62
Odsherred,2011,3.71
Randers,2011,1.63
Rebild,2011,0.79
Ringkøbing-Skjern,2011,1.05
Ringsted,2011,4.47
Roskilde,2011,2.17
Rudersdal,2011,2.47
Rødovre,2011,3.15
Samsø,2011,2.57
Silkeborg,2011,2.25
