VALRES;OMRÅDE;TID;INDHOLD
Total;Aabenraa;2026;100.0
A. The Social Democratic Party;Aabenraa;2026;22.3
B. The Danish Social-Liberal Party;Aabenraa;2026;2.1
C. The Conservative Peoples Party;Aabenraa;2026;5.3
F. The Socialist Peoples Party;Aabenraa;2026;6.7
H. The Citizens' Party - Lars Boje Mathiesen;Aabenraa;2026;3.7
I. Liberal Alliance;Aabenraa;2026;9.3
M. The Moderats;Aabenraa;2026;6.0
O. The Danish Peoples Party;Aabenraa;2026;13.5
V. Venstre, Denmarks Liberal Party;Aabenraa;2026;18.5
Æ. The Danish Democrats - Inger Støjberg;Aabenraa;2026;9.8
Ø. The Red-Green Alliance;Aabenraa;2026;2.1
Å. The Alternative;Aabenraa;2026;0.8
Independent candidates;Aabenraa;2026;0.0
Total;Aalborg;2026;100.0
A. The Social Democratic Party;Aalborg;2026;27.5
B. The Danish Social-Liberal Party;Aalborg;2026;5.8
C. The Conservative Peoples Party;Aalborg;2026;6.1
F. The Socialist Peoples Party;Aalborg;2026;10.9
H. The Citizens' Party - Lars Boje Mathiesen;Aalborg;2026;1.7
I. Liberal Alliance;Aalborg;2026;10.9
M. The Moderats;Aalborg;2026;5.6
O. The Danish Peoples Party;Aalborg;2026;6.3
V. Venstre, Denmarks Liberal Party;Aalborg;2026;11.0
Æ. The Danish Democrats - Inger Støjberg;Aalborg;2026;6.7
Ø. The Red-Green Alliance;Aalborg;2026;5.6
Å. The Alternative;Aalborg;2026;1.9
Independent candidates;Aalborg;2026;0.0
Total;Aarhus;2026;100.0
A. The Social Democratic Party;Aarhus;2026;18.4
B. The Danish Social-Liberal Party;Aarhus;2026;10.6
C. The Conservative Peoples Party;Aarhus;2026;8.4
F. The Socialist Peoples Party;Aarhus;2026;15.5
H. The Citizens' Party - Lars Boje Mathiesen;Aarhus;2026;1.2
I. Liberal Alliance;Aarhus;2026;10.1
M. The Moderats;Aarhus;2026;7.8
O. The Danish Peoples Party;Aarhus;2026;4.5
V. Venstre, Denmarks Liberal Party;Aarhus;2026;8.0
