VALRES;OMRÅDE;TID;INDHOLD
VALID VOTES;Aabenraa;2026;32700
A. The Social Democratic Party;Aabenraa;2026;7293
B. The Danish Social-Liberal Party;Aabenraa;2026;674
C. The Conservative Peoples Party;Aabenraa;2026;1720
F. The Socialist Peoples Party;Aabenraa;2026;2182
H. The Citizens' Party - Lars Boje Mathiesen;Aabenraa;2026;1216
I. Liberal Alliance;Aabenraa;2026;3053
M. The Moderats;Aabenraa;2026;1953
O. The Danish Peoples Party;Aabenraa;2026;4405
V. Venstre, Denmarks Liberal Party;Aabenraa;2026;6056
Æ. The Danish Democrats - Inger Støjberg;Aabenraa;2026;3195
Ø. The Red-Green Alliance;Aabenraa;2026;684
Å. The Alternative;Aabenraa;2026;269
Independent candidates;Aabenraa;2026;0
VALID VOTES;Aalborg;2026;140198
A. The Social Democratic Party;Aalborg;2026;38515
B. The Danish Social-Liberal Party;Aalborg;2026;8179
C. The Conservative Peoples Party;Aalborg;2026;8552
F. The Socialist Peoples Party;Aalborg;2026;15285
H. The Citizens' Party - Lars Boje Mathiesen;Aalborg;2026;2395
I. Liberal Alliance;Aalborg;2026;15231
M. The Moderats;Aalborg;2026;7908
O. The Danish Peoples Party;Aalborg;2026;8823
V. Venstre, Denmarks Liberal Party;Aalborg;2026;15444
Æ. The Danish Democrats - Inger Støjberg;Aalborg;2026;9399
Ø. The Red-Green Alliance;Aalborg;2026;7806
Å. The Alternative;Aalborg;2026;2661
Independent candidates;Aalborg;2026;0
VALID VOTES;Aarhus;2026;235515
A. The Social Democratic Party;Aarhus;2026;43220
B. The Danish Social-Liberal Party;Aarhus;2026;24943
C. The Conservative Peoples Party;Aarhus;2026;19682
F. The Socialist Peoples Party;Aarhus;2026;36530
H. The Citizens' Party - Lars Boje Mathiesen;Aarhus;2026;2797
I. Liberal Alliance;Aarhus;2026;23881
M. The Moderats;Aarhus;2026;18441
O. The Danish Peoples Party;Aarhus;2026;10507
V. Venstre, Denmarks Liberal Party;Aarhus;2026;18887
Æ. The Danish Democrats - Inger Støjberg;Aarhus;2026;4812
Ø. The Red-Green Alliance;Aarhus;2026;22212
Å. The Alternative;Aarhus;2026;9549
Independent candidates;Aarhus;2026;54
VALID VOTES;Albertslund;2026;14152
A. The Social Democratic Party;Albertslund;2026;3706
B. The Danish Social-Liberal Party;Albertslund;2026;1158
C. The Conservative Peoples Party;Albertslund;2026;648
F. The Socialist Peoples Party;Albertslund;2026;2253
H. The Citizens' Party - Lars Boje Mathiesen;Albertslund;2026;248
I. Liberal Alliance;Albertslund;2026;711
M. The Moderats;Albertslund;2026;746
O. The Danish Peoples Party;Albertslund;2026;1753
V. Venstre, Denmarks Liberal Party;Albertslund;2026;366
Æ. The Danish Democrats - Inger Støjberg;Albertslund;2026;256
Ø. The Red-Green Alliance;Albertslund;2026;1937
Å. The Alternative;Albertslund;2026;370
Independent candidates;Albertslund;2026;0
VALID VOTES;Allerød;2026;16601
A. The Social Democratic Party;Allerød;2026;2779
B. The Danish Social-Liberal Party;Allerød;2026;1605
C. The Conservative Peoples Party;Allerød;2026;2240
F. The Socialist Peoples Party;Allerød;2026;2093
H. The Citizens' Party - Lars Boje Mathiesen;Allerød;2026;149
I. Liberal Alliance;Allerød;2026;1631
M. The Moderats;Allerød;2026;1945
O. The Danish Peoples Party;Allerød;2026;1109
V. Venstre, Denmarks Liberal Party;Allerød;2026;1812
Æ. The Danish Democrats - Inger Støjberg;Allerød;2026;244
Ø. The Red-Green Alliance;Allerød;2026;665
Å. The Alternative;Allerød;2026;329
Independent candidates;Allerød;2026;0
VALID VOTES;Assens;2026;25115
A. The Social Democratic Party;Assens;2026;6759
B. The Danish Social-Liberal Party;Assens;2026;705
C. The Conservative Peoples Party;Assens;2026;1327
F. The Socialist Peoples Party;Assens;2026;2753
H. The Citizens' Party - Lars Boje Mathiesen;Assens;2026;891
I. Liberal Alliance;Assens;2026;2163
M. The Moderats;Assens;2026;1678
O. The Danish Peoples Party;Assens;2026;2494
V. Venstre, Denmarks Liberal Party;Assens;2026;3180
Æ. The Danish Democrats - Inger Støjberg;Assens;2026;1866
Ø. The Red-Green Alliance;Assens;2026;838
Å. The Alternative;Assens;2026;461
Independent candidates;Assens;2026;0
VALID VOTES;Ballerup;2026;28709
A. The Social Democratic Party;Ballerup;2026;8077
B. The Danish Social-Liberal Party;Ballerup;2026;1873
C. The Conservative Peoples Party;Ballerup;2026;1992
F. The Socialist Peoples Party;Ballerup;2026;3765
H. The Citizens' Party - Lars Boje Mathiesen;Ballerup;2026;551
I. Liberal Alliance;Ballerup;2026;2019
M. The Moderats;Ballerup;2026;2184
O. The Danish Peoples Party;Ballerup;2026;3738
V. Venstre, Denmarks Liberal Party;Ballerup;2026;1322
Æ. The Danish Democrats - Inger Støjberg;Ballerup;2026;486
Ø. The Red-Green Alliance;Ballerup;2026;2018
Å. The Alternative;Ballerup;2026;684
Independent candidates;Ballerup;2026;0
VALID VOTES;Billund;2026;15149
A. The Social Democratic Party;Billund;2026;3248
B. The Danish Social-Liberal Party;Billund;2026;258
C. The Conservative Peoples Party;Billund;2026;600
F. The Socialist Peoples Party;Billund;2026;836
H. The Citizens' Party - Lars Boje Mathiesen;Billund;2026;452
I. Liberal Alliance;Billund;2026;1528
M. The Moderats;Billund;2026;921
O. The Danish Peoples Party;Billund;2026;1497
V. Venstre, Denmarks Liberal Party;Billund;2026;3510
Æ. The Danish Democrats - Inger Støjberg;Billund;2026;1961
Ø. The Red-Green Alliance;Billund;2026;236
Å. The Alternative;Billund;2026;102
Independent candidates;Billund;2026;0
VALID VOTES;Bornholm;2026;23727
A. The Social Democratic Party;Bornholm;2026;7246
B. The Danish Social-Liberal Party;Bornholm;2026;417
C. The Conservative Peoples Party;Bornholm;2026;874
F. The Socialist Peoples Party;Bornholm;2026;2764
H. The Citizens' Party - Lars Boje Mathiesen;Bornholm;2026;421
I. Liberal Alliance;Bornholm;2026;1200
M. The Moderats;Bornholm;2026;1376
O. The Danish Peoples Party;Bornholm;2026;2501
V. Venstre, Denmarks Liberal Party;Bornholm;2026;4167
Æ. The Danish Democrats - Inger Støjberg;Bornholm;2026;1001
Ø. The Red-Green Alliance;Bornholm;2026;1322
Å. The Alternative;Bornholm;2026;438
Independent candidates;Bornholm;2026;0
VALID VOTES;Brøndby;2026;18156
A. The Social Democratic Party;Brøndby;2026;4847
B. The Danish Social-Liberal Party;Brøndby;2026;1250
C. The Conservative Peoples Party;Brøndby;2026;937
F. The Socialist Peoples Party;Brøndby;2026;2007
H. The Citizens' Party - Lars Boje Mathiesen;Brøndby;2026;367
I. Liberal Alliance;Brøndby;2026;1095
M. The Moderats;Brøndby;2026;1223
O. The Danish Peoples Party;Brøndby;2026;2952
V. Venstre, Denmarks Liberal Party;Brøndby;2026;647
Æ. The Danish Democrats - Inger Støjberg;Brøndby;2026;444
Ø. The Red-Green Alliance;Brøndby;2026;2048
Å. The Alternative;Brøndby;2026;339
Independent candidates;Brøndby;2026;0
VALID VOTES;Brønderslev;2026;22465
A. The Social Democratic Party;Brønderslev;2026;6501
B. The Danish Social-Liberal Party;Brønderslev;2026;499
C. The Conservative Peoples Party;Brønderslev;2026;978
F. The Socialist Peoples Party;Brønderslev;2026;1875
H. The Citizens' Party - Lars Boje Mathiesen;Brønderslev;2026;674
I. Liberal Alliance;Brønderslev;2026;2012
M. The Moderats;Brønderslev;2026;1022
O. The Danish Peoples Party;Brønderslev;2026;1747
V. Venstre, Denmarks Liberal Party;Brønderslev;2026;3057
Æ. The Danish Democrats - Inger Støjberg;Brønderslev;2026;3362
Ø. The Red-Green Alliance;Brønderslev;2026;535
Å. The Alternative;Brønderslev;2026;203
Independent candidates;Brønderslev;2026;0
VALID VOTES;Copenhagen;2026;365683
A. The Social Democratic Party;Copenhagen;2026;51975
B. The Danish Social-Liberal Party;Copenhagen;2026;45691
C. The Conservative Peoples Party;Copenhagen;2026;29638
F. The Socialist Peoples Party;Copenhagen;2026;51017
H. The Citizens' Party - Lars Boje Mathiesen;Copenhagen;2026;2590
I. Liberal Alliance;Copenhagen;2026;28919
M. The Moderats;Copenhagen;2026;28701
O. The Danish Peoples Party;Copenhagen;2026;17677
V. Venstre, Denmarks Liberal Party;Copenhagen;2026;12185
Æ. The Danish Democrats - Inger Støjberg;Copenhagen;2026;2250
Ø. The Red-Green Alliance;Copenhagen;2026;66912
Å. The Alternative;Copenhagen;2026;26436
Independent candidates;Copenhagen;2026;1692
VALID VOTES;Dragør;2026;9114
A. The Social Democratic Party;Dragør;2026;1859
B. The Danish Social-Liberal Party;Dragør;2026;486
C. The Conservative Peoples Party;Dragør;2026;1659
F. The Socialist Peoples Party;Dragør;2026;744
H. The Citizens' Party - Lars Boje Mathiesen;Dragør;2026;104
I. Liberal Alliance;Dragør;2026;898
M. The Moderats;Dragør;2026;1230
O. The Danish Peoples Party;Dragør;2026;884
V. Venstre, Denmarks Liberal Party;Dragør;2026;557
Æ. The Danish Democrats - Inger Støjberg;Dragør;2026;142
Ø. The Red-Green Alliance;Dragør;2026;329
Å. The Alternative;Dragør;2026;199
Independent candidates;Dragør;2026;23
VALID VOTES;Egedal;2026;28354
A. The Social Democratic Party;Egedal;2026;6235
B. The Danish Social-Liberal Party;Egedal;2026;1548
C. The Conservative Peoples Party;Egedal;2026;2854
F. The Socialist Peoples Party;Egedal;2026;3697
H. The Citizens' Party - Lars Boje Mathiesen;Egedal;2026;516
I. Liberal Alliance;Egedal;2026;3017
M. The Moderats;Egedal;2026;2608
O. The Danish Peoples Party;Egedal;2026;3162
V. Venstre, Denmarks Liberal Party;Egedal;2026;2401
Æ. The Danish Democrats - Inger Støjberg;Egedal;2026;713
Ø. The Red-Green Alliance;Egedal;2026;1158
Å. The Alternative;Egedal;2026;445
Independent candidates;Egedal;2026;0
VALID VOTES;Esbjerg;2026;67873
A. The Social Democratic Party;Esbjerg;2026;16348
B. The Danish Social-Liberal Party;Esbjerg;2026;1889
C. The Conservative Peoples Party;Esbjerg;2026;3606
F. The Socialist Peoples Party;Esbjerg;2026;6470
H. The Citizens' Party - Lars Boje Mathiesen;Esbjerg;2026;1944
I. Liberal Alliance;Esbjerg;2026;6937
M. The Moderats;Esbjerg;2026;3827
O. The Danish Peoples Party;Esbjerg;2026;7441
V. Venstre, Denmarks Liberal Party;Esbjerg;2026;11820
Æ. The Danish Democrats - Inger Støjberg;Esbjerg;2026;4214
Ø. The Red-Green Alliance;Esbjerg;2026;2690
Å. The Alternative;Esbjerg;2026;687
Independent candidates;Esbjerg;2026;0
VALID VOTES;Faaborg-Midtfyn;2026;32639
A. The Social Democratic Party;Faaborg-Midtfyn;2026;9002
B. The Danish Social-Liberal Party;Faaborg-Midtfyn;2026;1004
C. The Conservative Peoples Party;Faaborg-Midtfyn;2026;1835
F. The Socialist Peoples Party;Faaborg-Midtfyn;2026;3575
H. The Citizens' Party - Lars Boje Mathiesen;Faaborg-Midtfyn;2026;1016
