VALRES;OMRÅDE;TID;INDHOLD
VALID VOTES;Copenhagen;2007;308138
VALID VOTES;Copenhagen;2011;326145
VALID VOTES;Copenhagen;2015;333709
VALID VOTES;Copenhagen;2019;353310
VALID VOTES;Copenhagen;2022;356165
VALID VOTES;Frederiksberg;2007;61706
VALID VOTES;Frederiksberg;2011;64988
VALID VOTES;Frederiksberg;2015;64809
VALID VOTES;Frederiksberg;2019;64961
VALID VOTES;Frederiksberg;2022;64748
VALID VOTES;Dragør;2007;8736
VALID VOTES;Dragør;2011;9051
VALID VOTES;Dragør;2015;9023
VALID VOTES;Dragør;2019;9063
VALID VOTES;Dragør;2022;9113
VALID VOTES;Tårnby;2007;25407
VALID VOTES;Tårnby;2011;26021
VALID VOTES;Tårnby;2015;25919
VALID VOTES;Tårnby;2019;25071
VALID VOTES;Tårnby;2022;24644
VALID VOTES;Albertslund;2007;15498
VALID VOTES;Albertslund;2011;15618
VALID VOTES;Albertslund;2015;15007
VALID VOTES;Albertslund;2019;15046
VALID VOTES;Albertslund;2022;13753
VALID VOTES;Ballerup;2007;29731
VALID VOTES;Ballerup;2011;30061
VALID VOTES;Ballerup;2015;29423
VALID VOTES;Ballerup;2019;28886
VALID VOTES;Ballerup;2022;28041
VALID VOTES;Brøndby;2007;19992
VALID VOTES;Brøndby;2011;19765
VALID VOTES;Brøndby;2015;18784
VALID VOTES;Brøndby;2019;18393
VALID VOTES;Brøndby;2022;17503
VALID VOTES;Gentofte;2007;43458
VALID VOTES;Gentofte;2011;45033
VALID VOTES;Gentofte;2015;45019
VALID VOTES;Gentofte;2019;44790
VALID VOTES;Gentofte;2022;44907
VALID VOTES;Gladsaxe;2007;38909
VALID VOTES;Gladsaxe;2011;39798
VALID VOTES;Gladsaxe;2015;39063
VALID VOTES;Gladsaxe;2019;38921
VALID VOTES;Gladsaxe;2022;37566
VALID VOTES;Glostrup;2007;13326
VALID VOTES;Glostrup;2011;13734
VALID VOTES;Glostrup;2015;13458
VALID VOTES;Glostrup;2019;13055
VALID VOTES;Glostrup;2022;12876
VALID VOTES;Herlev;2007;16557
VALID VOTES;Herlev;2011;16612
VALID VOTES;Herlev;2015;16613
VALID VOTES;Herlev;2019;16582
VALID VOTES;Herlev;2022;15803
VALID VOTES;Hvidovre;2007;30402
VALID VOTES;Hvidovre;2011;31002
VALID VOTES;Hvidovre;2015;30590
VALID VOTES;Hvidovre;2019;30224
VALID VOTES;Hvidovre;2022;28904
VALID VOTES;Høje-Taastrup;2007;27690
VALID VOTES;Høje-Taastrup;2011;28000
VALID VOTES;Høje-Taastrup;2015;27007
VALID VOTES;Høje-Taastrup;2019;26698
VALID VOTES;Høje-Taastrup;2022;26367
VALID VOTES;Ishøj;2007;10855
VALID VOTES;Ishøj;2011;11074
VALID VOTES;Ishøj;2015;10599
VALID VOTES;Ishøj;2019;10671
VALID VOTES;Ishøj;2022;9916
VALID VOTES;Lyngby-Taarbæk;2007;33379
VALID VOTES;Lyngby-Taarbæk;2011;34104
VALID VOTES;Lyngby-Taarbæk;2015;33865
VALID VOTES;Lyngby-Taarbæk;2019;34080
VALID VOTES;Lyngby-Taarbæk;2022;34371
VALID VOTES;Rødovre;2007;22745
VALID VOTES;Rødovre;2011;22982
VALID VOTES;Rødovre;2015;22448
VALID VOTES;Rødovre;2019;23067
VALID VOTES;Rødovre;2022;22657
VALID VOTES;Vallensbæk;2007;7973
VALID VOTES;Vallensbæk;2011;8945
VALID VOTES;Vallensbæk;2015;8936
VALID VOTES;Vallensbæk;2019;9144
VALID VOTES;Vallensbæk;2022;8541
VALID VOTES;Allerød;2007;15082
VALID VOTES;Allerød;2011;15631
VALID VOTES;Allerød;2015;15950
VALID VOTES;Allerød;2019;16556
VALID VOTES;Allerød;2022;16574
VALID VOTES;Egedal;2007;25987
VALID VOTES;Egedal;2011;27112
VALID VOTES;Egedal;2015;27267
VALID VOTES;Egedal;2019;27506
VALID VOTES;Egedal;2022;27838
VALID VOTES;Fredensborg;2007;24147
VALID VOTES;Fredensborg;2011;24588
VALID VOTES;Fredensborg;2015;24285
VALID VOTES;Fredensborg;2019;24516
VALID VOTES;Fredensborg;2022;24226
VALID VOTES;Frederikssund;2007;28155
VALID VOTES;Frederikssund;2011;28767
VALID VOTES;Frederikssund;2015;28707
VALID VOTES;Frederikssund;2019;28843
VALID VOTES;Frederikssund;2022;29120
VALID VOTES;Furesø;2007;23712
VALID VOTES;Furesø;2011;24048
VALID VOTES;Furesø;2015;24403
VALID VOTES;Furesø;2019;24795
VALID VOTES;Furesø;2022;25022
VALID VOTES;Gribskov;2007;26228
VALID VOTES;Gribskov;2011;27092
VALID VOTES;Gribskov;2015;26883
VALID VOTES;Gribskov;2019;26494
VALID VOTES;Gribskov;2022;26546
VALID VOTES;Halsnæs;2007;19360
VALID VOTES;Halsnæs;2011;19893
VALID VOTES;Halsnæs;2015;19483
VALID VOTES;Halsnæs;2019;19418
VALID VOTES;Halsnæs;2022;19391
VALID VOTES;Helsingør;2007;37696
VALID VOTES;Helsingør;2011;38445
VALID VOTES;Helsingør;2015;38269
VALID VOTES;Helsingør;2019;38463
VALID VOTES;Helsingør;2022;38554
VALID VOTES;Hillerød;2007;29219
VALID VOTES;Hillerød;2011;30541
VALID VOTES;Hillerød;2015;30827
VALID VOTES;Hillerød;2019;31560
VALID VOTES;Hillerød;2022;32761
VALID VOTES;Hørsholm;2007;15934
