VALRES;OMRÅDE;TID;INDHOLD
Total;All Denmark;2007;100.0
Total;All Denmark;2011;100.0
Total;All Denmark;2015;100.0
Total;All Denmark;2019;100.0
Total;All Denmark;2022;100.0
Total;Copenhagen;2007;100.0
Total;Copenhagen;2011;100.0
Total;Copenhagen;2015;100.0
Total;Copenhagen;2019;100.0
Total;Copenhagen;2022;100.0
Total;Frederiksberg;2007;100.0
Total;Frederiksberg;2011;100.0
Total;Frederiksberg;2015;100.0
Total;Frederiksberg;2019;100.0
Total;Frederiksberg;2022;100.0
Total;Dragør;2007;100.0
Total;Dragør;2011;100.0
Total;Dragør;2015;100.0
Total;Dragør;2019;100.0
Total;Dragør;2022;100.0
Total;Tårnby;2007;100.0
Total;Tårnby;2011;100.0
Total;Tårnby;2015;100.0
Total;Tårnby;2019;100.0
Total;Tårnby;2022;100.0
Total;Albertslund;2007;100.0
Total;Albertslund;2011;100.0
Total;Albertslund;2015;100.0
Total;Albertslund;2019;100.0
Total;Albertslund;2022;100.0
Total;Ballerup;2007;100.0
Total;Ballerup;2011;100.0
Total;Ballerup;2015;100.0
Total;Ballerup;2019;100.0
Total;Ballerup;2022;100.0
Total;Brøndby;2007;100.0
Total;Brøndby;2011;100.0
Total;Brøndby;2015;100.0
Total;Brøndby;2019;100.0
Total;Brøndby;2022;100.0
Total;Gentofte;2007;100.0
Total;Gentofte;2011;100.0
Total;Gentofte;2015;100.0
Total;Gentofte;2019;100.0
Total;Gentofte;2022;100.0
Total;Gladsaxe;2007;100.0
Total;Gladsaxe;2011;100.0
Total;Gladsaxe;2015;100.0
Total;Gladsaxe;2019;100.0
Total;Gladsaxe;2022;100.0
Total;Glostrup;2007;100.0
Total;Glostrup;2011;100.0
Total;Glostrup;2015;100.0
Total;Glostrup;2019;100.0
Total;Glostrup;2022;100.0
Total;Herlev;2007;100.0
Total;Herlev;2011;100.0
Total;Herlev;2015;100.0
Total;Herlev;2019;100.0
Total;Herlev;2022;100.0
Total;Hvidovre;2007;100.0
Total;Hvidovre;2011;100.0
Total;Hvidovre;2015;100.0
Total;Hvidovre;2019;100.0
Total;Hvidovre;2022;100.0
Total;Høje-Taastrup;2007;100.0
Total;Høje-Taastrup;2011;100.0
Total;Høje-Taastrup;2015;100.0
Total;Høje-Taastrup;2019;100.0
Total;Høje-Taastrup;2022;100.0
Total;Ishøj;2007;100.0
Total;Ishøj;2011;100.0
Total;Ishøj;2015;100.0
Total;Ishøj;2019;100.0
Total;Ishøj;2022;100.0
Total;Lyngby-Taarbæk;2007;100.0
Total;Lyngby-Taarbæk;2011;100.0
Total;Lyngby-Taarbæk;2015;100.0
Total;Lyngby-Taarbæk;2019;100.0
Total;Lyngby-Taarbæk;2022;100.0
Total;Rødovre;2007;100.0
Total;Rødovre;2011;100.0
Total;Rødovre;2015;100.0
Total;Rødovre;2019;100.0
Total;Rødovre;2022;100.0
Total;Vallensbæk;2007;100.0
Total;Vallensbæk;2011;100.0
Total;Vallensbæk;2015;100.0
Total;Vallensbæk;2019;100.0
Total;Vallensbæk;2022;100.0
Total;Allerød;2007;100.0
Total;Allerød;2011;100.0
Total;Allerød;2015;100.0
Total;Allerød;2019;100.0
Total;Allerød;2022;100.0
Total;Egedal;2007;100.0
Total;Egedal;2011;100.0
Total;Egedal;2015;100.0
Total;Egedal;2019;100.0
Total;Egedal;2022;100.0
Total;Fredensborg;2007;100.0
Total;Fredensborg;2011;100.0
Total;Fredensborg;2015;100.0
Total;Fredensborg;2019;100.0
Total;Fredensborg;2022;100.0
Total;Frederikssund;2007;100.0
Total;Frederikssund;2011;100.0
Total;Frederikssund;2015;100.0
Total;Frederikssund;2019;100.0
Total;Frederikssund;2022;100.0
Total;Furesø;2007;100.0
Total;Furesø;2011;100.0
Total;Furesø;2015;100.0
Total;Furesø;2019;100.0
Total;Furesø;2022;100.0
Total;Gribskov;2007;100.0
Total;Gribskov;2011;100.0
Total;Gribskov;2015;100.0
Total;Gribskov;2019;100.0
Total;Gribskov;2022;100.0
Total;Halsnæs;2007;100.0
Total;Halsnæs;2011;100.0
Total;Halsnæs;2015;100.0
Total;Halsnæs;2019;100.0
Total;Halsnæs;2022;100.0
Total;Helsingør;2007;100.0
Total;Helsingør;2011;100.0
Total;Helsingør;2015;100.0
Total;Helsingør;2019;100.0
Total;Helsingør;2022;100.0
Total;Hillerød;2007;100.0
Total;Hillerød;2011;100.0
Total;Hillerød;2015;100.0
Total;Hillerød;2019;100.0
Total;Hillerød;2022;100.0
Total;Hørsholm;2007;100.0
Total;Hørsholm;2011;100.0
Total;Hørsholm;2015;100.0
Total;Hørsholm;2019;100.0
Total;Hørsholm;2022;100.0
Total;Rudersdal;2007;100.0
Total;Rudersdal;2011;100.0
Total;Rudersdal;2015;100.0
Total;Rudersdal;2019;100.0
Total;Rudersdal;2022;100.0
Total;Bornholm;2007;100.0
Total;Bornholm;2011;100.0
Total;Bornholm;2015;100.0
Total;Bornholm;2019;100.0
Total;Bornholm;2022;100.0
Total;Christiansø;2007;100.0
Total;Christiansø;2011;100.0
Total;Christiansø;2015;100.0
Total;Christiansø;2019;100.0
Total;Christiansø;2022;100.0
Total;Greve;2007;100.0
Total;Greve;2011;100.0
Total;Greve;2015;100.0
Total;Greve;2019;100.0
Total;Greve;2022;100.0
Total;Køge;2007;100.0
Total;Køge;2011;100.0
Total;Køge;2015;100.0
Total;Køge;2019;100.0
Total;Køge;2022;100.0
Total;Lejre;2007;100.0
Total;Lejre;2011;100.0
Total;Lejre;2015;100.0
Total;Lejre;2019;100.0
Total;Lejre;2022;100.0
Total;Roskilde;2007;100.0
Total;Roskilde;2011;100.0
Total;Roskilde;2015;100.0
Total;Roskilde;2019;100.0
Total;Roskilde;2022;100.0
Total;Solrød;2007;100.0
Total;Solrød;2011;100.0
Total;Solrød;2015;100.0
Total;Solrød;2019;100.0
Total;Solrød;2022;100.0
Total;Faxe;2007;100.0
Total;Faxe;2011;100.0
Total;Faxe;2015;100.0
Total;Faxe;2019;100.0
Total;Faxe;2022;100.0
Total;Guldborgsund;2007;100.0
Total;Guldborgsund;2011;100.0
Total;Guldborgsund;2015;100.0
Total;Guldborgsund;2019;100.0
Total;Guldborgsund;2022;100.0
Total;Holbæk;2007;100.0
Total;Holbæk;2011;100.0
Total;Holbæk;2015;100.0
Total;Holbæk;2019;100.0
Total;Holbæk;2022;100.0
Total;Kalundborg;2007;100.0
Total;Kalundborg;2011;100.0
Total;Kalundborg;2015;100.0
Total;Kalundborg;2019;100.0
Total;Kalundborg;2022;100.0
Total;Lolland;2007;100.0
Total;Lolland;2011;100.0
Total;Lolland;2015;100.0
Total;Lolland;2019;100.0
Total;Lolland;2022;100.0
Total;Næstved;2007;100.0
Total;Næstved;2011;100.0
Total;Næstved;2015;100.0
Total;Næstved;2019;100.0
Total;Næstved;2022;100.0
Total;Odsherred;2007;100.0
Total;Odsherred;2011;100.0
Total;Odsherred;2015;100.0
Total;Odsherred;2019;100.0
Total;Odsherred;2022;100.0
Total;Ringsted;2007;100.0
Total;Ringsted;2011;100.0
Total;Ringsted;2015;100.0
Total;Ringsted;2019;100.0
Total;Ringsted;2022;100.0
Total;Slagelse;2007;100.0
Total;Slagelse;2011;100.0
Total;Slagelse;2015;100.0
Total;Slagelse;2019;100.0
Total;Slagelse;2022;100.0
Total;Sorø;2007;100.0
Total;Sorø;2011;100.0
Total;Sorø;2015;100.0
Total;Sorø;2019;100.0
Total;Sorø;2022;100.0
Total;Stevns;2007;100.0
Total;Stevns;2011;100.0
Total;Stevns;2015;100.0
Total;Stevns;2019;100.0
Total;Stevns;2022;100.0
Total;Vordingborg;2007;100.0
Total;Vordingborg;2011;100.0
Total;Vordingborg;2015;100.0
Total;Vordingborg;2019;100.0
Total;Vordingborg;2022;100.0
Total;Assens;2007;100.0
Total;Assens;2011;100.0
Total;Assens;2015;100.0
Total;Assens;2019;100.0
Total;Assens;2022;100.0
Total;Faaborg-Midtfyn;2007;100.0
Total;Faaborg-Midtfyn;2011;100.0
Total;Faaborg-Midtfyn;2015;100.0
Total;Faaborg-Midtfyn;2019;100.0
Total;Faaborg-Midtfyn;2022;100.0
Total;Kerteminde;2007;100.0
Total;Kerteminde;2011;100.0
Total;Kerteminde;2015;100.0
Total;Kerteminde;2019;100.0
Total;Kerteminde;2022;100.0
Total;Langeland;2007;100.0
Total;Langeland;2011;100.0
Total;Langeland;2015;100.0
Total;Langeland;2019;100.0
Total;Langeland;2022;100.0
Total;Middelfart;2007;100.0
Total;Middelfart;2011;100.0
Total;Middelfart;2015;100.0
Total;Middelfart;2019;100.0
