OMRÅDE;YDELSESTYPE;KØN;ALDER;TID;INDHOLD
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2007Q1;19206
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2007Q2;16662
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2007Q3;14826
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2007Q4;13622
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2008Q1;13132
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2008Q2;10800
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2008Q3;10138
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2008Q4;11396
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2009Q1;14459
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2009Q2;14991
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2009Q3;14815
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2009Q4;15786
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2010Q1;18448
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2010Q2;17773
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2010Q3;17158
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2010Q4;16738
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2011Q1;19301
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2011Q2;19395
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2011Q3;18389
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2011Q4;18266
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2012Q1;20385
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2012Q2;20918
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2012Q3;20151
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2012Q4;21083
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2013Q1;26977
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2013Q2;29759
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2013Q3;31528
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2013Q4;32473
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2014Q1;31243
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2014Q2;28485
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2014Q3;26489
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2014Q4;26654
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2015Q1;29419
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2015Q2;27565
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2015Q3;25386
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2015Q4;24481
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2016Q1;25225
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2016Q2;22624
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2016Q3;21080
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2016Q4;21349
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2017Q1;23159
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2017Q2;21706
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2017Q3;20115
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2017Q4;19254
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2018Q1;19872
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2018Q2;17988
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2018Q3;16261
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2018Q4;16044
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2019Q1;16834
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2019Q2;15162
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2019Q3;14268
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2019Q4;14424
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2020Q1;15717
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2020Q2;23326
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2020Q3;17673
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2020Q4;14745
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2021Q1;17732
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2021Q2;14063
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2021Q3;9926
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2021Q4;8273
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2022Q1;8367
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2022Q2;10524
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2022Q3;11372
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2022Q4;10382
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2023Q1;10881
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2023Q2;10193
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2023Q3;9224
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2023Q4;9039
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2024Q1;9529
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2024Q2;8787
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2024Q3;8535
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2024Q4;8658
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2025Q1;9316
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2025Q2;8582
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2025Q3;8384
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2025Q4;9168
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2007Q1;8262
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2007Q2;7342
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2007Q3;6720
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2007Q4;6101
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2008Q1;5915
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2008Q2;5196
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2008Q3;4888
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2008Q4;5292
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2009Q1;6403
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2009Q2;6607
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2009Q3;7127
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2009Q4;7737
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2010Q1;9036
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2010Q2;8930
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2010Q3;8633
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2010Q4;8357
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2011Q1;9408
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2011Q2;9436
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2011Q3;9056
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2011Q4;8988
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2012Q1;9822
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2012Q2;10041
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2012Q3;9706
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2012Q4;10156
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2013Q1;12436
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2013Q2;13404
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2013Q3;13830
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2013Q4;14165
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2014Q1;12943
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2014Q2;11959
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2014Q3;11055
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2014Q4;10647
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2015Q1;11416
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2015Q2;10594
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2015Q3;9510
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2015Q4;9164
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2016Q1;9357
