OMRÅDE;BILTYPE;TID;INDHOLD
All Denmark;Passenger cars, total;2007;2020013
All Denmark;Passenger cars, total;2008;2068493
All Denmark;Passenger cars, total;2009;2099090
All Denmark;Passenger cars, total;2010;2120322
All Denmark;Passenger cars, total;2011;2163676
All Denmark;Passenger cars, total;2012;2197831
All Denmark;Passenger cars, total;2013;2237122
All Denmark;Passenger cars, total;2014;2278121
All Denmark;Passenger cars, total;2015;2329578
All Denmark;Passenger cars, total;2016;2390823
All Denmark;Passenger cars, total;2017;2465538
All Denmark;Passenger cars, total;2018;2530047
All Denmark;Passenger cars, total;2019;2594469
All Denmark;Passenger cars, total;2020;2651726
All Denmark;Passenger cars, total;2021;2723667
All Denmark;Passenger cars, total;2022;2787553
All Denmark;Passenger cars, total;2023;2801076
All Denmark;Passenger cars, total;2024;2827864
All Denmark;Passenger cars, total;2025;2864904
All Denmark;Passenger cars, total;2026;2914000
Region Hovedstaden;Passenger cars, total;2007;551414
Region Hovedstaden;Passenger cars, total;2008;566198
Region Hovedstaden;Passenger cars, total;2009;573350
Region Hovedstaden;Passenger cars, total;2010;573890
Region Hovedstaden;Passenger cars, total;2011;583052
Region Hovedstaden;Passenger cars, total;2012;589110
Region Hovedstaden;Passenger cars, total;2013;599932
Region Hovedstaden;Passenger cars, total;2014;614500
Region Hovedstaden;Passenger cars, total;2015;633794
Region Hovedstaden;Passenger cars, total;2016;656356
Region Hovedstaden;Passenger cars, total;2017;683413
Region Hovedstaden;Passenger cars, total;2018;705906
Region Hovedstaden;Passenger cars, total;2019;727930
Region Hovedstaden;Passenger cars, total;2020;747412
Region Hovedstaden;Passenger cars, total;2021;766431
Region Hovedstaden;Passenger cars, total;2022;780496
Region Hovedstaden;Passenger cars, total;2023;778800
Region Hovedstaden;Passenger cars, total;2024;791128
Region Hovedstaden;Passenger cars, total;2025;802313
Region Hovedstaden;Passenger cars, total;2026;817073
Province Byen København;Passenger cars, total;2007;157504
Province Byen København;Passenger cars, total;2008;163588
Province Byen København;Passenger cars, total;2009;167003
Province Byen København;Passenger cars, total;2010;165873
Province Byen København;Passenger cars, total;2011;166725
Province Byen København;Passenger cars, total;2012;166860
Province Byen København;Passenger cars, total;2013;174367
Province Byen København;Passenger cars, total;2014;185745
Province Byen København;Passenger cars, total;2015;200092
Province Byen København;Passenger cars, total;2016;211491
Province Byen København;Passenger cars, total;2017;197576
Province Byen København;Passenger cars, total;2018;203100
Province Byen København;Passenger cars, total;2019;206054
Province Byen København;Passenger cars, total;2020;212051
Province Byen København;Passenger cars, total;2021;215747
Province Byen København;Passenger cars, total;2022;219705
Province Byen København;Passenger cars, total;2023;217429
Province Byen København;Passenger cars, total;2024;218535
Province Byen København;Passenger cars, total;2025;220091
Province Byen København;Passenger cars, total;2026;221294
Copenhagen;Passenger cars, total;2007;116970
Copenhagen;Passenger cars, total;2008;122350
Copenhagen;Passenger cars, total;2009;125806
Copenhagen;Passenger cars, total;2010;124425
Copenhagen;Passenger cars, total;2011;124851
Copenhagen;Passenger cars, total;2012;124512
Copenhagen;Passenger cars, total;2013;131592
Copenhagen;Passenger cars, total;2014;142007
Copenhagen;Passenger cars, total;2015;155427
Copenhagen;Passenger cars, total;2016;166016
Copenhagen;Passenger cars, total;2017;151605
Copenhagen;Passenger cars, total;2018;157238
Copenhagen;Passenger cars, total;2019;159747
Copenhagen;Passenger cars, total;2020;165410
Copenhagen;Passenger cars, total;2021;168329
Copenhagen;Passenger cars, total;2022;171683
Copenhagen;Passenger cars, total;2023;169654
Copenhagen;Passenger cars, total;2024;170857
Copenhagen;Passenger cars, total;2025;172682
Copenhagen;Passenger cars, total;2026;173745
Frederiksberg;Passenger cars, total;2007;22533
Frederiksberg;Passenger cars, total;2008;22915
Frederiksberg;Passenger cars, total;2009;22707
Frederiksberg;Passenger cars, total;2010;22761
Frederiksberg;Passenger cars, total;2011;22818
Frederiksberg;Passenger cars, total;2012;22906
Frederiksberg;Passenger cars, total;2013;23117
Frederiksberg;Passenger cars, total;2014;23539
Frederiksberg;Passenger cars, total;2015;24109
Frederiksberg;Passenger cars, total;2016;24579
Frederiksberg;Passenger cars, total;2017;24735
Frederiksberg;Passenger cars, total;2018;24514
Frederiksberg;Passenger cars, total;2019;24727
Frederiksberg;Passenger cars, total;2020;24644
Frederiksberg;Passenger cars, total;2021;25298
Frederiksberg;Passenger cars, total;2022;25670
Frederiksberg;Passenger cars, total;2023;25417
Frederiksberg;Passenger cars, total;2024;25213
Frederiksberg;Passenger cars, total;2025;24955
Frederiksberg;Passenger cars, total;2026;25047
Dragør;Passenger cars, total;2007;4972
Dragør;Passenger cars, total;2008;5080
Dragør;Passenger cars, total;2009;5196
Dragør;Passenger cars, total;2010;5248
Dragør;Passenger cars, total;2011;5325
Dragør;Passenger cars, total;2012;5390
Dragør;Passenger cars, total;2013;5523
Dragør;Passenger cars, total;2014;5679
Dragør;Passenger cars, total;2015;5727
Dragør;Passenger cars, total;2016;5781
Dragør;Passenger cars, total;2017;5874
Dragør;Passenger cars, total;2018;5936
Dragør;Passenger cars, total;2019;6008
Dragør;Passenger cars, total;2020;6055
Dragør;Passenger cars, total;2021;6178
Dragør;Passenger cars, total;2022;6219
Dragør;Passenger cars, total;2023;6252
Dragør;Passenger cars, total;2024;6257
Dragør;Passenger cars, total;2025;6197
Dragør;Passenger cars, total;2026;6230
Tårnby;Passenger cars, total;2007;13029
Tårnby;Passenger cars, total;2008;13243
Tårnby;Passenger cars, total;2009;13294
Tårnby;Passenger cars, total;2010;13439
Tårnby;Passenger cars, total;2011;13731
Tårnby;Passenger cars, total;2012;14052
Tårnby;Passenger cars, total;2013;14135
Tårnby;Passenger cars, total;2014;14520
Tårnby;Passenger cars, total;2015;14829
Tårnby;Passenger cars, total;2016;15115
Tårnby;Passenger cars, total;2017;15362
Tårnby;Passenger cars, total;2018;15412
Tårnby;Passenger cars, total;2019;15572
Tårnby;Passenger cars, total;2020;15942
Tårnby;Passenger cars, total;2021;15942
Tårnby;Passenger cars, total;2022;16133
Tårnby;Passenger cars, total;2023;16106
Tårnby;Passenger cars, total;2024;16208
Tårnby;Passenger cars, total;2025;16257
Tårnby;Passenger cars, total;2026;16272
Province Københavns omegn;Passenger cars, total;2007;190514
Province Københavns omegn;Passenger cars, total;2008;196031
Province Københavns omegn;Passenger cars, total;2009;200675
Province Københavns omegn;Passenger cars, total;2010;201789
Province Københavns omegn;Passenger cars, total;2011;207384
Province Københavns omegn;Passenger cars, total;2012;211467
Province Københavns omegn;Passenger cars, total;2013;214285
Province Københavns omegn;Passenger cars, total;2014;216073
Province Københavns omegn;Passenger cars, total;2015;221991
Province Københavns omegn;Passenger cars, total;2016;229799
Province Københavns omegn;Passenger cars, total;2017;238001
Province Københavns omegn;Passenger cars, total;2018;245072
Province Københavns omegn;Passenger cars, total;2019;253014
Province Københavns omegn;Passenger cars, total;2020;258961
Province Københavns omegn;Passenger cars, total;2021;267594
Province Københavns omegn;Passenger cars, total;2022;277924
Province Københavns omegn;Passenger cars, total;2023;287116
Province Københavns omegn;Passenger cars, total;2024;304355
Province Københavns omegn;Passenger cars, total;2025;315940
Province Københavns omegn;Passenger cars, total;2026;325509
Albertslund;Passenger cars, total;2007;8283
Albertslund;Passenger cars, total;2008;8281
Albertslund;Passenger cars, total;2009;8398
Albertslund;Passenger cars, total;2010;8481
Albertslund;Passenger cars, total;2011;8480
Albertslund;Passenger cars, total;2012;8496
Albertslund;Passenger cars, total;2013;8585
Albertslund;Passenger cars, total;2014;8943
Albertslund;Passenger cars, total;2015;9073
Albertslund;Passenger cars, total;2016;9263
Albertslund;Passenger cars, total;2017;9382
Albertslund;Passenger cars, total;2018;9582
Albertslund;Passenger cars, total;2019;10046
Albertslund;Passenger cars, total;2020;10833
Albertslund;Passenger cars, total;2021;11186
Albertslund;Passenger cars, total;2022;11424
Albertslund;Passenger cars, total;2023;11687
Albertslund;Passenger cars, total;2024;11586
Albertslund;Passenger cars, total;2025;11523
Albertslund;Passenger cars, total;2026;11874
Ballerup;Passenger cars, total;2007;16905
Ballerup;Passenger cars, total;2008;17334
Ballerup;Passenger cars, total;2009;17928
Ballerup;Passenger cars, total;2010;17546
Ballerup;Passenger cars, total;2011;19225
Ballerup;Passenger cars, total;2012;18888
Ballerup;Passenger cars, total;2013;17964
Ballerup;Passenger cars, total;2014;18897
Ballerup;Passenger cars, total;2015;19708
Ballerup;Passenger cars, total;2016;19858
Ballerup;Passenger cars, total;2017;19668
Ballerup;Passenger cars, total;2018;19478
Ballerup;Passenger cars, total;2019;19587
Ballerup;Passenger cars, total;2020;19828
Ballerup;Passenger cars, total;2021;19574
Ballerup;Passenger cars, total;2022;19760
Ballerup;Passenger cars, total;2023;19935
Ballerup;Passenger cars, total;2024;20327
Ballerup;Passenger cars, total;2025;20739
Ballerup;Passenger cars, total;2026;20985
Brøndby;Passenger cars, total;2007;18876
Brøndby;Passenger cars, total;2008;19761
Brøndby;Passenger cars, total;2009;20158
Brøndby;Passenger cars, total;2010;19133
Brøndby;Passenger cars, total;2011;19713
Brøndby;Passenger cars, total;2012;20078
Brøndby;Passenger cars, total;2013;20098
Brøndby;Passenger cars, total;2014;19651
Brøndby;Passenger cars, total;2015;21120
Brøndby;Passenger cars, total;2016;22826
Brøndby;Passenger cars, total;2017;24344
Brøndby;Passenger cars, total;2018;25005
Brøndby;Passenger cars, total;2019;27843
Brøndby;Passenger cars, total;2020;24470
Brøndby;Passenger cars, total;2021;28462
Brøndby;Passenger cars, total;2022;34350
Brøndby;Passenger cars, total;2023;40637
Brøndby;Passenger cars, total;2024;55982
Brøndby;Passenger cars, total;2025;61503
Brøndby;Passenger cars, total;2026;60732
Gentofte;Passenger cars, total;2007;25420
Gentofte;Passenger cars, total;2008;25605
Gentofte;Passenger cars, total;2009;25815
Gentofte;Passenger cars, total;2010;25802
Gentofte;Passenger cars, total;2011;26229
Gentofte;Passenger cars, total;2012;25979
Gentofte;Passenger cars, total;2013;26351
Gentofte;Passenger cars, total;2014;26796
Gentofte;Passenger cars, total;2015;27001
Gentofte;Passenger cars, total;2016;27197
Gentofte;Passenger cars, total;2017;27232
Gentofte;Passenger cars, total;2018;27030
Gentofte;Passenger cars, total;2019;27025
Gentofte;Passenger cars, total;2020;26895
Gentofte;Passenger cars, total;2021;27137
Gentofte;Passenger cars, total;2022;27527
Gentofte;Passenger cars, total;2023;27574
Gentofte;Passenger cars, total;2024;27582
Gentofte;Passenger cars, total;2025;27439
Gentofte;Passenger cars, total;2026;27289
Gladsaxe;Passenger cars, total;2007;21403
Gladsaxe;Passenger cars, total;2008;22130
Gladsaxe;Passenger cars, total;2009;22532
Gladsaxe;Passenger cars, total;2010;22881
Gladsaxe;Passenger cars, total;2011;23349
Gladsaxe;Passenger cars, total;2012;24577
Gladsaxe;Passenger cars, total;2013;25252
Gladsaxe;Passenger cars, total;2014;25358
Gladsaxe;Passenger cars, total;2015;25538
Gladsaxe;Passenger cars, total;2016;27273
Gladsaxe;Passenger cars, total;2017;30465
Gladsaxe;Passenger cars, total;2018;32393
Gladsaxe;Passenger cars, total;2019;33148
Gladsaxe;Passenger cars, total;2020;38758
Gladsaxe;Passenger cars, total;2021;34876
Gladsaxe;Passenger cars, total;2022;34579
Gladsaxe;Passenger cars, total;2023;33860
Gladsaxe;Passenger cars, total;2024;32593
Gladsaxe;Passenger cars, total;2025;34268
Gladsaxe;Passenger cars, total;2026;33273
Glostrup;Passenger cars, total;2007;8387
Glostrup;Passenger cars, total;2008;8700
Glostrup;Passenger cars, total;2009;8968
Glostrup;Passenger cars, total;2010;9483
Glostrup;Passenger cars, total;2011;9927
Glostrup;Passenger cars, total;2012;10678
Glostrup;Passenger cars, total;2013;10972
Glostrup;Passenger cars, total;2014;9047
Glostrup;Passenger cars, total;2015;9001
Glostrup;Passenger cars, total;2016;9591
Glostrup;Passenger cars, total;2017;10424
Glostrup;Passenger cars, total;2018;10861
Glostrup;Passenger cars, total;2019;10745
Glostrup;Passenger cars, total;2020;11808
Glostrup;Passenger cars, total;2021;12296
Glostrup;Passenger cars, total;2022;12711
Glostrup;Passenger cars, total;2023;13688
Glostrup;Passenger cars, total;2024;9664
Glostrup;Passenger cars, total;2025;10129
Glostrup;Passenger cars, total;2026;10359
Herlev;Passenger cars, total;2007;8605
Herlev;Passenger cars, total;2008;8735
Herlev;Passenger cars, total;2009;8859
Herlev;Passenger cars, total;2010;8949
Herlev;Passenger cars, total;2011;9067
Herlev;Passenger cars, total;2012;9165
Herlev;Passenger cars, total;2013;9371
Herlev;Passenger cars, total;2014;9826
Herlev;Passenger cars, total;2015;10252
Herlev;Passenger cars, total;2016;11080
Herlev;Passenger cars, total;2017;11803
Herlev;Passenger cars, total;2018;13503
Herlev;Passenger cars, total;2019;14219
Herlev;Passenger cars, total;2020;14624
Herlev;Passenger cars, total;2021;14938
Herlev;Passenger cars, total;2022;15359
Herlev;Passenger cars, total;2023;15590
