OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
All Denmark;Total;65 years;Total;2008Q1;61857
All Denmark;Total;65 years;Total;2011Q1;74373
All Denmark;Total;65 years;Total;2015Q1;66180
All Denmark;Total;65 years;Total;2019Q1;66404
All Denmark;Total;65 years;Total;2022Q1;67399
All Denmark;Total;66 years;Total;2008Q1;54527
All Denmark;Total;66 years;Total;2011Q1;69839
All Denmark;Total;66 years;Total;2015Q1;69005
All Denmark;Total;66 years;Total;2019Q1;64405
All Denmark;Total;66 years;Total;2022Q1;65700
All Denmark;Total;67 years;Total;2008Q1;52433
All Denmark;Total;67 years;Total;2011Q1;63593
All Denmark;Total;67 years;Total;2015Q1;72556
All Denmark;Total;67 years;Total;2019Q1;62766
All Denmark;Total;67 years;Total;2022Q1;63765
All Denmark;Total;68 years;Total;2008Q1;49364
All Denmark;Total;68 years;Total;2011Q1;59128
All Denmark;Total;68 years;Total;2015Q1;73822
All Denmark;Total;68 years;Total;2019Q1;63940
All Denmark;Total;68 years;Total;2022Q1;63954
All Denmark;Total;69 years;Total;2008Q1;48297
All Denmark;Total;69 years;Total;2011Q1;51864
All Denmark;Total;69 years;Total;2015Q1;70317
All Denmark;Total;69 years;Total;2019Q1;62744
All Denmark;Total;69 years;Total;2022Q1;61874
All Denmark;Total;70 years;Total;2008Q1;45771
All Denmark;Total;70 years;Total;2011Q1;49726
All Denmark;Total;70 years;Total;2015Q1;65645
All Denmark;Total;70 years;Total;2019Q1;65273
All Denmark;Total;70 years;Total;2022Q1;59996
All Denmark;Total;71 years;Total;2008Q1;43301
All Denmark;Total;71 years;Total;2011Q1;46545
All Denmark;Total;71 years;Total;2015Q1;59414
All Denmark;Total;71 years;Total;2019Q1;68244
All Denmark;Total;71 years;Total;2022Q1;60925
All Denmark;Total;72 years;Total;2008Q1;40495
All Denmark;Total;72 years;Total;2011Q1;45251
All Denmark;Total;72 years;Total;2015Q1;54998
All Denmark;Total;72 years;Total;2019Q1;69167
All Denmark;Total;72 years;Total;2022Q1;59626
All Denmark;Total;73 years;Total;2008Q1;38580
All Denmark;Total;73 years;Total;2011Q1;42517
All Denmark;Total;73 years;Total;2015Q1;47876
All Denmark;Total;73 years;Total;2019Q1;65221
All Denmark;Total;73 years;Total;2022Q1;61729
All Denmark;Total;74 years;Total;2008Q1;35880
All Denmark;Total;74 years;Total;2011Q1;39807
All Denmark;Total;74 years;Total;2015Q1;45513
All Denmark;Total;74 years;Total;2019Q1;60360
All Denmark;Total;74 years;Total;2022Q1;64250
All Denmark;Total;75 years;Total;2008Q1;34546
All Denmark;Total;75 years;Total;2011Q1;36966
All Denmark;Total;75 years;Total;2015Q1;42093
All Denmark;Total;75 years;Total;2019Q1;54278
All Denmark;Total;75 years;Total;2022Q1;64618
All Denmark;Total;76 years;Total;2008Q1;32755
All Denmark;Total;76 years;Total;2011Q1;34877
All Denmark;Total;76 years;Total;2015Q1;40434
All Denmark;Total;76 years;Total;2019Q1;49698
All Denmark;Total;76 years;Total;2022Q1;60392
All Denmark;Total;77 years;Total;2008Q1;31499
All Denmark;Total;77 years;Total;2011Q1;32086
All Denmark;Total;77 years;Total;2015Q1;37706
All Denmark;Total;77 years;Total;2019Q1;42819
All Denmark;Total;77 years;Total;2022Q1;55334
All Denmark;Total;78 years;Total;2008Q1;29739
All Denmark;Total;78 years;Total;2011Q1;30353
All Denmark;Total;78 years;Total;2015Q1;34612
All Denmark;Total;78 years;Total;2019Q1;40197
All Denmark;Total;78 years;Total;2022Q1;49296
