municipality,year,value
Aabenraa,2007,16.8
Aabenraa,2011,18.6
Aabenraa,2015,21.2
Aabenraa,2019,23.1
Aabenraa,2022,24.6
Aalborg,2007,15.3
Aalborg,2011,16.2
Aalborg,2015,17.3
Aalborg,2019,17.8
Aalborg,2022,18.2
Aarhus,2007,12.3
Aarhus,2011,12.9
Aarhus,2015,14.0
Aarhus,2019,14.6
Aarhus,2022,15.1
Albertslund,2007,12.2
Albertslund,2011,14.5
Albertslund,2015,17.0
Albertslund,2019,18.1
Albertslund,2022,18.6
Allerød,2007,14.5
Allerød,2011,17.0
Allerød,2015,19.9
Allerød,2019,20.5
Allerød,2022,21.3
Assens,2007,16.8
Assens,2011,18.3
Assens,2015,21.6
Assens,2019,22.8
Assens,2022,24.2
Ballerup,2007,17.6
Ballerup,2011,18.9
Ballerup,2015,20.4
Ballerup,2019,20.7
Ballerup,2022,20.5
Billund,2007,16.1
Billund,2011,17.6
Billund,2015,19.7
Billund,2019,20.7
Billund,2022,21.9
Bornholm,2007,20.4
Bornholm,2011,22.8
Bornholm,2015,26.6
Bornholm,2019,29.0
Bornholm,2022,30.4
Brøndby,2007,17.1
Brøndby,2011,18.1
Brøndby,2015,18.8
Brøndby,2019,19.2
Brøndby,2022,19.3
Brønderslev,2007,17.6
Brønderslev,2011,18.6
Brønderslev,2015,20.8
Brønderslev,2019,21.9
Brønderslev,2022,22.9
Christiansø,2007,12.5
Christiansø,2011,12.8
Christiansø,2015,23.1
Christiansø,2019,20.0
Christiansø,2022,22.6
Copenhagen,2007,10.7
Copenhagen,2011,10.4
Copenhagen,2015,10.3
Copenhagen,2019,10.3
Copenhagen,2022,10.5
Dragør,2007,19.0
Dragør,2011,20.9
Dragør,2015,23.4
Dragør,2019,24.4
Dragør,2022,24.7
Egedal,2007,12.1
Egedal,2011,14.9
Egedal,2015,17.9
Egedal,2019,18.7
Egedal,2022,18.8
Esbjerg,2007,15.2
Esbjerg,2011,16.6
Esbjerg,2015,18.6
Esbjerg,2019,20.4
Esbjerg,2022,21.7
Faaborg-Midtfyn,2007,18.5
Faaborg-Midtfyn,2011,20.0
Faaborg-Midtfyn,2015,22.8
Faaborg-Midtfyn,2019,23.9
Faaborg-Midtfyn,2022,25.1
Fanø,2007,20.1
Fanø,2011,23.7
Fanø,2015,29.9
Fanø,2019,34.0
Fanø,2022,36.6
Favrskov,2007,13.2
Favrskov,2011,14.8
Favrskov,2015,17.2
Favrskov,2019,18.6
Favrskov,2022,19.4
Faxe,2007,15.7
Faxe,2011,17.7
Faxe,2015,20.6
Faxe,2019,22.0
Faxe,2022,23.1
Fredensborg,2007,14.6
Fredensborg,2011,17.2
Fredensborg,2015,20.8
Fredensborg,2019,22.7
Fredensborg,2022,23.8
Fredericia,2007,16.2
Fredericia,2011,17.7
Fredericia,2015,19.6
Fredericia,2019,20.6
Fredericia,2022,21.7
Frederiksberg,2007,16.1
Frederiksberg,2011,16.0
Frederiksberg,2015,16.6
Frederiksberg,2019,17.1
Frederiksberg,2022,17.6
Frederikshavn,2007,18.7
Frederikshavn,2011,21.1
Frederikshavn,2015,24.1
Frederikshavn,2019,26.1
Frederikshavn,2022,27.8
Frederikssund,2007,16.2
Frederikssund,2011,18.9
Frederikssund,2015,21.7
Frederikssund,2019,23.4
Frederikssund,2022,24.6
Furesø,2007,16.7
Furesø,2011,18.5
Furesø,2015,20.8
Furesø,2019,21.3
Furesø,2022,22.0
Gentofte,2007,17.4
Gentofte,2011,17.8
Gentofte,2015,19.1
Gentofte,2019,20.2
Gentofte,2022,21.2
Gladsaxe,2007,16.1
Gladsaxe,2011,16.1
Gladsaxe,2015,16.5
Gladsaxe,2019,16.6
Gladsaxe,2022,17.1
Glostrup,2007,17.7
Glostrup,2011,18.2
Glostrup,2015,18.7
Glostrup,2019,18.8
Glostrup,2022,18.3
Greve,2007,13.8
Greve,2011,17.2
Greve,2015,20.2
Greve,2019,21.2
Greve,2022,21.5
Gribskov,2007,17.0
Gribskov,2011,20.4
Gribskov,2015,24.3
Gribskov,2019,26.3
Gribskov,2022,28.0
Guldborgsund,2007,20.1
Guldborgsund,2011,21.9
Guldborgsund,2015,24.8
Guldborgsund,2019,26.4
Guldborgsund,2022,27.8
Haderslev,2007,17.1
Haderslev,2011,18.6
Haderslev,2015,20.7
Haderslev,2019,22.5
Haderslev,2022,23.9
Halsnæs,2007,17.4
Halsnæs,2011,19.9
Halsnæs,2015,23.5
Halsnæs,2019,25.8
Halsnæs,2022,27.6
Hedensted,2007,15.2
Hedensted,2011,16.5
Hedensted,2015,18.7
Hedensted,2019,20.2
Hedensted,2022,21.1
Helsingør,2007,17.4
Helsingør,2011,19.3
Helsingør,2015,22.1
Helsingør,2019,23.7
Helsingør,2022,25.2
Herlev,2007,17.7
Herlev,2011,18.3
Herlev,2015,18.2
Herlev,2019,19.0
Herlev,2022,19.4
Herning,2007,14.5
Herning,2011,15.8
Herning,2015,17.9
Herning,2019,19.3
Herning,2022,20.3
Hillerød,2007,14.7
Hillerød,2011,16.2
Hillerød,2015,18.1
Hillerød,2019,18.9
Hillerød,2022,19.1
Hjørring,2007,17.3
Hjørring,2011,18.9
Hjørring,2015,21.3
Hjørring,2019,23.1
Hjørring,2022,24.9
Holbæk,2007,14.7
Holbæk,2011,16.3
Holbæk,2015,19.2
Holbæk,2019,20.9
Holbæk,2022,21.8
Holstebro,2007,15.3
Holstebro,2011,16.7
Holstebro,2015,18.8
Holstebro,2019,20.4
Holstebro,2022,21.4
Horsens,2007,14.5
Horsens,2011,15.6
Horsens,2015,17.2
Horsens,2019,18.2
Horsens,2022,18.7
Hvidovre,2007,16.2
Hvidovre,2011,16.7
Hvidovre,2015,16.9
Hvidovre,2019,17.0
Hvidovre,2022,17.6
Høje-Taastrup,2007,13.0
Høje-Taastrup,2011,15.0
Høje-Taastrup,2015,16.8
Høje-Taastrup,2019,17.4
Høje-Taastrup,2022,17.4
Hørsholm,2007,21.2
Hørsholm,2011,23.5
Hørsholm,2015,26.4
Hørsholm,2019,27.5
Hørsholm,2022,28.6
Ikast-Brande,2007,15.1
Ikast-Brande,2011,16.4
Ikast-Brande,2015,18.6
Ikast-Brande,2019,20.1
Ikast-Brande,2022,20.9
Ishøj,2007,10.6
Ishøj,2011,13.1
Ishøj,2015,15.3
Ishøj,2019,16.1
Ishøj,2022,16.5
Jammerbugt,2007,16.8
Jammerbugt,2011,18.9
Jammerbugt,2015,21.8
Jammerbugt,2019,23.9
Jammerbugt,2022,25.2
Kalundborg,2007,16.9
Kalundborg,2011,18.7
Kalundborg,2015,22.0
Kalundborg,2019,23.8
Kalundborg,2022,25.2
Kerteminde,2007,18.2
Kerteminde,2011,20.4
Kerteminde,2015,23.0
Kerteminde,2019,25.1
Kerteminde,2022,26.1
Kolding,2007,14.9
Kolding,2011,16.1
Kolding,2015,17.7
Kolding,2019,18.9
Kolding,2022,19.7
Køge,2007,14.2
Køge,2011,16.4
Køge,2015,18.9
Køge,2019,19.9
Køge,2022,20.4
Langeland,2007,24.8
Langeland,2011,27.0
Langeland,2015,31.3
Langeland,2019,33.7
Langeland,2022,36.3
Lejre,2007,14.3
Lejre,2011,17.1
Lejre,2015,20.6
Lejre,2019,22.0
Lejre,2022,22.5
Lemvig,2007,18.2
Lemvig,2011,20.0
Lemvig,2015,23.1
Lemvig,2019,25.5
Lemvig,2022,27.8
Lolland,2007,21.5
Lolland,2011,23.5
Lolland,2015,27.0
Lolland,2019,29.1
Lolland,2022,30.7
Lyngby-Taarbæk,2007,19.5
Lyngby-Taarbæk,2011,19.2
Lyngby-Taarbæk,2015,19.6
Lyngby-Taarbæk,2019,19.6
Lyngby-Taarbæk,2022,19.5
Læsø,2007,26.0
Læsø,2011,29.0
Læsø,2015,35.0
Læsø,2019,38.6
Læsø,2022,41.2
Mariagerfjord,2007,16.6
Mariagerfjord,2011,18.1
Mariagerfjord,2015,20.3
Mariagerfjord,2019,22.5
Mariagerfjord,2022,24.3
Middelfart,2007,16.9
Middelfart,2011,18.6
Middelfart,2015,21.3
Middelfart,2019,22.9
Middelfart,2022,23.7
Morsø,2007,19.5
Morsø,2011,20.6
Morsø,2015,23.6
Morsø,2019,25.8
Morsø,2022,27.0
Norddjurs,2007,18.2
Norddjurs,2011,19.7
Norddjurs,2015,22.2
Norddjurs,2019,24.3
Norddjurs,2022,26.1
Nordfyns,2007,16.8
Nordfyns,2011,18.4
Nordfyns,2015,20.9
Nordfyns,2019,22.6
Nordfyns,2022,24.2
Nyborg,2007,18.2
Nyborg,2011,20.1
Nyborg,2015,22.4
Nyborg,2019,23.9
Nyborg,2022,25.3
Næstved,2007,15.9
Næstved,2011,17.4
Næstved,2015,19.8
Næstved,2019,21.2
Næstved,2022,22.4
Odder,2007,16.3
Odder,2011,17.8
Odder,2015,20.9
Odder,2019,22.9
Odder,2022,24.2
Odense,2007,14.7
Odense,2011,15.6
Odense,2015,16.5
Odense,2019,17.0
Odense,2022,17.7
Odsherred,2007,20.7
Odsherred,2011,23.5
Odsherred,2015,27.8
Odsherred,2019,30.6
Odsherred,2022,32.2
Randers,2007,16.2
Randers,2011,17.4
Randers,2015,19.2
Randers,2019,20.3
Randers,2022,21.0
Rebild,2007,14.9
Rebild,2011,16.3
Rebild,2015,18.5
Rebild,2019,19.4
Rebild,2022,20.3
Ringkøbing-Skjern,2007,16.4
Ringkøbing-Skjern,2011,17.8
Ringkøbing-Skjern,2015,20.5
Ringkøbing-Skjern,2019,22.1
Ringkøbing-Skjern,2022,23.5
Ringsted,2007,14.0
Ringsted,2011,15.2
Ringsted,2015,17.2
Ringsted,2019,18.0
Ringsted,2022,18.8
Roskilde,2007,15.1
Roskilde,2011,16.8
Roskilde,2015,18.7
Roskilde,2019,19.5
Roskilde,2022,20.0
Rudersdal,2007,19.4
Rudersdal,2011,20.7
Rudersdal,2015,22.4
Rudersdal,2019,22.9
Rudersdal,2022,23.2
Rødovre,2007,18.5
Rødovre,2011,18.6
Rødovre,2015,18.7
Rødovre,2019,18.1
Rødovre,2022,18.1
Samsø,2007,24.2
Samsø,2011,27.1
Samsø,2015,31.5
Samsø,2019,34.3
Samsø,2022,35.6
Silkeborg,2007,14.4
Silkeborg,2011,15.8
Silkeborg,2015,18.1
Silkeborg,2019,19.5
Silkeborg,2022,20.1
Skanderborg,2007,12.3
Skanderborg,2011,14.0
Skanderborg,2015,16.7
Skanderborg,2019,17.9
Skanderborg,2022,18.6
Skive,2007,17.2
Skive,2011,18.7
Skive,2015,21.2
Skive,2019,23.3
Skive,2022,25.3
Slagelse,2007,16.5
Slagelse,2011,18.2
Slagelse,2015,20.4
Slagelse,2019,21.5
Slagelse,2022,22.4
Solrød,2007,13.0
Solrød,2011,15.8
Solrød,2015,18.7
Solrød,2019,19.6
Solrød,2022,19.8
Sorø,2007,15.9
Sorø,2011,17.3
Sorø,2015,19.7
Sorø,2019,20.9
Sorø,2022,22.1
Stevns,2007,17.5
Stevns,2011,19.8
Stevns,2015,23.2
Stevns,2019,24.7
Stevns,2022,25.4
Struer,2007,16.6
Struer,2011,19.0
Struer,2015,22.4
Struer,2019,25.4
Struer,2022,27.4
Svendborg,2007,17.1
Svendborg,2011,18.8
Svendborg,2015,21.5
Svendborg,2019,23.3
Svendborg,2022,24.8
Syddjurs,2007,17.3
Syddjurs,2011,19.4
Syddjurs,2015,22.8
Syddjurs,2019,24.9
Syddjurs,2022,26.2
Sønderborg,2007,18.4
Sønderborg,2011,20.3
Sønderborg,2015,22.6
Sønderborg,2019,24.0
Sønderborg,2022,25.3
Thisted,2007,17.4
Thisted,2011,18.9
Thisted,2015,21.3
Thisted,2019,23.5
Thisted,2022,25.0
Tårnby,2007,17.1
Tårnby,2011,17.7
Tårnby,2015,18.4
Tårnby,2019,18.7
Tårnby,2022,19.2
Tønder,2007,18.0
Tønder,2011,19.5
Tønder,2015,22.4
Tønder,2019,24.1
Tønder,2022,26.2
Vallensbæk,2007,14.6
Vallensbæk,2011,16.2
Vallensbæk,2015,18.6
Vallensbæk,2019,18.6
Vallensbæk,2022,19.2
Varde,2007,16.8
Varde,2011,17.9
Varde,2015,20.3
Varde,2019,22.0
Varde,2022,23.7
Vejen,2007,16.5
Vejen,2011,17.6
Vejen,2015,19.6
Vejen,2019,20.7
Vejen,2022,21.8
Vejle,2007,15.2
Vejle,2011,16.3
Vejle,2015,18.1
Vejle,2019,19.0
Vejle,2022,19.4
Vesthimmerlands,2007,17.6
Vesthimmerlands,2011,19.0
Vesthimmerlands,2015,21.3
Vesthimmerlands,2019,23.2
Vesthimmerlands,2022,24.8
Viborg,2007,15.2
Viborg,2011,16.4
Viborg,2015,18.3
Viborg,2019,19.9
Viborg,2022,21.3
Vordingborg,2007,19.5
Vordingborg,2011,21.5
Vordingborg,2015,24.5
Vordingborg,2019,26.7
Vordingborg,2022,28.3
Ærø,2007,27.0
Ærø,2011,29.0
Ærø,2015,33.6
Ærø,2019,36.2
Ærø,2022,36.8
