OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
All Denmark;Total;Age, total;Total;2008Q1;5475791
All Denmark;Total;Age, total;Total;2011Q1;5560628
All Denmark;Total;Age, total;Total;2015Q1;5659715
All Denmark;Total;Age, total;Total;2019Q1;5806081
All Denmark;Total;Age, total;Total;2022Q1;5873420
Region Hovedstaden;Total;Age, total;Total;2008Q1;1645825
Region Hovedstaden;Total;Age, total;Total;2011Q1;1699387
Region Hovedstaden;Total;Age, total;Total;2015Q1;1768125
Region Hovedstaden;Total;Age, total;Total;2019Q1;1835562
Region Hovedstaden;Total;Age, total;Total;2022Q1;1867948
Copenhagen;Total;Age, total;Total;2008Q1;509861
Copenhagen;Total;Age, total;Total;2011Q1;539542
Copenhagen;Total;Age, total;Total;2015Q1;580184
Copenhagen;Total;Age, total;Total;2019Q1;623404
Copenhagen;Total;Age, total;Total;2022Q1;644431
Frederiksberg;Total;Age, total;Total;2008Q1;93444
Frederiksberg;Total;Age, total;Total;2011Q1;98782
Frederiksberg;Total;Age, total;Total;2015Q1;103192
Frederiksberg;Total;Age, total;Total;2019Q1;103960
Frederiksberg;Total;Age, total;Total;2022Q1;103608
Dragør;Total;Age, total;Total;2008Q1;13261
Dragør;Total;Age, total;Total;2011Q1;13717
Dragør;Total;Age, total;Total;2015Q1;14028
Dragør;Total;Age, total;Total;2019Q1;14270
Dragør;Total;Age, total;Total;2022Q1;14640
Tårnby;Total;Age, total;Total;2008Q1;40016
Tårnby;Total;Age, total;Total;2011Q1;40835
Tårnby;Total;Age, total;Total;2015Q1;42573
Tårnby;Total;Age, total;Total;2019Q1;42984
Tårnby;Total;Age, total;Total;2022Q1;42723
Albertslund;Total;Age, total;Total;2008Q1;27602
Albertslund;Total;Age, total;Total;2011Q1;27800
Albertslund;Total;Age, total;Total;2015Q1;27806
Albertslund;Total;Age, total;Total;2019Q1;27877
Albertslund;Total;Age, total;Total;2022Q1;27599
Ballerup;Total;Age, total;Total;2008Q1;47116
Ballerup;Total;Age, total;Total;2011Q1;47930
Ballerup;Total;Age, total;Total;2015Q1;48355
Ballerup;Total;Age, total;Total;2019Q1;48458
Ballerup;Total;Age, total;Total;2022Q1;49274
Brøndby;Total;Age, total;Total;2008Q1;33831
Brøndby;Total;Age, total;Total;2011Q1;34021
Brøndby;Total;Age, total;Total;2015Q1;35050
Brøndby;Total;Age, total;Total;2019Q1;35397
Brøndby;Total;Age, total;Total;2022Q1;35651
Gentofte;Total;Age, total;Total;2008Q1;68913
Gentofte;Total;Age, total;Total;2011Q1;71714
Gentofte;Total;Age, total;Total;2015Q1;74932
Gentofte;Total;Age, total;Total;2019Q1;75176
Gentofte;Total;Age, total;Total;2022Q1;74217
Gladsaxe;Total;Age, total;Total;2008Q1;62562
Gladsaxe;Total;Age, total;Total;2011Q1;64951
Gladsaxe;Total;Age, total;Total;2015Q1;67347
Gladsaxe;Total;Age, total;Total;2019Q1;69681
Gladsaxe;Total;Age, total;Total;2022Q1;69259
Glostrup;Total;Age, total;Total;2008Q1;20673
Glostrup;Total;Age, total;Total;2011Q1;21384
Glostrup;Total;Age, total;Total;2015Q1;22357
Glostrup;Total;Age, total;Total;2019Q1;22615
Glostrup;Total;Age, total;Total;2022Q1;23514
Herlev;Total;Age, total;Total;2008Q1;26567
Herlev;Total;Age, total;Total;2011Q1;26597
Herlev;Total;Age, total;Total;2015Q1;28148
Herlev;Total;Age, total;Total;2019Q1;28786
Herlev;Total;Age, total;Total;2022Q1;28867
Hvidovre;Total;Age, total;Total;2008Q1;49380
Hvidovre;Total;Age, total;Total;2011Q1;50081
Hvidovre;Total;Age, total;Total;2015Q1;52380
Hvidovre;Total;Age, total;Total;2019Q1;53416
Hvidovre;Total;Age, total;Total;2022Q1;53267
Høje-Taastrup;Total;Age, total;Total;2008Q1;47158
Høje-Taastrup;Total;Age, total;Total;2011Q1;47753
Høje-Taastrup;Total;Age, total;Total;2015Q1;49230
Høje-Taastrup;Total;Age, total;Total;2019Q1;50686
Høje-Taastrup;Total;Age, total;Total;2022Q1;53053
Ishøj;Total;Age, total;Total;2008Q1;20687
Ishøj;Total;Age, total;Total;2011Q1;20797
Ishøj;Total;Age, total;Total;2015Q1;22025
Ishøj;Total;Age, total;Total;2019Q1;22946
Ishøj;Total;Age, total;Total;2022Q1;23225
Lyngby-Taarbæk;Total;Age, total;Total;2008Q1;51449
Lyngby-Taarbæk;Total;Age, total;Total;2011Q1;52754
Lyngby-Taarbæk;Total;Age, total;Total;2015Q1;54778
Lyngby-Taarbæk;Total;Age, total;Total;2019Q1;55790
Lyngby-Taarbæk;Total;Age, total;Total;2022Q1;57826
Rødovre;Total;Age, total;Total;2008Q1;36144
Rødovre;Total;Age, total;Total;2011Q1;36524
Rødovre;Total;Age, total;Total;2015Q1;37743
Rødovre;Total;Age, total;Total;2019Q1;40052
Rødovre;Total;Age, total;Total;2022Q1;41382
Vallensbæk;Total;Age, total;Total;2008Q1;12399
Vallensbæk;Total;Age, total;Total;2011Q1;14445
Vallensbæk;Total;Age, total;Total;2015Q1;15204
Vallensbæk;Total;Age, total;Total;2019Q1;16654
Vallensbæk;Total;Age, total;Total;2022Q1;16488
Allerød;Total;Age, total;Total;2008Q1;23493
Allerød;Total;Age, total;Total;2011Q1;24096
Allerød;Total;Age, total;Total;2015Q1;24411
Allerød;Total;Age, total;Total;2019Q1;25646
Allerød;Total;Age, total;Total;2022Q1;25867
Egedal;Total;Age, total;Total;2008Q1;40533
Egedal;Total;Age, total;Total;2011Q1;41614
Egedal;Total;Age, total;Total;2015Q1;42573
Egedal;Total;Age, total;Total;2019Q1;43335
Egedal;Total;Age, total;Total;2022Q1;44375
Fredensborg;Total;Age, total;Total;2008Q1;39240
Fredensborg;Total;Age, total;Total;2011Q1;39341
Fredensborg;Total;Age, total;Total;2015Q1;39772
Fredensborg;Total;Age, total;Total;2019Q1;40819
Fredensborg;Total;Age, total;Total;2022Q1;41211
Frederikssund;Total;Age, total;Total;2008Q1;44102
Frederikssund;Total;Age, total;Total;2011Q1;44307
Frederikssund;Total;Age, total;Total;2015Q1;44413
Frederikssund;Total;Age, total;Total;2019Q1;45332
Frederikssund;Total;Age, total;Total;2022Q1;45800
Furesø;Total;Age, total;Total;2008Q1;37667
Furesø;Total;Age, total;Total;2011Q1;38286
Furesø;Total;Age, total;Total;2015Q1;39077
Furesø;Total;Age, total;Total;2019Q1;41069
Furesø;Total;Age, total;Total;2022Q1;41402
Gribskov;Total;Age, total;Total;2008Q1;40512
Gribskov;Total;Age, total;Total;2011Q1;40700
Gribskov;Total;Age, total;Total;2015Q1;40855
Gribskov;Total;Age, total;Total;2019Q1;41195
Gribskov;Total;Age, total;Total;2022Q1;41147
Halsnæs;Total;Age, total;Total;2008Q1;30824
Halsnæs;Total;Age, total;Total;2011Q1;31056
Halsnæs;Total;Age, total;Total;2015Q1;30736
Halsnæs;Total;Age, total;Total;2019Q1;31271
Halsnæs;Total;Age, total;Total;2022Q1;31344
Helsingør;Total;Age, total;Total;2008Q1;60844
Helsingør;Total;Age, total;Total;2011Q1;61368
Helsingør;Total;Age, total;Total;2015Q1;61632
Helsingør;Total;Age, total;Total;2019Q1;62567
Helsingør;Total;Age, total;Total;2022Q1;62875
Hillerød;Total;Age, total;Total;2008Q1;46568
Hillerød;Total;Age, total;Total;2011Q1;47916
Hillerød;Total;Age, total;Total;2015Q1;49108
Hillerød;Total;Age, total;Total;2019Q1;50998
Hillerød;Total;Age, total;Total;2022Q1;53257
Hørsholm;Total;Age, total;Total;2008Q1;24197
Hørsholm;Total;Age, total;Total;2011Q1;24415
Hørsholm;Total;Age, total;Total;2015Q1;24856
Hørsholm;Total;Age, total;Total;2019Q1;25007
Hørsholm;Total;Age, total;Total;2022Q1;24761
Rudersdal;Total;Age, total;Total;2008Q1;53869
Rudersdal;Total;Age, total;Total;2011Q1;54765
Rudersdal;Total;Age, total;Total;2015Q1;55441
Rudersdal;Total;Age, total;Total;2019Q1;56509
Rudersdal;Total;Age, total;Total;2022Q1;57247
Bornholm;Total;Age, total;Total;2008Q1;42817
Bornholm;Total;Age, total;Total;2011Q1;41802
Bornholm;Total;Age, total;Total;2015Q1;39828
Bornholm;Total;Age, total;Total;2019Q1;39572
Bornholm;Total;Age, total;Total;2022Q1;39545
Christiansø;Total;Age, total;Total;2008Q1;96
Christiansø;Total;Age, total;Total;2011Q1;94
Christiansø;Total;Age, total;Total;2015Q1;91
Christiansø;Total;Age, total;Total;2019Q1;90
Christiansø;Total;Age, total;Total;2022Q1;93
Region Sjælland;Total;Age, total;Total;2008Q1;819427
Region Sjælland;Total;Age, total;Total;2011Q1;819763
Region Sjælland;Total;Age, total;Total;2015Q1;820480
Region Sjælland;Total;Age, total;Total;2019Q1;836738
Region Sjælland;Total;Age, total;Total;2022Q1;843513
Greve;Total;Age, total;Total;2008Q1;47773
Greve;Total;Age, total;Total;2011Q1;47978
Greve;Total;Age, total;Total;2015Q1;48835
Greve;Total;Age, total;Total;2019Q1;50267
Greve;Total;Age, total;Total;2022Q1;50818
Køge;Total;Age, total;Total;2008Q1;56637
Køge;Total;Age, total;Total;2011Q1;57271
Køge;Total;Age, total;Total;2015Q1;59285
Køge;Total;Age, total;Total;2019Q1;60675
Køge;Total;Age, total;Total;2022Q1;61718
Lejre;Total;Age, total;Total;2008Q1;26603
Lejre;Total;Age, total;Total;2011Q1;26764
Lejre;Total;Age, total;Total;2015Q1;27172
Lejre;Total;Age, total;Total;2019Q1;27775
Lejre;Total;Age, total;Total;2022Q1;28623
Roskilde;Total;Age, total;Total;2008Q1;80687
Roskilde;Total;Age, total;Total;2011Q1;82542
Roskilde;Total;Age, total;Total;2015Q1;85026
Roskilde;Total;Age, total;Total;2019Q1;87577
Roskilde;Total;Age, total;Total;2022Q1;89447
Solrød;Total;Age, total;Total;2008Q1;20759
Solrød;Total;Age, total;Total;2011Q1;20964
Solrød;Total;Age, total;Total;2015Q1;21552
Solrød;Total;Age, total;Total;2019Q1;23065
Solrød;Total;Age, total;Total;2022Q1;23794
Faxe;Total;Age, total;Total;2008Q1;35418
Faxe;Total;Age, total;Total;2011Q1;35277
Faxe;Total;Age, total;Total;2015Q1;35195
Faxe;Total;Age, total;Total;2019Q1;36513
Faxe;Total;Age, total;Total;2022Q1;37161
Guldborgsund;Total;Age, total;Total;2008Q1;63496
Guldborgsund;Total;Age, total;Total;2011Q1;62583
Guldborgsund;Total;Age, total;Total;2015Q1;60829
Guldborgsund;Total;Age, total;Total;2019Q1;60930
Guldborgsund;Total;Age, total;Total;2022Q1;60310
Holbæk;Total;Age, total;Total;2008Q1;69010
Holbæk;Total;Age, total;Total;2011Q1;69521
Holbæk;Total;Age, total;Total;2015Q1;69035
Holbæk;Total;Age, total;Total;2019Q1;71297
Holbæk;Total;Age, total;Total;2022Q1;72810
Kalundborg;Total;Age, total;Total;2008Q1;49743
Kalundborg;Total;Age, total;Total;2011Q1;49088
Kalundborg;Total;Age, total;Total;2015Q1;48469
Kalundborg;Total;Age, total;Total;2019Q1;48681
Kalundborg;Total;Age, total;Total;2022Q1;48368
Lolland;Total;Age, total;Total;2008Q1;48219
Lolland;Total;Age, total;Total;2011Q1;46111
Lolland;Total;Age, total;Total;2015Q1;43024
Lolland;Total;Age, total;Total;2019Q1;41615
Lolland;Total;Age, total;Total;2022Q1;40107
Næstved;Total;Age, total;Total;2008Q1;80732
Næstved;Total;Age, total;Total;2011Q1;80963
