OMRÅDE;KØN;ALDER;TID;INDHOLD
All Denmark;Total;Age, total;2021M10;5867412
All Denmark;Total;Age, total;2021M11;5870785
All Denmark;Total;Age, total;2021M12;5873623
All Denmark;Total;Age, total;2022M01;5873420
All Denmark;Total;Age, total;2022M02;5875393
All Denmark;Total;Age, total;2022M03;5880087
All Denmark;Total;Age, total;2022M04;5883562
All Denmark;Total;Age, total;2022M05;5892871
All Denmark;Total;Age, total;2022M06;5904245
All Denmark;Total;Age, total;2022M07;5910577
All Denmark;Total;Age, total;2022M08;5913538
All Denmark;Total;Age, total;2022M09;5920527
All Denmark;Total;Age, total;2022M10;5928364
All Denmark;Total;Age, total;2022M11;5931586
All Denmark;Total;Age, total;2022M12;5934002
All Denmark;Total;Age, total;2023M01;5932654
All Denmark;Total;Age, total;2023M02;5935619
All Denmark;Total;Age, total;2023M03;5938745
All Denmark;Total;Age, total;2023M04;5941388
All Denmark;Total;Age, total;2023M05;5942520
All Denmark;Total;Age, total;2023M06;5942711
All Denmark;Total;Age, total;2023M07;5944145
All Denmark;Total;Age, total;2023M08;5945278
All Denmark;Total;Age, total;2023M09;5952575
All Denmark;Total;Age, total;2023M10;5959464
All Denmark;Total;Age, total;2023M11;5962302
All Denmark;Total;Age, total;2023M12;5964059
All Denmark;Total;Age, total;2024M01;5961249
All Denmark;Total;Age, total;2024M02;5962689
All Denmark;Total;Age, total;2024M03;5965990
All Denmark;Total;Age, total;2024M04;5967824
All Denmark;Total;Age, total;2024M05;5969774
All Denmark;Total;Age, total;2024M06;5971110
All Denmark;Total;Age, total;2024M07;5972420
All Denmark;Total;Age, total;2024M08;5974086
All Denmark;Total;Age, total;2024M09;5982117
All Denmark;Total;Age, total;2024M10;5989985
All Denmark;Total;Age, total;2024M11;5993317
All Denmark;Total;Age, total;2024M12;5995628
All Denmark;Total;Age, total;2025M01;5992734
All Denmark;Total;Age, total;2025M02;5995464
All Denmark;Total;Age, total;2025M03;5998205
All Denmark;Total;Age, total;2025M04;5999677
All Denmark;Total;Age, total;2025M05;6001008
All Denmark;Total;Age, total;2025M06;6001469
All Denmark;Total;Age, total;2025M07;6002420
All Denmark;Total;Age, total;2025M08;6004342
All Denmark;Total;Age, total;2025M09;6011488
All Denmark;Total;Age, total;2025M10;6019866
All Denmark;Total;Age, total;2025M11;6024684
All Denmark;Total;Age, total;2025M12;6027601
All Denmark;Total;Age, total;2026M01;6025603
All Denmark;Total;Age, total;2026M02;6028459
Region Hovedstaden;Total;Age, total;2021M10;1866088
Region Hovedstaden;Total;Age, total;2021M11;1867476
Region Hovedstaden;Total;Age, total;2021M12;1868521
Region Hovedstaden;Total;Age, total;2022M01;1867948
Region Hovedstaden;Total;Age, total;2022M02;1868907
Region Hovedstaden;Total;Age, total;2022M03;1871462
Region Hovedstaden;Total;Age, total;2022M04;1872791
