BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
All Denmark;Total;H70 Masters programs;Age, total;Total;2008;244124
All Denmark;Total;H70 Masters programs;Age, total;Total;2011;279024
All Denmark;Total;H70 Masters programs;Age, total;Total;2015;341412
All Denmark;Total;H70 Masters programs;Age, total;Total;2019;419094
All Denmark;Total;H70 Masters programs;Age, total;Total;2022;470853
Region Hovedstaden;Total;H70 Masters programs;Age, total;Total;2008;128321
Region Hovedstaden;Total;H70 Masters programs;Age, total;Total;2011;148668
Region Hovedstaden;Total;H70 Masters programs;Age, total;Total;2015;185864
Region Hovedstaden;Total;H70 Masters programs;Age, total;Total;2019;226887
Region Hovedstaden;Total;H70 Masters programs;Age, total;Total;2022;251032
Copenhagen;Total;H70 Masters programs;Age, total;Total;2008;52215
Copenhagen;Total;H70 Masters programs;Age, total;Total;2011;63557
Copenhagen;Total;H70 Masters programs;Age, total;Total;2015;85609
Copenhagen;Total;H70 Masters programs;Age, total;Total;2019;111797
Copenhagen;Total;H70 Masters programs;Age, total;Total;2022;123010
Frederiksberg;Total;H70 Masters programs;Age, total;Total;2008;12851
Frederiksberg;Total;H70 Masters programs;Age, total;Total;2011;15165
Frederiksberg;Total;H70 Masters programs;Age, total;Total;2015;18305
Frederiksberg;Total;H70 Masters programs;Age, total;Total;2019;20513
Frederiksberg;Total;H70 Masters programs;Age, total;Total;2022;21243
Dragør;Total;H70 Masters programs;Age, total;Total;2008;786
Dragør;Total;H70 Masters programs;Age, total;Total;2011;890
Dragør;Total;H70 Masters programs;Age, total;Total;2015;1077
Dragør;Total;H70 Masters programs;Age, total;Total;2019;1261
Dragør;Total;H70 Masters programs;Age, total;Total;2022;1413
Tårnby;Total;H70 Masters programs;Age, total;Total;2008;956
Tårnby;Total;H70 Masters programs;Age, total;Total;2011;1234
Tårnby;Total;H70 Masters programs;Age, total;Total;2015;1721
Tårnby;Total;H70 Masters programs;Age, total;Total;2019;2247
Tårnby;Total;H70 Masters programs;Age, total;Total;2022;2689
Albertslund;Total;H70 Masters programs;Age, total;Total;2008;995
Albertslund;Total;H70 Masters programs;Age, total;Total;2011;1146
Albertslund;Total;H70 Masters programs;Age, total;Total;2015;1235
Albertslund;Total;H70 Masters programs;Age, total;Total;2019;1325
Albertslund;Total;H70 Masters programs;Age, total;Total;2022;1400
Ballerup;Total;H70 Masters programs;Age, total;Total;2008;1868
Ballerup;Total;H70 Masters programs;Age, total;Total;2011;2091
Ballerup;Total;H70 Masters programs;Age, total;Total;2015;2419
Ballerup;Total;H70 Masters programs;Age, total;Total;2019;3062
Ballerup;Total;H70 Masters programs;Age, total;Total;2022;3673
Brøndby;Total;H70 Masters programs;Age, total;Total;2008;816
Brøndby;Total;H70 Masters programs;Age, total;Total;2011;948
Brøndby;Total;H70 Masters programs;Age, total;Total;2015;1240
Brøndby;Total;H70 Masters programs;Age, total;Total;2019;1457
Brøndby;Total;H70 Masters programs;Age, total;Total;2022;1814
Gentofte;Total;H70 Masters programs;Age, total;Total;2008;10315
Gentofte;Total;H70 Masters programs;Age, total;Total;2011;11391
Gentofte;Total;H70 Masters programs;Age, total;Total;2015;13019
Gentofte;Total;H70 Masters programs;Age, total;Total;2019;13809
Gentofte;Total;H70 Masters programs;Age, total;Total;2022;14497
Gladsaxe;Total;H70 Masters programs;Age, total;Total;2008;4346
Gladsaxe;Total;H70 Masters programs;Age, total;Total;2011;5010
Gladsaxe;Total;H70 Masters programs;Age, total;Total;2015;6273
Gladsaxe;Total;H70 Masters programs;Age, total;Total;2019;7614
Gladsaxe;Total;H70 Masters programs;Age, total;Total;2022;8325
Glostrup;Total;H70 Masters programs;Age, total;Total;2008;621
Glostrup;Total;H70 Masters programs;Age, total;Total;2011;738
Glostrup;Total;H70 Masters programs;Age, total;Total;2015;975
Glostrup;Total;H70 Masters programs;Age, total;Total;2019;1297
Glostrup;Total;H70 Masters programs;Age, total;Total;2022;1577
Herlev;Total;H70 Masters programs;Age, total;Total;2008;1009
Herlev;Total;H70 Masters programs;Age, total;Total;2011;1132
Herlev;Total;H70 Masters programs;Age, total;Total;2015;1503
Herlev;Total;H70 Masters programs;Age, total;Total;2019;1793
Herlev;Total;H70 Masters programs;Age, total;Total;2022;2049
Hvidovre;Total;H70 Masters programs;Age, total;Total;2008;1540
Hvidovre;Total;H70 Masters programs;Age, total;Total;2011;1839
Hvidovre;Total;H70 Masters programs;Age, total;Total;2015;2588
Hvidovre;Total;H70 Masters programs;Age, total;Total;2019;3373
Hvidovre;Total;H70 Masters programs;Age, total;Total;2022;3927
Høje-Taastrup;Total;H70 Masters programs;Age, total;Total;2008;1433
Høje-Taastrup;Total;H70 Masters programs;Age, total;Total;2011;1602
Høje-Taastrup;Total;H70 Masters programs;Age, total;Total;2015;2045
Høje-Taastrup;Total;H70 Masters programs;Age, total;Total;2019;2636
Høje-Taastrup;Total;H70 Masters programs;Age, total;Total;2022;3368
Ishøj;Total;H70 Masters programs;Age, total;Total;2008;421
Ishøj;Total;H70 Masters programs;Age, total;Total;2011;513
Ishøj;Total;H70 Masters programs;Age, total;Total;2015;760
Ishøj;Total;H70 Masters programs;Age, total;Total;2019;982
Ishøj;Total;H70 Masters programs;Age, total;Total;2022;1097
Lyngby-Taarbæk;Total;H70 Masters programs;Age, total;Total;2008;6259
Lyngby-Taarbæk;Total;H70 Masters programs;Age, total;Total;2011;7071
Lyngby-Taarbæk;Total;H70 Masters programs;Age, total;Total;2015;8140
Lyngby-Taarbæk;Total;H70 Masters programs;Age, total;Total;2019;9086
Lyngby-Taarbæk;Total;H70 Masters programs;Age, total;Total;2022;10187
Rødovre;Total;H70 Masters programs;Age, total;Total;2008;1316
Rødovre;Total;H70 Masters programs;Age, total;Total;2011;1537
Rødovre;Total;H70 Masters programs;Age, total;Total;2015;2026
Rødovre;Total;H70 Masters programs;Age, total;Total;2019;2773
Rødovre;Total;H70 Masters programs;Age, total;Total;2022;3413
Vallensbæk;Total;H70 Masters programs;Age, total;Total;2008;529
Vallensbæk;Total;H70 Masters programs;Age, total;Total;2011;668
Vallensbæk;Total;H70 Masters programs;Age, total;Total;2015;851
Vallensbæk;Total;H70 Masters programs;Age, total;Total;2019;1155
Vallensbæk;Total;H70 Masters programs;Age, total;Total;2022;1305
Allerød;Total;H70 Masters programs;Age, total;Total;2008;2095
Allerød;Total;H70 Masters programs;Age, total;Total;2011;2272
Allerød;Total;H70 Masters programs;Age, total;Total;2015;2566
Allerød;Total;H70 Masters programs;Age, total;Total;2019;3029
Allerød;Total;H70 Masters programs;Age, total;Total;2022;3385
Egedal;Total;H70 Masters programs;Age, total;Total;2008;1822
Egedal;Total;H70 Masters programs;Age, total;Total;2011;2035
Egedal;Total;H70 Masters programs;Age, total;Total;2015;2310
Egedal;Total;H70 Masters programs;Age, total;Total;2019;2758
Egedal;Total;H70 Masters programs;Age, total;Total;2022;3326
Fredensborg;Total;H70 Masters programs;Age, total;Total;2008;2812
Fredensborg;Total;H70 Masters programs;Age, total;Total;2011;2953
Fredensborg;Total;H70 Masters programs;Age, total;Total;2015;3299
Fredensborg;Total;H70 Masters programs;Age, total;Total;2019;3700
Fredensborg;Total;H70 Masters programs;Age, total;Total;2022;4188
Frederikssund;Total;H70 Masters programs;Age, total;Total;2008;1311
Frederikssund;Total;H70 Masters programs;Age, total;Total;2011;1427
Frederikssund;Total;H70 Masters programs;Age, total;Total;2015;1563
