municipality,year,value
Aabenraa,2008,17.7
Aabenraa,2011,18.7
Aabenraa,2015,20.6
Aabenraa,2019,22.9
Aabenraa,2022,24.9
Aalborg,2008,26.5
Aalborg,2011,28.6
Aalborg,2015,32.2
Aalborg,2019,36.0
Aalborg,2022,38.5
Aarhus,2008,33.5
Aarhus,2011,36.1
Aarhus,2015,40.5
Aarhus,2019,44.5
Aarhus,2022,46.2
Albertslund,2008,23.4
Albertslund,2011,25.0
Albertslund,2015,27.5
Albertslund,2019,29.0
Albertslund,2022,30.3
Allerød,2008,38.7
Allerød,2011,40.3
Allerød,2015,42.2
Allerød,2019,46.3
Allerød,2022,49.0
Assens,2008,20.1
Assens,2011,21.0
Assens,2015,22.8
Assens,2019,24.5
Assens,2022,26.4
Ballerup,2008,23.5
Ballerup,2011,25.0
Ballerup,2015,27.8
Ballerup,2019,31.8
Ballerup,2022,34.9
Billund,2008,15.9
Billund,2011,17.0
Billund,2015,19.2
Billund,2019,22.0
Billund,2022,24.3
Bornholm,2008,17.8
Bornholm,2011,18.6
Bornholm,2015,20.5
Bornholm,2019,23.2
Bornholm,2022,26.0
Brøndby,2008,17.2
Brøndby,2011,18.4
Brøndby,2015,21.6
Brøndby,2019,24.3
Brøndby,2022,27.6
Brønderslev,2008,19.5
Brønderslev,2011,20.6
Brønderslev,2015,22.4
Brønderslev,2019,24.9
Brønderslev,2022,26.7
Christiansø,2008,29.0
Christiansø,2011,33.3
Christiansø,2015,32.3
Christiansø,2019,39.3
Christiansø,2022,49.3
Copenhagen,2008,36.0
Copenhagen,2011,39.6
Copenhagen,2015,46.4
Copenhagen,2019,51.9
Copenhagen,2022,54.0
Dragør,2008,29.4
Dragør,2011,31.5
Dragør,2015,35.4
Dragør,2019,39.0
Dragør,2022,41.7
Egedal,2008,27.7
Egedal,2011,29.0
Egedal,2015,31.2
Egedal,2019,34.8
Egedal,2022,37.7
Esbjerg,2008,21.3
Esbjerg,2011,22.7
Esbjerg,2015,26.0
Esbjerg,2019,28.9
Esbjerg,2022,30.8
Faaborg-Midtfyn,2008,20.6
Faaborg-Midtfyn,2011,21.7
Faaborg-Midtfyn,2015,23.3
Faaborg-Midtfyn,2019,25.4
Faaborg-Midtfyn,2022,27.8
Fanø,2008,37.8
Fanø,2011,37.9
Fanø,2015,39.2
Fanø,2019,41.3
Fanø,2022,43.3
Favrskov,2008,24.8
Favrskov,2011,26.4
Favrskov,2015,29.2
Favrskov,2019,32.6
Favrskov,2022,35.6
Faxe,2008,18.9
Faxe,2011,19.5
Faxe,2015,20.3
Faxe,2019,22.4
Faxe,2022,24.0
Fredensborg,2008,33.0
Fredensborg,2011,34.1
Fredensborg,2015,36.5
Fredensborg,2019,39.3
Fredensborg,2022,41.9
Fredericia,2008,19.9
Fredericia,2011,21.2
Fredericia,2015,23.5
Fredericia,2019,26.3
Fredericia,2022,28.2
Frederiksberg,2008,43.8
Frederiksberg,2011,47.5
Frederiksberg,2015,53.4
Frederiksberg,2019,56.7
Frederiksberg,2022,57.4
Frederikshavn,2008,16.4
Frederikshavn,2011,17.8
Frederikshavn,2015,19.5
Frederikshavn,2019,21.1
Frederikshavn,2022,23.0
Frederikssund,2008,23.5
Frederikssund,2011,24.5
Frederikssund,2015,26.0
Frederikssund,2019,28.1
Frederikssund,2022,30.2
Furesø,2008,40.7
Furesø,2011,41.9
Furesø,2015,44.7
Furesø,2019,48.5
Furesø,2022,50.8
Gentofte,2008,47.4
Gentofte,2011,48.6
Gentofte,2015,52.7
Gentofte,2019,55.5
Gentofte,2022,57.0
Gladsaxe,2008,31.3
Gladsaxe,2011,33.5
Gladsaxe,2015,37.7
Gladsaxe,2019,42.2
Gladsaxe,2022,44.5
Glostrup,2008,20.7
Glostrup,2011,22.1
Glostrup,2015,25.6
Glostrup,2019,30.2
Glostrup,2022,33.9
Greve,2008,21.5
Greve,2011,22.6
Greve,2015,25.3
Greve,2019,29.1
Greve,2022,31.6
Gribskov,2008,23.6
Gribskov,2011,24.6
Gribskov,2015,26.4
Gribskov,2019,28.3
Gribskov,2022,30.5
Guldborgsund,2008,18.1
Guldborgsund,2011,19.1
Guldborgsund,2015,20.7
Guldborgsund,2019,22.6
Guldborgsund,2022,24.5
Haderslev,2008,19.5
Haderslev,2011,20.7
Haderslev,2015,22.6
Haderslev,2019,24.4
Haderslev,2022,26.0
Halsnæs,2008,19.6
Halsnæs,2011,20.6
Halsnæs,2015,22.5
Halsnæs,2019,24.2
Halsnæs,2022,26.3
Hedensted,2008,18.4
Hedensted,2011,19.7
Hedensted,2015,21.4
Hedensted,2019,23.4
Hedensted,2022,25.6
Helsingør,2008,27.3
Helsingør,2011,28.4
Helsingør,2015,30.6
Helsingør,2019,33.3
Helsingør,2022,36.1
Herlev,2008,23.5
Herlev,2011,25.3
Herlev,2015,28.9
Herlev,2019,31.8
Herlev,2022,34.6
Herning,2008,19.9
Herning,2011,21.4
Herning,2015,24.5
Herning,2019,27.0
Herning,2022,29.1
Hillerød,2008,32.7
Hillerød,2011,33.3
Hillerød,2015,35.4
Hillerød,2019,38.0
Hillerød,2022,39.8
Hjørring,2008,18.9
Hjørring,2011,20.1
Hjørring,2015,22.0
Hjørring,2019,23.8
Hjørring,2022,25.7
Holbæk,2008,22.2
Holbæk,2011,23.2
Holbæk,2015,24.8
Holbæk,2019,26.7
Holbæk,2022,29.1
Holstebro,2008,21.2
Holstebro,2011,22.7
Holstebro,2015,25.2
Holstebro,2019,27.6
Holstebro,2022,29.1
Horsens,2008,22.0
Horsens,2011,23.4
Horsens,2015,26.7
Horsens,2019,30.1
Horsens,2022,32.6
Hvidovre,2008,20.5
Hvidovre,2011,22.4
Hvidovre,2015,26.6
Hvidovre,2019,31.5
Hvidovre,2022,33.9
Høje-Taastrup,2008,19.6
Høje-Taastrup,2011,20.9
Høje-Taastrup,2015,24.0
Høje-Taastrup,2019,28.2
Høje-Taastrup,2022,32.1
Hørsholm,2008,42.2
Hørsholm,2011,43.1
Hørsholm,2015,45.7
Hørsholm,2019,47.9
Hørsholm,2022,49.8
Ikast-Brande,2008,16.0
Ikast-Brande,2011,17.6
Ikast-Brande,2015,20.3
Ikast-Brande,2019,23.4
Ikast-Brande,2022,25.6
Ishøj,2008,14.5
Ishøj,2011,16.1
Ishøj,2015,19.8
Ishøj,2019,24.7
Ishøj,2022,27.1
Jammerbugt,2008,16.9
Jammerbugt,2011,18.1
Jammerbugt,2015,19.9
Jammerbugt,2019,22.2
Jammerbugt,2022,24.0
Kalundborg,2008,17.6
Kalundborg,2011,18.2
Kalundborg,2015,19.1
Kalundborg,2019,20.8
Kalundborg,2022,22.3
Kerteminde,2008,20.0
Kerteminde,2011,21.0
Kerteminde,2015,22.6
Kerteminde,2019,25.3
Kerteminde,2022,27.8
Kolding,2008,23.2
Kolding,2011,24.6
Kolding,2015,27.7
Kolding,2019,30.9
Kolding,2022,32.9
Køge,2008,20.3
Køge,2011,21.5
Køge,2015,23.8
Køge,2019,27.2
Køge,2022,29.9
Langeland,2008,14.7
Langeland,2011,15.8
Langeland,2015,16.7
Langeland,2019,18.4
Langeland,2022,20.0
Lejre,2008,27.4
Lejre,2011,28.7
Lejre,2015,30.4
Lejre,2019,32.8
Lejre,2022,36.2
Lemvig,2008,17.0
Lemvig,2011,18.1
Lemvig,2015,19.9
Lemvig,2019,21.8
Lemvig,2022,23.7
Lolland,2008,13.8
Lolland,2011,14.4
Lolland,2015,15.7
Lolland,2019,16.8
Lolland,2022,18.0
Lyngby-Taarbæk,2008,42.6
Lyngby-Taarbæk,2011,45.6
Lyngby-Taarbæk,2015,49.6
Lyngby-Taarbæk,2019,52.8
Lyngby-Taarbæk,2022,55.7
Læsø,2008,15.4
Læsø,2011,15.8
Læsø,2015,18.1
Læsø,2019,19.7
Læsø,2022,21.3
Mariagerfjord,2008,18.7
Mariagerfjord,2011,19.7
Mariagerfjord,2015,21.5
Mariagerfjord,2019,23.9
Mariagerfjord,2022,25.7
Middelfart,2008,22.7
Middelfart,2011,24.5
Middelfart,2015,26.8
Middelfart,2019,29.2
Middelfart,2022,31.8
Morsø,2008,14.6
Morsø,2011,15.5
Morsø,2015,16.8
Morsø,2019,18.0
Morsø,2022,19.9
Norddjurs,2008,15.2
Norddjurs,2011,15.7
Norddjurs,2015,16.8
Norddjurs,2019,19.1
Norddjurs,2022,20.7
Nordfyns,2008,17.7
Nordfyns,2011,18.7
Nordfyns,2015,20.8
Nordfyns,2019,22.9
Nordfyns,2022,24.8
Nyborg,2008,20.5
Nyborg,2011,21.5
Nyborg,2015,23.1
Nyborg,2019,25.8
Nyborg,2022,27.6
Næstved,2008,21.0
Næstved,2011,21.9
Næstved,2015,23.6
Næstved,2019,25.7
Næstved,2022,27.4
Odder,2008,25.3
Odder,2011,26.6
Odder,2015,28.8
Odder,2019,31.2
Odder,2022,34.0
Odense,2008,26.4
Odense,2011,28.5
Odense,2015,32.6
Odense,2019,37.0
Odense,2022,39.5
Odsherred,2008,16.9
Odsherred,2011,17.7
Odsherred,2015,18.9
Odsherred,2019,20.5
Odsherred,2022,22.1
Randers,2008,19.7
Randers,2011,21.0
Randers,2015,23.3
Randers,2019,25.9
Randers,2022,28.1
Rebild,2008,23.1
Rebild,2011,24.7
Rebild,2015,27.5
Rebild,2019,31.6
Rebild,2022,34.6
Ringkøbing-Skjern,2008,16.9
Ringkøbing-Skjern,2011,18.2
Ringkøbing-Skjern,2015,20.3
Ringkøbing-Skjern,2019,22.5
Ringkøbing-Skjern,2022,24.2
Ringsted,2008,20.3
Ringsted,2011,21.4
Ringsted,2015,23.9
Ringsted,2019,26.4
Ringsted,2022,28.7
Roskilde,2008,30.5
Roskilde,2011,32.0
Roskilde,2015,34.7
Roskilde,2019,37.9
Roskilde,2022,40.1
Rudersdal,2008,45.5
Rudersdal,2011,46.7
Rudersdal,2015,49.7
Rudersdal,2019,52.4
Rudersdal,2022,54.6
Rødovre,2008,22.3
Rødovre,2011,24.2
Rødovre,2015,28.2
Rødovre,2019,32.8
Rødovre,2022,36.4
Samsø,2008,20.2
Samsø,2011,21.9
Samsø,2015,23.8
Samsø,2019,27.8
Samsø,2022,30.6
Silkeborg,2008,25.0
Silkeborg,2011,26.4
Silkeborg,2015,29.1
Silkeborg,2019,32.8
Silkeborg,2022,36.1
Skanderborg,2008,28.9
Skanderborg,2011,30.7
Skanderborg,2015,33.6
Skanderborg,2019,38.2
Skanderborg,2022,41.5
Skive,2008,18.5
Skive,2011,19.5
Skive,2015,21.2
Skive,2019,23.0
Skive,2022,24.6
Slagelse,2008,19.3
Slagelse,2011,20.1
Slagelse,2015,22.0
Slagelse,2019,24.1
Slagelse,2022,26.1
Solrød,2008,24.2
Solrød,2011,25.6
Solrød,2015,28.2
Solrød,2019,32.0
Solrød,2022,35.1
Sorø,2008,22.2
Sorø,2011,23.0
Sorø,2015,25.4
Sorø,2019,27.5
Sorø,2022,29.8
Stevns,2008,19.4
Stevns,2011,20.3
Stevns,2015,21.8
Stevns,2019,24.3
Stevns,2022,26.3
Struer,2008,18.9
Struer,2011,19.6
Struer,2015,21.2
Struer,2019,22.9
Struer,2022,24.7
Svendborg,2008,24.9
Svendborg,2011,26.0
Svendborg,2015,27.7
Svendborg,2019,30.3
Svendborg,2022,33.2
Syddjurs,2008,22.5
Syddjurs,2011,23.8
Syddjurs,2015,26.1
Syddjurs,2019,29.5
Syddjurs,2022,32.8
Sønderborg,2008,22.7
Sønderborg,2011,23.7
Sønderborg,2015,25.6
Sønderborg,2019,28.4
Sønderborg,2022,30.2
Thisted,2008,16.0
Thisted,2011,17.0
Thisted,2015,19.0
Thisted,2019,21.3
Thisted,2022,23.3
Tårnby,2008,17.4
Tårnby,2011,19.6
Tårnby,2015,23.4
Tårnby,2019,27.3
Tårnby,2022,30.3
Tønder,2008,15.5
Tønder,2011,16.4
Tønder,2015,18.1
Tønder,2019,20.3
Tønder,2022,21.6
Vallensbæk,2008,24.8
Vallensbæk,2011,26.6
Vallensbæk,2015,29.7
Vallensbæk,2019,35.1
Vallensbæk,2022,38.5
Varde,2008,17.7
Varde,2011,18.6
Varde,2015,20.6
Varde,2019,23.0
Varde,2022,25.3
Vejen,2008,16.5
Vejen,2011,17.7
Vejen,2015,19.8
Vejen,2019,21.6
Vejen,2022,23.6
Vejle,2008,24.5
Vejle,2011,25.7
Vejle,2015,28.5
Vejle,2019,31.9
Vejle,2022,34.7
Vesthimmerlands,2008,16.1
Vesthimmerlands,2011,17.1
Vesthimmerlands,2015,19.0
Vesthimmerlands,2019,20.6
Vesthimmerlands,2022,22.3
Viborg,2008,22.7
Viborg,2011,24.0
Viborg,2015,26.1
Viborg,2019,28.6
Viborg,2022,30.3
Vordingborg,2008,20.0
Vordingborg,2011,21.0
Vordingborg,2015,22.6
Vordingborg,2019,24.7
Vordingborg,2022,27.2
Ærø,2008,21.3
Ærø,2011,21.9
Ærø,2015,24.1
Ærø,2019,26.6
Ærø,2022,30.0
