BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
All Denmark;Total;Total;Age, total;Total;2008;3903627
All Denmark;Total;Total;Age, total;Total;2011;3964178
All Denmark;Total;Total;Age, total;Total;2015;4015809
All Denmark;Total;Total;Age, total;Total;2019;4040015
All Denmark;Total;Total;Age, total;Total;2022;4093404
Region Hovedstaden;Total;Total;Age, total;Total;2008;1197434
Region Hovedstaden;Total;Total;Age, total;Total;2011;1239228
Region Hovedstaden;Total;Total;Age, total;Total;2015;1281993
Region Hovedstaden;Total;Total;Age, total;Total;2019;1311550
Region Hovedstaden;Total;Total;Age, total;Total;2022;1340705
Copenhagen;Total;Total;Age, total;Total;2008;401484
Copenhagen;Total;Total;Age, total;Total;2011;428002
Copenhagen;Total;Total;Age, total;Total;2015;460037
Copenhagen;Total;Total;Age, total;Total;2019;492180
Copenhagen;Total;Total;Age, total;Total;2022;509615
Frederiksberg;Total;Total;Age, total;Total;2008;70387
Frederiksberg;Total;Total;Age, total;Total;2011;74486
Frederiksberg;Total;Total;Age, total;Total;2015;76683
Frederiksberg;Total;Total;Age, total;Total;2019;75686
Frederiksberg;Total;Total;Age, total;Total;2022;75929
Dragør;Total;Total;Age, total;Total;2008;9129
Dragør;Total;Total;Age, total;Total;2011;9225
Dragør;Total;Total;Age, total;Total;2015;9141
Dragør;Total;Total;Age, total;Total;2019;9114
Dragør;Total;Total;Age, total;Total;2022;9020
Tårnby;Total;Total;Age, total;Total;2008;27941
Tårnby;Total;Total;Age, total;Total;2011;28716
Tårnby;Total;Total;Age, total;Total;2015;29674
Tårnby;Total;Total;Age, total;Total;2019;29124
Tårnby;Total;Total;Age, total;Total;2022;29141
Albertslund;Total;Total;Age, total;Total;2008;20307
Albertslund;Total;Total;Age, total;Total;2011;19985
Albertslund;Total;Total;Age, total;Total;2015;19463
Albertslund;Total;Total;Age, total;Total;2019;18997
Albertslund;Total;Total;Age, total;Total;2022;18788
Ballerup;Total;Total;Age, total;Total;2008;32815
Ballerup;Total;Total;Age, total;Total;2011;33027
Ballerup;Total;Total;Age, total;Total;2015;32460
Ballerup;Total;Total;Age, total;Total;2019;32207
Ballerup;Total;Total;Age, total;Total;2022;33301
Brøndby;Total;Total;Age, total;Total;2008;23519
Brøndby;Total;Total;Age, total;Total;2011;23874
Brøndby;Total;Total;Age, total;Total;2015;24537
Brøndby;Total;Total;Age, total;Total;2019;24052
Brøndby;Total;Total;Age, total;Total;2022;25310
Gentofte;Total;Total;Age, total;Total;2008;47235
Gentofte;Total;Total;Age, total;Total;2011;49851
Gentofte;Total;Total;Age, total;Total;2015;51486
Gentofte;Total;Total;Age, total;Total;2019;49830
Gentofte;Total;Total;Age, total;Total;2022;49372
Gladsaxe;Total;Total;Age, total;Total;2008;43661
Gladsaxe;Total;Total;Age, total;Total;2011;45525
Gladsaxe;Total;Total;Age, total;Total;2015;47242
Gladsaxe;Total;Total;Age, total;Total;2019;48074
Gladsaxe;Total;Total;Age, total;Total;2022;48284
Glostrup;Total;Total;Age, total;Total;2008;14673
Glostrup;Total;Total;Age, total;Total;2011;15168
Glostrup;Total;Total;Age, total;Total;2015;15656
Glostrup;Total;Total;Age, total;Total;2019;16001
Glostrup;Total;Total;Age, total;Total;2022;16455
Herlev;Total;Total;Age, total;Total;2008;18427
Herlev;Total;Total;Age, total;Total;2011;18376
Herlev;Total;Total;Age, total;Total;2015;19340
Herlev;Total;Total;Age, total;Total;2019;19618
Herlev;Total;Total;Age, total;Total;2022;19639
Hvidovre;Total;Total;Age, total;Total;2008;34492
Hvidovre;Total;Total;Age, total;Total;2011;35460
Hvidovre;Total;Total;Age, total;Total;2015;36907
Hvidovre;Total;Total;Age, total;Total;2019;36855
Hvidovre;Total;Total;Age, total;Total;2022;36693
Høje-Taastrup;Total;Total;Age, total;Total;2008;33993
Høje-Taastrup;Total;Total;Age, total;Total;2011;34263
Høje-Taastrup;Total;Total;Age, total;Total;2015;34788
Høje-Taastrup;Total;Total;Age, total;Total;2019;35213
Høje-Taastrup;Total;Total;Age, total;Total;2022;38008
Ishøj;Total;Total;Age, total;Total;2008;15280
Ishøj;Total;Total;Age, total;Total;2011;15389
Ishøj;Total;Total;Age, total;Total;2015;15921
Ishøj;Total;Total;Age, total;Total;2019;15959
Ishøj;Total;Total;Age, total;Total;2022;16419
Lyngby-Taarbæk;Total;Total;Age, total;Total;2008;35047
Lyngby-Taarbæk;Total;Total;Age, total;Total;2011;36247
Lyngby-Taarbæk;Total;Total;Age, total;Total;2015;37583
Lyngby-Taarbæk;Total;Total;Age, total;Total;2019;38463
Lyngby-Taarbæk;Total;Total;Age, total;Total;2022;40179
Rødovre;Total;Total;Age, total;Total;2008;24809
Rødovre;Total;Total;Age, total;Total;2011;25440
Rødovre;Total;Total;Age, total;Total;2015;26083
Rødovre;Total;Total;Age, total;Total;2019;27866
Rødovre;Total;Total;Age, total;Total;2022;29137
Vallensbæk;Total;Total;Age, total;Total;2008;9480
Vallensbæk;Total;Total;Age, total;Total;2011;10229
Vallensbæk;Total;Total;Age, total;Total;2015;10385
Vallensbæk;Total;Total;Age, total;Total;2019;10867
Vallensbæk;Total;Total;Age, total;Total;2022;10937
Allerød;Total;Total;Age, total;Total;2008;16150
Allerød;Total;Total;Age, total;Total;2011;16191
Allerød;Total;Total;Age, total;Total;2015;16306
Allerød;Total;Total;Age, total;Total;2019;16613
Allerød;Total;Total;Age, total;Total;2022;16648
Egedal;Total;Total;Age, total;Total;2008;28729
Egedal;Total;Total;Age, total;Total;2011;28981
Egedal;Total;Total;Age, total;Total;2015;29048
Egedal;Total;Total;Age, total;Total;2019;28875
Egedal;Total;Total;Age, total;Total;2022;29916
Fredensborg;Total;Total;Age, total;Total;2008;27423
Fredensborg;Total;Total;Age, total;Total;2011;27642
Fredensborg;Total;Total;Age, total;Total;2015;27314
Fredensborg;Total;Total;Age, total;Total;2019;26861
Fredensborg;Total;Total;Age, total;Total;2022;26934
Frederikssund;Total;Total;Age, total;Total;2008;30878
Frederikssund;Total;Total;Age, total;Total;2011;30731
Frederikssund;Total;Total;Age, total;Total;2015;30414
Frederikssund;Total;Total;Age, total;Total;2019;30209
Frederikssund;Total;Total;Age, total;Total;2022;30708
Furesø;Total;Total;Age, total;Total;2008;25381
Furesø;Total;Total;Age, total;Total;2011;25612
Furesø;Total;Total;Age, total;Total;2015;26347
Furesø;Total;Total;Age, total;Total;2019;26352
Furesø;Total;Total;Age, total;Total;2022;26585
Gribskov;Total;Total;Age, total;Total;2008;28651
Gribskov;Total;Total;Age, total;Total;2011;28450
Gribskov;Total;Total;Age, total;Total;2015;27903
Gribskov;Total;Total;Age, total;Total;2019;27045
Gribskov;Total;Total;Age, total;Total;2022;27141
Halsnæs;Total;Total;Age, total;Total;2008;21827
Halsnæs;Total;Total;Age, total;Total;2011;21768
Halsnæs;Total;Total;Age, total;Total;2015;21357
Halsnæs;Total;Total;Age, total;Total;2019;21052
Halsnæs;Total;Total;Age, total;Total;2022;20758
Helsingør;Total;Total;Age, total;Total;2008;42187
Helsingør;Total;Total;Age, total;Total;2011;42476
Helsingør;Total;Total;Age, total;Total;2015;42515
Helsingør;Total;Total;Age, total;Total;2019;41759
Helsingør;Total;Total;Age, total;Total;2022;41696
Hillerød;Total;Total;Age, total;Total;2008;32200
Hillerød;Total;Total;Age, total;Total;2011;33263
Hillerød;Total;Total;Age, total;Total;2015;34125
Hillerød;Total;Total;Age, total;Total;2019;34974
Hillerød;Total;Total;Age, total;Total;2022;36993
Hørsholm;Total;Total;Age, total;Total;2008;16066
Hørsholm;Total;Total;Age, total;Total;2011;15976
Hørsholm;Total;Total;Age, total;Total;2015;15979
Hørsholm;Total;Total;Age, total;Total;2019;15345
Hørsholm;Total;Total;Age, total;Total;2022;15130
Rudersdal;Total;Total;Age, total;Total;2008;35565
Rudersdal;Total;Total;Age, total;Total;2011;35980
Rudersdal;Total;Total;Age, total;Total;2015;36239
Rudersdal;Total;Total;Age, total;Total;2019;36329
Rudersdal;Total;Total;Age, total;Total;2022;36402
Bornholm;Total;Total;Age, total;Total;2008;29629
Bornholm;Total;Total;Age, total;Total;2011;28823
Bornholm;Total;Total;Age, total;Total;2015;26995
Bornholm;Total;Total;Age, total;Total;2019;25974
Bornholm;Total;Total;Age, total;Total;2022;25500
Christiansø;Total;Total;Age, total;Total;2008;69
Christiansø;Total;Total;Age, total;Total;2011;72
Christiansø;Total;Total;Age, total;Total;2015;65
Christiansø;Total;Total;Age, total;Total;2019;56
Christiansø;Total;Total;Age, total;Total;2022;67
Region Sjælland;Total;Total;Age, total;Total;2008;576935
Region Sjælland;Total;Total;Age, total;Total;2011;574957
Region Sjælland;Total;Total;Age, total;Total;2015;572186
Region Sjælland;Total;Total;Age, total;Total;2019;566039
Region Sjælland;Total;Total;Age, total;Total;2022;571022
Greve;Total;Total;Age, total;Total;2008;34142
Greve;Total;Total;Age, total;Total;2011;33888
Greve;Total;Total;Age, total;Total;2015;33786
Greve;Total;Total;Age, total;Total;2019;33354
Greve;Total;Total;Age, total;Total;2022;33723
Køge;Total;Total;Age, total;Total;2008;39836
Køge;Total;Total;Age, total;Total;2011;40162
Køge;Total;Total;Age, total;Total;2015;41408
Køge;Total;Total;Age, total;Total;2019;41374
Køge;Total;Total;Age, total;Total;2022;42477
Lejre;Total;Total;Age, total;Total;2008;18596
Lejre;Total;Total;Age, total;Total;2011;18675
Lejre;Total;Total;Age, total;Total;2015;18629
Lejre;Total;Total;Age, total;Total;2019;18564
Lejre;Total;Total;Age, total;Total;2022;18956
Roskilde;Total;Total;Age, total;Total;2008;57411
Roskilde;Total;Total;Age, total;Total;2011;58690
Roskilde;Total;Total;Age, total;Total;2015;60081
Roskilde;Total;Total;Age, total;Total;2019;59960
Roskilde;Total;Total;Age, total;Total;2022;61910
Solrød;Total;Total;Age, total;Total;2008;14645
Solrød;Total;Total;Age, total;Total;2011;14847
Solrød;Total;Total;Age, total;Total;2015;14918
Solrød;Total;Total;Age, total;Total;2019;15312
Solrød;Total;Total;Age, total;Total;2022;15622
Faxe;Total;Total;Age, total;Total;2008;24925
Faxe;Total;Total;Age, total;Total;2011;24834
Faxe;Total;Total;Age, total;Total;2015;24842
Faxe;Total;Total;Age, total;Total;2019;25025
Faxe;Total;Total;Age, total;Total;2022;25399
Guldborgsund;Total;Total;Age, total;Total;2008;44236
Guldborgsund;Total;Total;Age, total;Total;2011;43317
Guldborgsund;Total;Total;Age, total;Total;2015;41721
Guldborgsund;Total;Total;Age, total;Total;2019;40433
Guldborgsund;Total;Total;Age, total;Total;2022;39816
Holbæk;Total;Total;Age, total;Total;2008;48911
Holbæk;Total;Total;Age, total;Total;2011;48996
Holbæk;Total;Total;Age, total;Total;2015;48605
Holbæk;Total;Total;Age, total;Total;2019;48934
Holbæk;Total;Total;Age, total;Total;2022;49771
Kalundborg;Total;Total;Age, total;Total;2008;34757
Kalundborg;Total;Total;Age, total;Total;2011;34098
Kalundborg;Total;Total;Age, total;Total;2015;33588
Kalundborg;Total;Total;Age, total;Total;2019;32653
Kalundborg;Total;Total;Age, total;Total;2022;32625
Lolland;Total;Total;Age, total;Total;2008;33330
Lolland;Total;Total;Age, total;Total;2011;31617
Lolland;Total;Total;Age, total;Total;2015;29080
Lolland;Total;Total;Age, total;Total;2019;27129
Lolland;Total;Total;Age, total;Total;2022;26039
Næstved;Total;Total;Age, total;Total;2008;57303
Næstved;Total;Total;Age, total;Total;2011;57190
Næstved;Total;Total;Age, total;Total;2015;57651
Næstved;Total;Total;Age, total;Total;2019;57177
Næstved;Total;Total;Age, total;Total;2022;57670
Odsherred;Total;Total;Age, total;Total;2008;23208
Odsherred;Total;Total;Age, total;Total;2011;22754
Odsherred;Total;Total;Age, total;Total;2015;22314
Odsherred;Total;Total;Age, total;Total;2019;21541
Odsherred;Total;Total;Age, total;Total;2022;21100
Ringsted;Total;Total;Age, total;Total;2008;22741
Ringsted;Total;Total;Age, total;Total;2011;23368
Ringsted;Total;Total;Age, total;Total;2015;24064
Ringsted;Total;Total;Age, total;Total;2019;24309
Ringsted;Total;Total;Age, total;Total;2022;25067
Slagelse;Total;Total;Age, total;Total;2008;54729
Slagelse;Total;Total;Age, total;Total;2011;54832
Slagelse;Total;Total;Age, total;Total;2015;54559
Slagelse;Total;Total;Age, total;Total;2019;54396
Slagelse;Total;Total;Age, total;Total;2022;54699
Sorø;Total;Total;Age, total;Total;2008;20362
Sorø;Total;Total;Age, total;Total;2011;20495
Sorø;Total;Total;Age, total;Total;2015;20362
Sorø;Total;Total;Age, total;Total;2019;20285
Sorø;Total;Total;Age, total;Total;2022;20470
Stevns;Total;Total;Age, total;Total;2008;15401
Stevns;Total;Total;Age, total;Total;2011;15322
Stevns;Total;Total;Age, total;Total;2015;15301
Stevns;Total;Total;Age, total;Total;2019;15246
Stevns;Total;Total;Age, total;Total;2022;15710
Vordingborg;Total;Total;Age, total;Total;2008;32402
Vordingborg;Total;Total;Age, total;Total;2011;31872
Vordingborg;Total;Total;Age, total;Total;2015;31277
Vordingborg;Total;Total;Age, total;Total;2019;30347
Vordingborg;Total;Total;Age, total;Total;2022;29968
Region Syddanmark;Total;Total;Age, total;Total;2008;839244
Region Syddanmark;Total;Total;Age, total;Total;2011;841844
Region Syddanmark;Total;Total;Age, total;Total;2015;840919
Region Syddanmark;Total;Total;Age, total;Total;2019;835150
Region Syddanmark;Total;Total;Age, total;Total;2022;838896
Assens;Total;Total;Age, total;Total;2008;28964
Assens;Total;Total;Age, total;Total;2011;28544
Assens;Total;Total;Age, total;Total;2015;28213
Assens;Total;Total;Age, total;Total;2019;27511
Assens;Total;Total;Age, total;Total;2022;27351
Faaborg-Midtfyn;Total;Total;Age, total;Total;2008;35712
Faaborg-Midtfyn;Total;Total;Age, total;Total;2011;35486
Faaborg-Midtfyn;Total;Total;Age, total;Total;2015;34539
Faaborg-Midtfyn;Total;Total;Age, total;Total;2019;33914
Faaborg-Midtfyn;Total;Total;Age, total;Total;2022;34209
Kerteminde;Total;Total;Age, total;Total;2008;16319
Kerteminde;Total;Total;Age, total;Total;2011;16296
Kerteminde;Total;Total;Age, total;Total;2015;16082
Kerteminde;Total;Total;Age, total;Total;2019;15637
Kerteminde;Total;Total;Age, total;Total;2022;15609
Langeland;Total;Total;Age, total;Total;2008;9208
Langeland;Total;Total;Age, total;Total;2011;8951
Langeland;Total;Total;Age, total;Total;2015;8351
Langeland;Total;Total;Age, total;Total;2019;8028
Langeland;Total;Total;Age, total;Total;2022;7747
Middelfart;Total;Total;Age, total;Total;2008;25837
Middelfart;Total;Total;Age, total;Total;2011;25775
Middelfart;Total;Total;Age, total;Total;2015;25902
Middelfart;Total;Total;Age, total;Total;2019;25939
Middelfart;Total;Total;Age, total;Total;2022;26536
Nordfyns;Total;Total;Age, total;Total;2008;20565
