OMRÅDE;ENHED;KOEN;INDKOMSTTYPE;TID;INDHOLD
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1987;78135
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1988;82304
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1989;87011
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1990;90433
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1991;94633
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1992;97606
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1993;100790
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1994;107810
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1995;112860
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1996;117333
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1997;122174
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1998;127671
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1999;131454
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2000;136932
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2001;141861
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2002;147157
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2003;151255
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2004;160083
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2005;166784
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2006;173270
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2007;177530
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2008;176201
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2009;179308
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2010;195011
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2011;199057
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2012;204037
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2013;209655
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2014;214009
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2015;220185
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2016;223438
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2017;229875
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2018;235312
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2019;243412
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2020;254455
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2021;267357
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2022;267335
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2023;279600
All Denmark;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2024;287682
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1987;78012
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1988;82061
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1989;85804
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1990;88668
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1991;90999
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1992;93536
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1993;96244
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1994;102133
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1995;106311
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1996;111057
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1997;114507
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1998;120802
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1999;125779
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2000;131544
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2001;136791
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2002;143087
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2003;147467
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2004;155350
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2005;161734
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2006;168778
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2007;171424
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2008;173475
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2009;177821
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2010;191577
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2011;196833
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2012;200886
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2013;206286
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2014;212311
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2015;218440
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2016;223635
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2017;229793
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2018;237224
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2019;245734
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2020;257297
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2021;272650
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2022;271940
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2023;287039
Province Byen København;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2024;303697
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1987;75356
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1988;79444
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1989;82895
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1990;85421
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1991;87445
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1992;89913
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1993;92242
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1994;97883
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1995;101758
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1996;106144
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1997;109450
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1998;115502
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1999;120124
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2000;126051
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2001;130923
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2002;137294
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2003;141610
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2004;148965
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2005;155028
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2006;161706
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2007;164751
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2008;167519
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2009;171951
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2010;184281
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2011;189182
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2012;192990
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2013;198131
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2014;204008
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2015;209991
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2016;215215
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2017;220945
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2018;228338
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2019;236730
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2020;247849
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2021;263154
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2022;263314
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2023;278242
Copenhagen;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2024;295836
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1987;85428
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1988;89924
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1989;94626
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1990;98916
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1991;101730
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1992;104476
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1993;108892
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1994;115211
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1995;120801
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1996;127212
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1997;131103
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1998;138973
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1999;146269
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2000;151840
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2001;158658
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2002;164326
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2003;167543
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2004;177691
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2005;185689
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2006;195470
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2007;195834
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2008;194175
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2009;199731
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2010;219475
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2011;224754
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2012;230908
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2013;238371
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2014;245712
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2015;252988
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2016;258624
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2017;267820
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2018;276683
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2019;287059
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2020;301686
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2021;319321
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2022;312449
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2023;329362
Frederiksberg;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2024;344810
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1987;97966
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1988;99867
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1989;106167
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1990;109441
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1991;115203
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1992;117473
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1993;122416
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1994;130163
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1995;137056
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1996;145144
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1997;150963
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1998;158566
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1999;164352
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2000;169155
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2001;176031
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2002;183618
Dragør;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2003;192308
