TAL;BOPKOM;KØN;TID;INDHOLD
Full-time employees;All Denmark;Total;2008Q1;2245921
Full-time employees;All Denmark;Total;2008Q2;2293127
Full-time employees;All Denmark;Total;2008Q3;2266707
Full-time employees;All Denmark;Total;2008Q4;2285036
Full-time employees;All Denmark;Total;2009Q1;2214306
Full-time employees;All Denmark;Total;2009Q2;2203450
Full-time employees;All Denmark;Total;2009Q3;2169636
Full-time employees;All Denmark;Total;2009Q4;2170454
Full-time employees;All Denmark;Total;2010Q1;2114063
Full-time employees;All Denmark;Total;2010Q2;2158461
Full-time employees;All Denmark;Total;2010Q3;2140077
Full-time employees;All Denmark;Total;2010Q4;2161437
Full-time employees;All Denmark;Total;2011Q1;2113030
Full-time employees;All Denmark;Total;2011Q2;2145879
Full-time employees;All Denmark;Total;2011Q3;2135800
Full-time employees;All Denmark;Total;2011Q4;2157514
Full-time employees;All Denmark;Total;2012Q1;2109675
Full-time employees;All Denmark;Total;2012Q2;2131796
Full-time employees;All Denmark;Total;2012Q3;2121858
Full-time employees;All Denmark;Total;2012Q4;2142637
Full-time employees;All Denmark;Total;2013Q1;2090889
Full-time employees;All Denmark;Total;2013Q2;2122022
Full-time employees;All Denmark;Total;2013Q3;2126641
Full-time employees;All Denmark;Total;2013Q4;2148203
Full-time employees;All Denmark;Total;2014Q1;2113384
Full-time employees;All Denmark;Total;2014Q2;2150223
Full-time employees;All Denmark;Total;2014Q3;2144369
Full-time employees;All Denmark;Total;2014Q4;2170170
Full-time employees;All Denmark;Total;2015Q1;2132039
Full-time employees;All Denmark;Total;2015Q2;2177173
Full-time employees;All Denmark;Total;2015Q3;2163860
Full-time employees;All Denmark;Total;2015Q4;2198299
Full-time employees;All Denmark;Total;2016Q1;2161466
Full-time employees;All Denmark;Total;2016Q2;2218728
Full-time employees;All Denmark;Total;2016Q3;2195434
Full-time employees;All Denmark;Total;2016Q4;2236146
Full-time employees;All Denmark;Total;2017Q1;2198547
Full-time employees;All Denmark;Total;2017Q2;2237235
Full-time employees;All Denmark;Total;2017Q3;2228871
Full-time employees;All Denmark;Total;2017Q4;2271668
Full-time employees;All Denmark;Total;2018Q1;2228036
Full-time employees;All Denmark;Total;2018Q2;2282679
Full-time employees;All Denmark;Total;2018Q3;2267232
Full-time employees;All Denmark;Total;2018Q4;2307691
Full-time employees;All Denmark;Total;2019Q1;2268924
Full-time employees;All Denmark;Total;2019Q2;2304356
Full-time employees;All Denmark;Total;2019Q3;2294296
Full-time employees;All Denmark;Total;2019Q4;2326528
Full-time employees;All Denmark;Total;2020Q1;2281284
Full-time employees;All Denmark;Total;2020Q2;2268037
Full-time employees;All Denmark;Total;2020Q3;2281201
Full-time employees;All Denmark;Total;2020Q4;2334973
Full-time employees;All Denmark;Total;2021Q1;2291965
Full-time employees;All Denmark;Total;2021Q2;2367800
Full-time employees;All Denmark;Total;2021Q3;2375720
Full-time employees;All Denmark;Total;2021Q4;2438127
Full-time employees;All Denmark;Total;2022Q1;2423450
Full-time employees;All Denmark;Total;2022Q2;2463053
Full-time employees;All Denmark;Total;2022Q3;2450485
Full-time employees;All Denmark;Total;2022Q4;2495083
Full-time employees;All Denmark;Total;2023Q1;2457481
Full-time employees;All Denmark;Total;2023Q2;2493004
Full-time employees;All Denmark;Total;2023Q3;2478117
Full-time employees;All Denmark;Total;2023Q4;2517094
Full-time employees;All Denmark;Total;2024Q1;2479268
Full-time employees;All Denmark;Total;2024Q2;2526731
Full-time employees;All Denmark;Total;2024Q3;2494569
Full-time employees;All Denmark;Total;2024Q4;2538948
Full-time employees;All Denmark;Total;2025Q1;2503711
Full-time employees;All Denmark;Total;2025Q2;2545287
Full-time employees;All Denmark;Total;2025Q3;2531867
Full-time employees;Region Hovedstaden;Total;2008Q1;680060
Full-time employees;Region Hovedstaden;Total;2008Q2;689624
Full-time employees;Region Hovedstaden;Total;2008Q3;686124
Full-time employees;Region Hovedstaden;Total;2008Q4;692859
Full-time employees;Region Hovedstaden;Total;2009Q1;678125
Full-time employees;Region Hovedstaden;Total;2009Q2;678113
Full-time employees;Region Hovedstaden;Total;2009Q3;669555
Full-time employees;Region Hovedstaden;Total;2009Q4;669644
Full-time employees;Region Hovedstaden;Total;2010Q1;659095
Full-time employees;Region Hovedstaden;Total;2010Q2;666222
