BOPAEGT1;BOPAEGT2;ALDERAEGT1;ALDERAEGT2;AGTVAR;TID;INDHOLD
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
All Denmark;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Copenhagen;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Frederiksberg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Dragør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Dragør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Dragør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Dragør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Dragør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Dragør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Dragør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Dragør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Dragør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Dragør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
