OMRÅDE;OVERTRÆD;TID;INDHOLD
All Denmark;Nature of the offence, total;2007Q1;121167
All Denmark;Nature of the offence, total;2007Q2;127537
All Denmark;Nature of the offence, total;2007Q3;126796
All Denmark;Nature of the offence, total;2007Q4;131358
All Denmark;Nature of the offence, total;2008Q1;124971
All Denmark;Nature of the offence, total;2008Q2;130847
All Denmark;Nature of the offence, total;2008Q3;140093
All Denmark;Nature of the offence, total;2008Q4;143211
All Denmark;Nature of the offence, total;2009Q1;130454
All Denmark;Nature of the offence, total;2009Q2;134944
All Denmark;Nature of the offence, total;2009Q3;146948
All Denmark;Nature of the offence, total;2009Q4;142846
All Denmark;Nature of the offence, total;2010Q1;122116
All Denmark;Nature of the offence, total;2010Q2;131799
All Denmark;Nature of the offence, total;2010Q3;141304
All Denmark;Nature of the offence, total;2010Q4;139082
All Denmark;Nature of the offence, total;2011Q1;128044
All Denmark;Nature of the offence, total;2011Q2;130556
All Denmark;Nature of the offence, total;2011Q3;137713
All Denmark;Nature of the offence, total;2011Q4;147151
All Denmark;Nature of the offence, total;2012Q1;129083
All Denmark;Nature of the offence, total;2012Q2;128137
All Denmark;Nature of the offence, total;2012Q3;132236
All Denmark;Nature of the offence, total;2012Q4;129248
All Denmark;Nature of the offence, total;2013Q1;115128
All Denmark;Nature of the offence, total;2013Q2;130777
All Denmark;Nature of the offence, total;2013Q3;136429
All Denmark;Nature of the offence, total;2013Q4;137902
All Denmark;Nature of the offence, total;2014Q1;121010
All Denmark;Nature of the offence, total;2014Q2;121600
All Denmark;Nature of the offence, total;2014Q3;126923
All Denmark;Nature of the offence, total;2014Q4;127942
All Denmark;Nature of the offence, total;2015Q1;110386
All Denmark;Nature of the offence, total;2015Q2;116954
All Denmark;Nature of the offence, total;2015Q3;118595
All Denmark;Nature of the offence, total;2015Q4;130356
All Denmark;Nature of the offence, total;2016Q1;112695
All Denmark;Nature of the offence, total;2016Q2;122433
All Denmark;Nature of the offence, total;2016Q3;125081
All Denmark;Nature of the offence, total;2016Q4;127704
All Denmark;Nature of the offence, total;2017Q1;115276
All Denmark;Nature of the offence, total;2017Q2;125902
All Denmark;Nature of the offence, total;2017Q3;120900
All Denmark;Nature of the offence, total;2017Q4;123216
All Denmark;Nature of the offence, total;2018Q1;112380
All Denmark;Nature of the offence, total;2018Q2;118708
All Denmark;Nature of the offence, total;2018Q3;121240
All Denmark;Nature of the offence, total;2018Q4;123546
